Date;JourDeLaSemaine;Pays;Continent;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;1J;Touriste Etranger;All-FIMU;3421
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;2J;Touriste Etranger;All-FIMU;8474
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;3J;Touriste Etranger;All-FIMU;9966
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;4J;Touriste Etranger;All-FIMU;8650
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;5J;Touriste Etranger;All-FIMU;5007
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;6J;Touriste Etranger;All-FIMU;5133
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;7J;Touriste Etranger;All-FIMU;5829
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;8J;Touriste Etranger;All-FIMU;7116
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;9J;Touriste Etranger;All-FIMU;4861
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;10J;Touriste Etranger;All-FIMU;526
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;11J;Touriste Etranger;All-FIMU;2775
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;12J;Touriste Etranger;All-FIMU;2750
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;13J;Touriste Etranger;All-FIMU;9628
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;14J;Touriste Etranger;All-FIMU;1377
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;1J;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;2J;Touriste Etranger;All-FIMU;7519
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;3J;Touriste Etranger;All-FIMU;5399
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;4J;Touriste Etranger;All-FIMU;2305
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;5J;Touriste Etranger;All-FIMU;2967
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;6J;Touriste Etranger;All-FIMU;1365
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;7J;Touriste Etranger;All-FIMU;8671
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;8J;Touriste Etranger;All-FIMU;5492
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;9J;Touriste Etranger;All-FIMU;4869
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;10J;Touriste Etranger;All-FIMU;52
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;11J;Touriste Etranger;All-FIMU;3410
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;12J;Touriste Etranger;All-FIMU;6052
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;13J;Touriste Etranger;All-FIMU;5958
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;14J;Touriste Etranger;All-FIMU;90
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;1J;Touriste Etranger;All-FIMU;2984
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;2J;Touriste Etranger;All-FIMU;7928
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;3J;Touriste Etranger;All-FIMU;6595
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;4J;Touriste Etranger;All-FIMU;3402
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;5J;Touriste Etranger;All-FIMU;3429
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;6J;Touriste Etranger;All-FIMU;2266
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;7J;Touriste Etranger;All-FIMU;4177
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;8J;Touriste Etranger;All-FIMU;8998
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;9J;Touriste Etranger;All-FIMU;2163
