Date;JourDeLaSemaine;Age;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;CUMUL;Visiteur;1J;Résident ;All-FIMU;7377
2016-04-22;Vendredi;CUMUL;Visiteur;1J;Touriste Français;All-FIMU;3763
2016-04-22;Vendredi;CUMUL;Visiteur;2J;Résident ;All-FIMU;7284
2016-04-22;Vendredi;CUMUL;Visiteur;2J;Touriste Français;All-FIMU;254
2016-04-22;Vendredi;CUMUL;Visiteur;3J;Résident ;All-FIMU;5606
2016-04-22;Vendredi;CUMUL;Visiteur;3J;Touriste Français;All-FIMU;9556
2016-04-22;Vendredi;CUMUL;Visiteur;4J;Résident ;All-FIMU;6032
2016-04-22;Vendredi;CUMUL;Visiteur;4J;Touriste Français;All-FIMU;2493
2016-04-22;Vendredi;CUMUL;Visiteur;5J;Résident ;All-FIMU;4185
2016-04-22;Vendredi;CUMUL;Visiteur;5J;Touriste Français;All-FIMU;7166
2016-04-22;Vendredi;CUMUL;Visiteur;6J;Résident ;All-FIMU;6660
2016-04-22;Vendredi;CUMUL;Visiteur;6J;Touriste Français;All-FIMU;8717
2016-04-22;Vendredi;CUMUL;Visiteur;7J;Résident ;All-FIMU;4593
2016-04-22;Vendredi;CUMUL;Visiteur;7J;Touriste Français;All-FIMU;2965
2016-04-22;Vendredi;CUMUL;Visiteur;8J;Résident ;All-FIMU;7146
2016-04-22;Vendredi;CUMUL;Visiteur;8J;Touriste Français;All-FIMU;9076
2016-04-22;Vendredi;CUMUL;Visiteur;9J;Résident ;All-FIMU;4426
2016-04-22;Vendredi;CUMUL;Visiteur;9J;Touriste Français;All-FIMU;4460
2016-04-22;Vendredi;CUMUL;Visiteur;10J;Résident ;All-FIMU;6707
2016-04-22;Vendredi;CUMUL;Visiteur;10J;Touriste Français;All-FIMU;1703
2016-04-22;Vendredi;CUMUL;Visiteur;11J;Résident ;All-FIMU;667
2016-04-22;Vendredi;CUMUL;Visiteur;11J;Touriste Français;All-FIMU;187
2016-04-22;Vendredi;CUMUL;Visiteur;12J;Résident ;All-FIMU;6370
2016-04-22;Vendredi;CUMUL;Visiteur;12J;Touriste Français;All-FIMU;8630
2016-04-22;Vendredi;CUMUL;Visiteur;13J;Résident ;All-FIMU;5205
2016-04-22;Vendredi;CUMUL;Visiteur;13J;Touriste Français;All-FIMU;738
2016-04-22;Vendredi;CUMUL;Visiteur;14J;Résident ;All-FIMU;9178
2016-04-22;Vendredi;CUMUL;Visiteur;14J;Touriste Français;All-FIMU;3620
2016-04-22;Vendredi;18-24 ans;Visiteur;1J;Résident ;All-FIMU;1063
2016-04-22;Vendredi;18-24 ans;Visiteur;1J;Touriste Français;All-FIMU;5913
2016-04-22;Vendredi;18-24 ans;Visiteur;2J;Résident ;All-FIMU;6244
2016-04-22;Vendredi;18-24 ans;Visiteur;2J;Touriste Français;All-FIMU;394
2016-04-22;Vendredi;18-24 ans;Visiteur;3J;Résident ;All-FIMU;4221
2016-04-22;Vendredi;18-24 ans;Visiteur;3J;Touriste Français;All-FIMU;1646
2016-04-22;Vendredi;18-24 ans;Visiteur;4J;Résident ;All-FIMU;1674
2016-04-22;Vendredi;18-24 ans;Visiteur;4J;Touriste Français;All-FIMU;6630
2016-04-22;Vendredi;18-24 ans;Visiteur;5J;Résident ;All-FIMU;9413
2016-04-22;Vendredi;18-24 ans;Visiteur;5J;Touriste Français;All-FIMU;9740
2016-04-22;Vendredi;18-24 ans;Visiteur;6J;Résident ;All-FIMU;560
2016-04-22;Vendredi;18-24 ans;Visiteur;6J;Touriste Français;All-FIMU;7848
2016-04-22;Vendredi;18-24 ans;Visiteur;7J;Résident ;All-FIMU;791
2016-04-22;Vendredi;18-24 ans;Visiteur;7J;Touriste Français;All-FIMU;95
2016-04-22;Vendredi;18-24 ans;Visiteur;8J;Résident ;All-FIMU;2815
2016-04-22;Vendredi;18-24 ans;Visiteur;8J;Touriste Français;All-FIMU;553
2016-04-22;Vendredi;18-24 ans;Visiteur;9J;Résident ;All-FIMU;6679
2016-04-22;Vendredi;18-24 ans;Visiteur;9J;Touriste Français;All-FIMU;9478
2016-04-22;Vendredi;18-24 ans;Visiteur;10J;Résident ;All-FIMU;3483
2016-04-22;Vendredi;18-24 ans;Visiteur;10J;Touriste Français;All-FIMU;6041
2016-04-22;Vendredi;18-24 ans;Visiteur;11J;Résident ;All-FIMU;554
2016-04-22;Vendredi;18-24 ans;Visiteur;11J;Touriste Français;All-FIMU;5126
2016-04-22;Vendredi;18-24 ans;Visiteur;12J;Résident ;All-FIMU;3256
2016-04-22;Vendredi;18-24 ans;Visiteur;12J;Touriste Français;All-FIMU;46
2016-04-22;Vendredi;18-24 ans;Visiteur;13J;Résident ;All-FIMU;7012
2016-04-22;Vendredi;18-24 ans;Visiteur;13J;Touriste Français;All-FIMU;9590
2016-04-22;Vendredi;18-24 ans;Visiteur;14J;Résident ;All-FIMU;8008
2016-04-22;Vendredi;18-24 ans;Visiteur;14J;Touriste Français;All-FIMU;6286
2016-04-22;Vendredi;25-34 ans;Visiteur;1J;Résident ;All-FIMU;2221
2016-04-22;Vendredi;25-34 ans;Visiteur;1J;Touriste Français;All-FIMU;1605
2016-04-22;Vendredi;25-34 ans;Visiteur;2J;Résident ;All-FIMU;3689
2016-04-22;Vendredi;25-34 ans;Visiteur;2J;Touriste Français;All-FIMU;6994
2016-04-22;Vendredi;25-34 ans;Visiteur;3J;Résident ;All-FIMU;148
2016-04-22;Vendredi;25-34 ans;Visiteur;3J;Touriste Français;All-FIMU;1886
2016-04-22;Vendredi;25-34 ans;Visiteur;4J;Résident ;All-FIMU;2142
2016-04-22;Vendredi;25-34 ans;Visiteur;4J;Touriste Français;All-FIMU;4500
2016-04-22;Vendredi;25-34 ans;Visiteur;5J;Résident ;All-FIMU;6815
2016-04-22;Vendredi;25-34 ans;Visiteur;5J;Touriste Français;All-FIMU;2437
2016-04-22;Vendredi;25-34 ans;Visiteur;6J;Résident ;All-FIMU;1586
2016-04-22;Vendredi;25-34 ans;Visiteur;6J;Touriste Français;All-FIMU;7229
2016-04-22;Vendredi;25-34 ans;Visiteur;7J;Résident ;All-FIMU;5571
2016-04-22;Vendredi;25-34 ans;Visiteur;7J;Touriste Français;All-FIMU;2869
2016-04-22;Vendredi;25-34 ans;Visiteur;8J;Résident ;All-FIMU;4562
2016-04-22;Vendredi;25-34 ans;Visiteur;8J;Touriste Français;All-FIMU;5266
2016-04-22;Vendredi;25-34 ans;Visiteur;9J;Résident ;All-FIMU;5356
2016-04-22;Vendredi;25-34 ans;Visiteur;9J;Touriste Français;All-FIMU;4237
2016-04-22;Vendredi;25-34 ans;Visiteur;10J;Résident ;All-FIMU;154
2016-04-22;Vendredi;25-34 ans;Visiteur;10J;Touriste Français;All-FIMU;556
2016-04-22;Vendredi;25-34 ans;Visiteur;11J;Résident ;All-FIMU;2686
2016-04-22;Vendredi;25-34 ans;Visiteur;11J;Touriste Français;All-FIMU;4489
2016-04-22;Vendredi;25-34 ans;Visiteur;12J;Résident ;All-FIMU;7323
2016-04-22;Vendredi;25-34 ans;Visiteur;12J;Touriste Français;All-FIMU;9040
2016-04-22;Vendredi;25-34 ans;Visiteur;13J;Résident ;All-FIMU;5978
2016-04-22;Vendredi;25-34 ans;Visiteur;13J;Touriste Français;All-FIMU;8252
2016-04-22;Vendredi;25-34 ans;Visiteur;14J;Résident ;All-FIMU;4255
2016-04-22;Vendredi;25-34 ans;Visiteur;14J;Touriste Français;All-FIMU;8855
2016-04-22;Vendredi;35-44 ans;Visiteur;1J;Résident ;All-FIMU;9841
2016-04-22;Vendredi;35-44 ans;Visiteur;1J;Touriste Français;All-FIMU;394
2016-04-22;Vendredi;35-44 ans;Visiteur;2J;Résident ;All-FIMU;1217
2016-04-22;Vendredi;35-44 ans;Visiteur;2J;Touriste Français;All-FIMU;8756
2016-04-22;Vendredi;35-44 ans;Visiteur;3J;Résident ;All-FIMU;8793
2016-04-22;Vendredi;35-44 ans;Visiteur;3J;Touriste Français;All-FIMU;2276
2016-04-22;Vendredi;35-44 ans;Visiteur;4J;Résident ;All-FIMU;2955
2016-04-22;Vendredi;35-44 ans;Visiteur;4J;Touriste Français;All-FIMU;618
2016-04-22;Vendredi;35-44 ans;Visiteur;5J;Résident ;All-FIMU;3925
2016-04-22;Vendredi;35-44 ans;Visiteur;5J;Touriste Français;All-FIMU;787
2016-04-22;Vendredi;35-44 ans;Visiteur;6J;Résident ;All-FIMU;3184
2016-04-22;Vendredi;35-44 ans;Visiteur;6J;Touriste Français;All-FIMU;8152
2016-04-22;Vendredi;35-44 ans;Visiteur;7J;Résident ;All-FIMU;2116
2016-04-22;Vendredi;35-44 ans;Visiteur;7J;Touriste Français;All-FIMU;9080
2016-04-22;Vendredi;35-44 ans;Visiteur;8J;Résident ;All-FIMU;57
2016-04-22;Vendredi;35-44 ans;Visiteur;8J;Touriste Français;All-FIMU;9388
2016-04-22;Vendredi;35-44 ans;Visiteur;9J;Résident ;All-FIMU;7005
2016-04-22;Vendredi;35-44 ans;Visiteur;9J;Touriste Français;All-FIMU;1014
2016-04-22;Vendredi;35-44 ans;Visiteur;10J;Résident ;All-FIMU;2597
2016-04-22;Vendredi;35-44 ans;Visiteur;10J;Touriste Français;All-FIMU;6446
2016-04-22;Vendredi;35-44 ans;Visiteur;11J;Résident ;All-FIMU;9609
2016-04-22;Vendredi;35-44 ans;Visiteur;11J;Touriste Français;All-FIMU;9814
2016-04-22;Vendredi;35-44 ans;Visiteur;12J;Résident ;All-FIMU;8965
2016-04-22;Vendredi;35-44 ans;Visiteur;12J;Touriste Français;All-FIMU;599
2016-04-22;Vendredi;35-44 ans;Visiteur;13J;Résident ;All-FIMU;3405
2016-04-22;Vendredi;35-44 ans;Visiteur;13J;Touriste Français;All-FIMU;1297
2016-04-22;Vendredi;35-44 ans;Visiteur;14J;Résident ;All-FIMU;8409
2016-04-22;Vendredi;35-44 ans;Visiteur;14J;Touriste Français;All-FIMU;2524
2016-04-22;Vendredi;45-54 ans;Visiteur;1J;Résident ;All-FIMU;3590
2016-04-22;Vendredi;45-54 ans;Visiteur;1J;Touriste Français;All-FIMU;5334
2016-04-22;Vendredi;45-54 ans;Visiteur;2J;Résident ;All-FIMU;5629
2016-04-22;Vendredi;45-54 ans;Visiteur;2J;Touriste Français;All-FIMU;7477
2016-04-22;Vendredi;45-54 ans;Visiteur;3J;Résident ;All-FIMU;9136
2016-04-22;Vendredi;45-54 ans;Visiteur;3J;Touriste Français;All-FIMU;651
2016-04-22;Vendredi;45-54 ans;Visiteur;4J;Résident ;All-FIMU;9339
2016-04-22;Vendredi;45-54 ans;Visiteur;4J;Touriste Français;All-FIMU;3153
2016-04-22;Vendredi;45-54 ans;Visiteur;5J;Résident ;All-FIMU;2552
2016-04-22;Vendredi;45-54 ans;Visiteur;5J;Touriste Français;All-FIMU;5988
2016-04-22;Vendredi;45-54 ans;Visiteur;6J;Résident ;All-FIMU;4981
2016-04-22;Vendredi;45-54 ans;Visiteur;6J;Touriste Français;All-FIMU;2095
2016-04-22;Vendredi;45-54 ans;Visiteur;7J;Résident ;All-FIMU;6815
2016-04-22;Vendredi;45-54 ans;Visiteur;7J;Touriste Français;All-FIMU;3722
2016-04-22;Vendredi;45-54 ans;Visiteur;8J;Résident ;All-FIMU;5316
2016-04-22;Vendredi;45-54 ans;Visiteur;8J;Touriste Français;All-FIMU;4108
2016-04-22;Vendredi;45-54 ans;Visiteur;9J;Résident ;All-FIMU;4552
2016-04-22;Vendredi;45-54 ans;Visiteur;9J;Touriste Français;All-FIMU;2548
2016-04-22;Vendredi;45-54 ans;Visiteur;10J;Résident ;All-FIMU;8193
2016-04-22;Vendredi;45-54 ans;Visiteur;10J;Touriste Français;All-FIMU;3418
2016-04-22;Vendredi;45-54 ans;Visiteur;11J;Résident ;All-FIMU;6963
2016-04-22;Vendredi;45-54 ans;Visiteur;11J;Touriste Français;All-FIMU;6650
2016-04-22;Vendredi;45-54 ans;Visiteur;12J;Résident ;All-FIMU;7486
2016-04-22;Vendredi;45-54 ans;Visiteur;12J;Touriste Français;All-FIMU;9911
2016-04-22;Vendredi;45-54 ans;Visiteur;13J;Résident ;All-FIMU;5553
2016-04-22;Vendredi;45-54 ans;Visiteur;13J;Touriste Français;All-FIMU;5368
2016-04-22;Vendredi;45-54 ans;Visiteur;14J;Résident ;All-FIMU;8487
2016-04-22;Vendredi;45-54 ans;Visiteur;14J;Touriste Français;All-FIMU;7499
2016-04-22;Vendredi;55-64 ans;Visiteur;1J;Résident ;All-FIMU;7965
2016-04-22;Vendredi;55-64 ans;Visiteur;1J;Touriste Français;All-FIMU;5494
2016-04-22;Vendredi;55-64 ans;Visiteur;2J;Résident ;All-FIMU;9784
2016-04-22;Vendredi;55-64 ans;Visiteur;2J;Touriste Français;All-FIMU;9311
2016-04-22;Vendredi;55-64 ans;Visiteur;3J;Résident ;All-FIMU;1772
2016-04-22;Vendredi;55-64 ans;Visiteur;3J;Touriste Français;All-FIMU;8994
2016-04-22;Vendredi;55-64 ans;Visiteur;4J;Résident ;All-FIMU;3102
2016-04-22;Vendredi;55-64 ans;Visiteur;4J;Touriste Français;All-FIMU;190
2016-04-22;Vendredi;55-64 ans;Visiteur;5J;Résident ;All-FIMU;3278
2016-04-22;Vendredi;55-64 ans;Visiteur;5J;Touriste Français;All-FIMU;9025
2016-04-22;Vendredi;55-64 ans;Visiteur;6J;Résident ;All-FIMU;9873
2016-04-22;Vendredi;55-64 ans;Visiteur;6J;Touriste Français;All-FIMU;7183
2016-04-22;Vendredi;55-64 ans;Visiteur;7J;Résident ;All-FIMU;4739
2016-04-22;Vendredi;55-64 ans;Visiteur;7J;Touriste Français;All-FIMU;3905
2016-04-22;Vendredi;55-64 ans;Visiteur;8J;Résident ;All-FIMU;1392
2016-04-22;Vendredi;55-64 ans;Visiteur;8J;Touriste Français;All-FIMU;6272
2016-04-22;Vendredi;55-64 ans;Visiteur;9J;Résident ;All-FIMU;2479
2016-04-22;Vendredi;55-64 ans;Visiteur;9J;Touriste Français;All-FIMU;1997
2016-04-22;Vendredi;55-64 ans;Visiteur;10J;Résident ;All-FIMU;8336
2016-04-22;Vendredi;55-64 ans;Visiteur;10J;Touriste Français;All-FIMU;9260
2016-04-22;Vendredi;55-64 ans;Visiteur;11J;Résident ;All-FIMU;7129
2016-04-22;Vendredi;55-64 ans;Visiteur;11J;Touriste Français;All-FIMU;3396
2016-04-22;Vendredi;55-64 ans;Visiteur;12J;Résident ;All-FIMU;6583
2016-04-22;Vendredi;55-64 ans;Visiteur;12J;Touriste Français;All-FIMU;9190
2016-04-22;Vendredi;55-64 ans;Visiteur;13J;Résident ;All-FIMU;8961
2016-04-22;Vendredi;55-64 ans;Visiteur;13J;Touriste Français;All-FIMU;6319
2016-04-22;Vendredi;55-64 ans;Visiteur;14J;Résident ;All-FIMU;9052
2016-04-22;Vendredi;55-64 ans;Visiteur;14J;Touriste Français;All-FIMU;9229
2016-04-22;Vendredi;65 ans et +;Visiteur;1J;Résident ;All-FIMU;2762
2016-04-22;Vendredi;65 ans et +;Visiteur;1J;Touriste Français;All-FIMU;813
2016-04-22;Vendredi;65 ans et +;Visiteur;2J;Résident ;All-FIMU;888
2016-04-22;Vendredi;65 ans et +;Visiteur;2J;Touriste Français;All-FIMU;2682
2016-04-22;Vendredi;65 ans et +;Visiteur;3J;Résident ;All-FIMU;7068
2016-04-22;Vendredi;65 ans et +;Visiteur;3J;Touriste Français;All-FIMU;752
2016-04-22;Vendredi;65 ans et +;Visiteur;4J;Résident ;All-FIMU;3128
2016-04-22;Vendredi;65 ans et +;Visiteur;4J;Touriste Français;All-FIMU;8596
2016-04-22;Vendredi;65 ans et +;Visiteur;5J;Résident ;All-FIMU;855
2016-04-22;Vendredi;65 ans et +;Visiteur;5J;Touriste Français;All-FIMU;7833
2016-04-22;Vendredi;65 ans et +;Visiteur;6J;Résident ;All-FIMU;3144
2016-04-22;Vendredi;65 ans et +;Visiteur;6J;Touriste Français;All-FIMU;5908
2016-04-22;Vendredi;65 ans et +;Visiteur;7J;Résident ;All-FIMU;8713
2016-04-22;Vendredi;65 ans et +;Visiteur;7J;Touriste Français;All-FIMU;2913
2016-04-22;Vendredi;65 ans et +;Visiteur;8J;Résident ;All-FIMU;1281
2016-04-22;Vendredi;65 ans et +;Visiteur;8J;Touriste Français;All-FIMU;2191
2016-04-22;Vendredi;65 ans et +;Visiteur;9J;Résident ;All-FIMU;3378
2016-04-22;Vendredi;65 ans et +;Visiteur;9J;Touriste Français;All-FIMU;8507
2016-04-22;Vendredi;65 ans et +;Visiteur;10J;Résident ;All-FIMU;4820
2016-04-22;Vendredi;65 ans et +;Visiteur;10J;Touriste Français;All-FIMU;1699
2016-04-22;Vendredi;65 ans et +;Visiteur;11J;Résident ;All-FIMU;7808
2016-04-22;Vendredi;65 ans et +;Visiteur;11J;Touriste Français;All-FIMU;7310
2016-04-22;Vendredi;65 ans et +;Visiteur;12J;Résident ;All-FIMU;5752
2016-04-22;Vendredi;65 ans et +;Visiteur;12J;Touriste Français;All-FIMU;4066
2016-04-22;Vendredi;65 ans et +;Visiteur;13J;Résident ;All-FIMU;765
2016-04-22;Vendredi;65 ans et +;Visiteur;13J;Touriste Français;All-FIMU;1761
2016-04-22;Vendredi;65 ans et +;Visiteur;14J;Résident ;All-FIMU;2431
2016-04-22;Vendredi;65 ans et +;Visiteur;14J;Touriste Français;All-FIMU;685
2016-04-22;Vendredi;NR;Visiteur;1J;Résident ;All-FIMU;3817
2016-04-22;Vendredi;NR;Visiteur;1J;Touriste Français;All-FIMU;449
2016-04-22;Vendredi;NR;Visiteur;2J;Résident ;All-FIMU;2085
2016-04-22;Vendredi;NR;Visiteur;2J;Touriste Français;All-FIMU;5825
2016-04-22;Vendredi;NR;Visiteur;3J;Résident ;All-FIMU;4708
2016-04-22;Vendredi;NR;Visiteur;3J;Touriste Français;All-FIMU;2660
2016-04-22;Vendredi;NR;Visiteur;4J;Résident ;All-FIMU;7704
2016-04-22;Vendredi;NR;Visiteur;4J;Touriste Français;All-FIMU;9662
2016-04-22;Vendredi;NR;Visiteur;5J;Résident ;All-FIMU;4525
2016-04-22;Vendredi;NR;Visiteur;5J;Touriste Français;All-FIMU;7320
2016-04-22;Vendredi;NR;Visiteur;6J;Résident ;All-FIMU;3789
2016-04-22;Vendredi;NR;Visiteur;6J;Touriste Français;All-FIMU;3564
2016-04-22;Vendredi;NR;Visiteur;7J;Résident ;All-FIMU;7202
2016-04-22;Vendredi;NR;Visiteur;7J;Touriste Français;All-FIMU;3790
2016-04-22;Vendredi;NR;Visiteur;8J;Résident ;All-FIMU;7553
2016-04-22;Vendredi;NR;Visiteur;8J;Touriste Français;All-FIMU;6670
2016-04-22;Vendredi;NR;Visiteur;9J;Résident ;All-FIMU;2768
2016-04-22;Vendredi;NR;Visiteur;9J;Touriste Français;All-FIMU;4808
