Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;1J;Résident ;All-FIMU;4642
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;1J;Touriste Français;All-FIMU;9844
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;2J;Résident ;All-FIMU;2706
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;2J;Touriste Français;All-FIMU;1540
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;3J;Résident ;All-FIMU;1667
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;3J;Touriste Français;All-FIMU;1655
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;4J;Résident ;All-FIMU;3622
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;4J;Touriste Français;All-FIMU;6587
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;5J;Résident ;All-FIMU;4564
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;5J;Touriste Français;All-FIMU;6963
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;6J;Résident ;All-FIMU;7305
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;6J;Touriste Français;All-FIMU;9246
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;7J;Résident ;All-FIMU;3922
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;7J;Touriste Français;All-FIMU;5039
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;8J;Résident ;All-FIMU;2506
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;8J;Touriste Français;All-FIMU;8716
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;9J;Résident ;All-FIMU;5634
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;9J;Touriste Français;All-FIMU;5933
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;10J;Résident ;All-FIMU;5220
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;10J;Touriste Français;All-FIMU;3580
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;11J;Résident ;All-FIMU;6218
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;11J;Touriste Français;All-FIMU;9032
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;12J;Résident ;All-FIMU;2048
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;12J;Touriste Français;All-FIMU;6035
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;13J;Résident ;All-FIMU;55
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;13J;Touriste Français;All-FIMU;5093
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;14J;Résident ;All-FIMU;8653
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;14J;Touriste Français;All-FIMU;5682
2016-04-22;Vendredi;NR;NR;Visiteur;1J;Résident ;All-FIMU;8176
2016-04-22;Vendredi;NR;NR;Visiteur;1J;Touriste Français;All-FIMU;2392
2016-04-22;Vendredi;NR;NR;Visiteur;2J;Résident ;All-FIMU;5868
2016-04-22;Vendredi;NR;NR;Visiteur;2J;Touriste Français;All-FIMU;6794
2016-04-22;Vendredi;NR;NR;Visiteur;3J;Résident ;All-FIMU;7633
2016-04-22;Vendredi;NR;NR;Visiteur;3J;Touriste Français;All-FIMU;4366
2016-04-22;Vendredi;NR;NR;Visiteur;4J;Résident ;All-FIMU;2068
2016-04-22;Vendredi;NR;NR;Visiteur;4J;Touriste Français;All-FIMU;2120
2016-04-22;Vendredi;NR;NR;Visiteur;5J;Résident ;All-FIMU;2206
2016-04-22;Vendredi;NR;NR;Visiteur;5J;Touriste Français;All-FIMU;4725
2016-04-22;Vendredi;NR;NR;Visiteur;6J;Résident ;All-FIMU;3433
2016-04-22;Vendredi;NR;NR;Visiteur;6J;Touriste Français;All-FIMU;4582
2016-04-22;Vendredi;NR;NR;Visiteur;7J;Résident ;All-FIMU;177
2016-04-22;Vendredi;NR;NR;Visiteur;7J;Touriste Français;All-FIMU;1989
2016-04-22;Vendredi;NR;NR;Visiteur;8J;Résident ;All-FIMU;4636
2016-04-22;Vendredi;NR;NR;Visiteur;8J;Touriste Français;All-FIMU;7215
