Date;JourDeLaSemaine;Genre;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;CUMUL;Visiteur;1J;Résident ;All-FIMU;9065
2016-04-22;Vendredi;CUMUL;Visiteur;1J;Touriste Français;All-FIMU;9068
2016-04-22;Vendredi;CUMUL;Visiteur;2J;Résident ;All-FIMU;8380
2016-04-22;Vendredi;CUMUL;Visiteur;2J;Touriste Français;All-FIMU;8621
2016-04-22;Vendredi;CUMUL;Visiteur;3J;Résident ;All-FIMU;9052
2016-04-22;Vendredi;CUMUL;Visiteur;3J;Touriste Français;All-FIMU;2335
2016-04-22;Vendredi;CUMUL;Visiteur;4J;Résident ;All-FIMU;7659
2016-04-22;Vendredi;CUMUL;Visiteur;4J;Touriste Français;All-FIMU;8615
2016-04-22;Vendredi;CUMUL;Visiteur;5J;Résident ;All-FIMU;2977
2016-04-22;Vendredi;CUMUL;Visiteur;5J;Touriste Français;All-FIMU;3846
2016-04-22;Vendredi;CUMUL;Visiteur;6J;Résident ;All-FIMU;1837
2016-04-22;Vendredi;CUMUL;Visiteur;6J;Touriste Français;All-FIMU;8013
2016-04-22;Vendredi;CUMUL;Visiteur;7J;Résident ;All-FIMU;5823
2016-04-22;Vendredi;CUMUL;Visiteur;7J;Touriste Français;All-FIMU;8581
2016-04-22;Vendredi;CUMUL;Visiteur;8J;Résident ;All-FIMU;8969
2016-04-22;Vendredi;CUMUL;Visiteur;8J;Touriste Français;All-FIMU;949
2016-04-22;Vendredi;CUMUL;Visiteur;9J;Résident ;All-FIMU;4897
2016-04-22;Vendredi;CUMUL;Visiteur;9J;Touriste Français;All-FIMU;5055
2016-04-22;Vendredi;CUMUL;Visiteur;10J;Résident ;All-FIMU;9000
2016-04-22;Vendredi;CUMUL;Visiteur;10J;Touriste Français;All-FIMU;797
2016-04-22;Vendredi;CUMUL;Visiteur;11J;Résident ;All-FIMU;5443
2016-04-22;Vendredi;CUMUL;Visiteur;11J;Touriste Français;All-FIMU;8496
2016-04-22;Vendredi;CUMUL;Visiteur;12J;Résident ;All-FIMU;8643
2016-04-22;Vendredi;CUMUL;Visiteur;12J;Touriste Français;All-FIMU;1304
2016-04-22;Vendredi;CUMUL;Visiteur;13J;Résident ;All-FIMU;4768
2016-04-22;Vendredi;CUMUL;Visiteur;13J;Touriste Français;All-FIMU;9100
2016-04-22;Vendredi;CUMUL;Visiteur;14J;Résident ;All-FIMU;5356
2016-04-22;Vendredi;CUMUL;Visiteur;14J;Touriste Français;All-FIMU;9705
2016-04-22;Vendredi;F;Visiteur;1J;Résident ;All-FIMU;4068
2016-04-22;Vendredi;F;Visiteur;1J;Touriste Français;All-FIMU;8497
2016-04-22;Vendredi;F;Visiteur;2J;Résident ;All-FIMU;3993
2016-04-22;Vendredi;F;Visiteur;2J;Touriste Français;All-FIMU;1579
2016-04-22;Vendredi;F;Visiteur;3J;Résident ;All-FIMU;8706
2016-04-22;Vendredi;F;Visiteur;3J;Touriste Français;All-FIMU;3320
2016-04-22;Vendredi;F;Visiteur;4J;Résident ;All-FIMU;2812
2016-04-22;Vendredi;F;Visiteur;4J;Touriste Français;All-FIMU;348
2016-04-22;Vendredi;F;Visiteur;5J;Résident ;All-FIMU;1173
2016-04-22;Vendredi;F;Visiteur;5J;Touriste Français;All-FIMU;9967
2016-04-22;Vendredi;F;Visiteur;6J;Résident ;All-FIMU;6205
2016-04-22;Vendredi;F;Visiteur;6J;Touriste Français;All-FIMU;9652
2016-04-22;Vendredi;F;Visiteur;7J;Résident ;All-FIMU;5376
2016-04-22;Vendredi;F;Visiteur;7J;Touriste Français;All-FIMU;2140
2016-04-22;Vendredi;F;Visiteur;8J;Résident ;All-FIMU;7142
2016-04-22;Vendredi;F;Visiteur;8J;Touriste Français;All-FIMU;3014
2016-04-22;Vendredi;F;Visiteur;9J;Résident ;All-FIMU;63
2016-04-22;Vendredi;F;Visiteur;9J;Touriste Français;All-FIMU;1954
2016-04-22;Vendredi;F;Visiteur;10J;Résident ;All-FIMU;909
2016-04-22;Vendredi;F;Visiteur;10J;Touriste Français;All-FIMU;2746
2016-04-22;Vendredi;F;Visiteur;11J;Résident ;All-FIMU;9419
2016-04-22;Vendredi;F;Visiteur;11J;Touriste Français;All-FIMU;9653
2016-04-22;Vendredi;F;Visiteur;12J;Résident ;All-FIMU;1338
2016-04-22;Vendredi;F;Visiteur;12J;Touriste Français;All-FIMU;3115
2016-04-22;Vendredi;F;Visiteur;13J;Résident ;All-FIMU;3570
2016-04-22;Vendredi;F;Visiteur;13J;Touriste Français;All-FIMU;905
2016-04-22;Vendredi;F;Visiteur;14J;Résident ;All-FIMU;2577
2016-04-22;Vendredi;F;Visiteur;14J;Touriste Français;All-FIMU;9295
2016-04-22;Vendredi;H;Visiteur;1J;Résident ;All-FIMU;3835
2016-04-22;Vendredi;H;Visiteur;1J;Touriste Français;All-FIMU;8916
2016-04-22;Vendredi;H;Visiteur;2J;Résident ;All-FIMU;2375
2016-04-22;Vendredi;H;Visiteur;2J;Touriste Français;All-FIMU;584
2016-04-22;Vendredi;H;Visiteur;3J;Résident ;All-FIMU;645
2016-04-22;Vendredi;H;Visiteur;3J;Touriste Français;All-FIMU;993
2016-04-22;Vendredi;H;Visiteur;4J;Résident ;All-FIMU;4515
2016-04-22;Vendredi;H;Visiteur;4J;Touriste Français;All-FIMU;6895
2016-04-22;Vendredi;H;Visiteur;5J;Résident ;All-FIMU;9791
2016-04-22;Vendredi;H;Visiteur;5J;Touriste Français;All-FIMU;4477
2016-04-22;Vendredi;H;Visiteur;6J;Résident ;All-FIMU;7418
2016-04-22;Vendredi;H;Visiteur;6J;Touriste Français;All-FIMU;8418
2016-04-22;Vendredi;H;Visiteur;7J;Résident ;All-FIMU;6527
2016-04-22;Vendredi;H;Visiteur;7J;Touriste Français;All-FIMU;2155
2016-04-22;Vendredi;H;Visiteur;8J;Résident ;All-FIMU;6938
2016-04-22;Vendredi;H;Visiteur;8J;Touriste Français;All-FIMU;3138
2016-04-22;Vendredi;H;Visiteur;9J;Résident ;All-FIMU;4926
2016-04-22;Vendredi;H;Visiteur;9J;Touriste Français;All-FIMU;658
2016-04-22;Vendredi;H;Visiteur;10J;Résident ;All-FIMU;3179
2016-04-22;Vendredi;H;Visiteur;10J;Touriste Français;All-FIMU;4367
2016-04-22;Vendredi;H;Visiteur;11J;Résident ;All-FIMU;1677
2016-04-22;Vendredi;H;Visiteur;11J;Touriste Français;All-FIMU;4204
2016-04-22;Vendredi;H;Visiteur;12J;Résident ;All-FIMU;4062
2016-04-22;Vendredi;H;Visiteur;12J;Touriste Français;All-FIMU;636
2016-04-22;Vendredi;H;Visiteur;13J;Résident ;All-FIMU;517
2016-04-22;Vendredi;H;Visiteur;13J;Touriste Français;All-FIMU;9480
2016-04-22;Vendredi;H;Visiteur;14J;Résident ;All-FIMU;2672
2016-04-22;Vendredi;H;Visiteur;14J;Touriste Français;All-FIMU;7641
2016-04-22;Vendredi;NR;Visiteur;1J;Résident ;All-FIMU;7153
2016-04-22;Vendredi;NR;Visiteur;1J;Touriste Français;All-FIMU;2625
2016-04-22;Vendredi;NR;Visiteur;2J;Résident ;All-FIMU;1142
2016-04-22;Vendredi;NR;Visiteur;2J;Touriste Français;All-FIMU;2707
2016-04-22;Vendredi;NR;Visiteur;3J;Résident ;All-FIMU;6759
2016-04-22;Vendredi;NR;Visiteur;3J;Touriste Français;All-FIMU;2678
2016-04-22;Vendredi;NR;Visiteur;4J;Résident ;All-FIMU;283
2016-04-22;Vendredi;NR;Visiteur;4J;Touriste Français;All-FIMU;5926
2016-04-22;Vendredi;NR;Visiteur;5J;Résident ;All-FIMU;3973
2016-04-22;Vendredi;NR;Visiteur;5J;Touriste Français;All-FIMU;1272
2016-04-22;Vendredi;NR;Visiteur;6J;Résident ;All-FIMU;6606
2016-04-22;Vendredi;NR;Visiteur;6J;Touriste Français;All-FIMU;1346
2016-04-22;Vendredi;NR;Visiteur;7J;Résident ;All-FIMU;5794
2016-04-22;Vendredi;NR;Visiteur;7J;Touriste Français;All-FIMU;8494
2016-04-22;Vendredi;NR;Visiteur;8J;Résident ;All-FIMU;8572
2016-04-22;Vendredi;NR;Visiteur;8J;Touriste Français;All-FIMU;4180
2016-04-22;Vendredi;NR;Visiteur;9J;Résident ;All-FIMU;4183
2016-04-22;Vendredi;NR;Visiteur;9J;Touriste Français;All-FIMU;6073
2016-04-22;Vendredi;NR;Visiteur;10J;Résident ;All-FIMU;2166
2016-04-22;Vendredi;NR;Visiteur;10J;Touriste Français;All-FIMU;8953
2016-04-22;Vendredi;NR;Visiteur;11J;Résident ;All-FIMU;6318
2016-04-22;Vendredi;NR;Visiteur;11J;Touriste Français;All-FIMU;7667
2016-04-22;Vendredi;NR;Visiteur;12J;Résident ;All-FIMU;6232
2016-04-22;Vendredi;NR;Visiteur;12J;Touriste Français;All-FIMU;7823
2016-04-22;Vendredi;NR;Visiteur;13J;Résident ;All-FIMU;2925
2016-04-22;Vendredi;NR;Visiteur;13J;Touriste Français;All-FIMU;4223
2016-04-22;Vendredi;NR;Visiteur;14J;Résident ;All-FIMU;6270
2016-04-22;Vendredi;NR;Visiteur;14J;Touriste Français;All-FIMU;3279
2016-04-23;Samedi;CUMUL;Visiteur;1J;Résident ;All-FIMU;6027
2016-04-23;Samedi;CUMUL;Visiteur;1J;Touriste Français;All-FIMU;7827
2016-04-23;Samedi;CUMUL;Visiteur;2J;Résident ;All-FIMU;1148
2016-04-23;Samedi;CUMUL;Visiteur;2J;Touriste Français;All-FIMU;7132
2016-04-23;Samedi;CUMUL;Visiteur;3J;Résident ;All-FIMU;1959
2016-04-23;Samedi;CUMUL;Visiteur;3J;Touriste Français;All-FIMU;4277
2016-04-23;Samedi;CUMUL;Visiteur;4J;Résident ;All-FIMU;143
2016-04-23;Samedi;CUMUL;Visiteur;4J;Touriste Français;All-FIMU;328
2016-04-23;Samedi;CUMUL;Visiteur;5J;Résident ;All-FIMU;4600
2016-04-23;Samedi;CUMUL;Visiteur;5J;Touriste Français;All-FIMU;7417
