Date;JourDeLaSemaine;TypeNuitee;CategorieVisiteurs;ZoneNuitee;Volume
2016-04-22;Vendredi;Veille;Résident ;Ville de Belfort;2022
2016-04-22;Vendredi;Veille;Résident ;Agglomeration de Belfort;4301
2016-04-22;Vendredi;Veille;Résident ;Agglomeration de Montbeliard;3757
2016-04-22;Vendredi;Veille;Résident ;Agglomeration de Hericourt;8312
2016-04-22;Vendredi;Veille;Résident ;Reste Territoire de Belfort;5212
2016-04-22;Vendredi;Veille;Résident ;Reste Haute Saone;8334
2016-04-22;Vendredi;Veille;Résident ;Reste Doubs;5276
2016-04-22;Vendredi;Veille;Résident ;Haut Rhin Sud;#
2016-04-22;Vendredi;Veille;Résident ;Haut Rhin Nord;#
2016-04-22;Vendredi;Veille;Touriste Français;Ville de Belfort;1802
2016-04-22;Vendredi;Veille;Touriste Français;Agglomeration de Belfort;2019
2016-04-22;Vendredi;Veille;Touriste Français;Agglomeration de Montbeliard;2972
2016-04-22;Vendredi;Veille;Touriste Français;Agglomeration de Hericourt;9225
2016-04-22;Vendredi;Veille;Touriste Français;Reste Territoire de Belfort;7181
2016-04-22;Vendredi;Veille;Touriste Français;Reste Haute Saone;9186
2016-04-22;Vendredi;Veille;Touriste Français;Reste Doubs;4700
2016-04-22;Vendredi;Veille;Touriste Français;Haut Rhin Sud;5652
2016-04-22;Vendredi;Veille;Touriste Français;Haut Rhin Nord;6792
2016-04-22;Vendredi;Veille;Touriste Français;Vosges;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Ville de Belfort;150
2016-04-22;Vendredi;Veille;Touriste Etranger;Agglomeration de Belfort;2891
2016-04-22;Vendredi;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Reste Territoire de Belfort;6766
2016-04-22;Vendredi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Reste Doubs;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Haut Rhin Nord;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Vosges;#
2016-04-23;Samedi;Veille;Résident ;Ville de Belfort;516
2016-04-23;Samedi;Veille;Résident ;Agglomeration de Belfort;4594
2016-04-23;Samedi;Veille;Résident ;Agglomeration de Montbeliard;2839
2016-04-23;Samedi;Veille;Résident ;Agglomeration de Hericourt;9013
2016-04-23;Samedi;Veille;Résident ;Reste Territoire de Belfort;5903
2016-04-23;Samedi;Veille;Résident ;Reste Haute Saone;7083
2016-04-23;Samedi;Veille;Résident ;Reste Doubs;#
2016-04-23;Samedi;Veille;Résident ;Haut Rhin Sud;#
2016-04-23;Samedi;Veille;Résident ;Haut Rhin Nord;#
2016-04-23;Samedi;Veille;Touriste Français;Ville de Belfort;7822
2016-04-23;Samedi;Veille;Touriste Français;Agglomeration de Belfort;6487
2016-04-23;Samedi;Veille;Touriste Français;Agglomeration de Montbeliard;8087
2016-04-23;Samedi;Veille;Touriste Français;Agglomeration de Hericourt;6765
2016-04-23;Samedi;Veille;Touriste Français;Reste Territoire de Belfort;9926
2016-04-23;Samedi;Veille;Touriste Français;Reste Haute Saone;1317
2016-04-23;Samedi;Veille;Touriste Français;Reste Doubs;2816
2016-04-23;Samedi;Veille;Touriste Français;Haut Rhin Sud;5908
2016-04-23;Samedi;Veille;Touriste Français;Haut Rhin Nord;#
2016-04-23;Samedi;Veille;Touriste Français;Vosges;#
2016-04-23;Samedi;Veille;Touriste Etranger;Ville de Belfort;6145
2016-04-23;Samedi;Veille;Touriste Etranger;Agglomeration de Belfort;9268
2016-04-23;Samedi;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-04-23;Samedi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-04-23;Samedi;Veille;Touriste Etranger;Reste Territoire de Belfort;4862
2016-04-23;Samedi;Veille;Touriste Etranger;Reste Doubs;#
2016-04-23;Samedi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-04-24;Dimanche;Veille;Résident ;Ville de Belfort;9719
2016-04-24;Dimanche;Veille;Résident ;Agglomeration de Belfort;7029
2016-04-24;Dimanche;Veille;Résident ;Agglomeration de Montbeliard;1927
2016-04-24;Dimanche;Veille;Résident ;Reste Territoire de Belfort;5619
2016-04-24;Dimanche;Veille;Résident ;Reste Haute Saone;#
2016-04-24;Dimanche;Veille;Résident ;Reste Doubs;5752
2016-04-24;Dimanche;Veille;Résident ;Haut Rhin Sud;#
2016-04-24;Dimanche;Veille;Résident ;Haut Rhin Nord;#
2016-04-24;Dimanche;Veille;Résident ;Vosges;#
2016-04-24;Dimanche;Veille;Touriste Français;Ville de Belfort;1283
2016-04-24;Dimanche;Veille;Touriste Français;Agglomeration de Belfort;1772
2016-04-24;Dimanche;Veille;Touriste Français;Agglomeration de Montbeliard;1541
2016-04-24;Dimanche;Veille;Touriste Français;Agglomeration de Hericourt;354
2016-04-24;Dimanche;Veille;Touriste Français;Reste Territoire de Belfort;#
2016-04-24;Dimanche;Veille;Touriste Français;Reste Haute Saone;2977
2016-04-24;Dimanche;Veille;Touriste Français;Reste Doubs;8196
2016-04-24;Dimanche;Veille;Touriste Français;Haut Rhin Sud;4611
2016-04-24;Dimanche;Veille;Touriste Français;Haut Rhin Nord;7289
2016-04-24;Dimanche;Veille;Touriste Français;Vosges;7424
2016-04-24;Dimanche;Veille;Touriste Etranger;Ville de Belfort;8003
2016-04-24;Dimanche;Veille;Touriste Etranger;Agglomeration de Belfort;#
2016-04-24;Dimanche;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-04-24;Dimanche;Veille;Touriste Etranger;Reste Haute Saone;#
2016-04-24;Dimanche;Veille;Touriste Etranger;Reste Doubs;#
2016-04-24;Dimanche;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-04-25;Lundi;Veille;Résident ;Ville de Belfort;9148
2016-04-25;Lundi;Veille;Résident ;Agglomeration de Belfort;9708
2016-04-25;Lundi;Veille;Résident ;Agglomeration de Montbeliard;1186
2016-04-25;Lundi;Veille;Résident ;Agglomeration de Hericourt;9602
2016-04-25;Lundi;Veille;Résident ;Reste Territoire de Belfort;1765
2016-04-25;Lundi;Veille;Résident ;Reste Haute Saone;684
2016-04-25;Lundi;Veille;Résident ;Reste Doubs;#
2016-04-25;Lundi;Veille;Résident ;Haut Rhin Sud;#
2016-04-25;Lundi;Veille;Touriste Français;Ville de Belfort;4895
2016-04-25;Lundi;Veille;Touriste Français;Agglomeration de Belfort;1610
2016-04-25;Lundi;Veille;Touriste Français;Agglomeration de Montbeliard;4653
2016-04-25;Lundi;Veille;Touriste Français;Agglomeration de Hericourt;5745
2016-04-25;Lundi;Veille;Touriste Français;Reste Territoire de Belfort;4718
2016-04-25;Lundi;Veille;Touriste Français;Reste Haute Saone;6997
2016-04-25;Lundi;Veille;Touriste Français;Reste Doubs;2625
2016-04-25;Lundi;Veille;Touriste Français;Haut Rhin Sud;7381
2016-04-25;Lundi;Veille;Touriste Français;Haut Rhin Nord;2152
2016-04-25;Lundi;Veille;Touriste Français;Vosges;9500
2016-04-25;Lundi;Veille;Touriste Etranger;Ville de Belfort;5712
2016-04-25;Lundi;Veille;Touriste Etranger;Agglomeration de Belfort;7788
2016-04-25;Lundi;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-04-25;Lundi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-04-25;Lundi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-04-25;Lundi;Veille;Touriste Etranger;Reste Doubs;#
2016-04-25;Lundi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-04-25;Lundi;Veille;Touriste Etranger;Haut Rhin Nord;#
2016-04-26;Mardi;Veille;Résident ;Ville de Belfort;4232
2016-04-26;Mardi;Veille;Résident ;Agglomeration de Belfort;6177
2016-04-26;Mardi;Veille;Résident ;Agglomeration de Montbeliard;8177
2016-04-26;Mardi;Veille;Résident ;Agglomeration de Hericourt;7382
2016-04-26;Mardi;Veille;Résident ;Reste Territoire de Belfort;6106
2016-04-26;Mardi;Veille;Résident ;Reste Haute Saone;3839
2016-04-26;Mardi;Veille;Résident ;Reste Doubs;#
2016-04-26;Mardi;Veille;Résident ;Haut Rhin Sud;#
2016-04-26;Mardi;Veille;Touriste Français;Ville de Belfort;222
2016-04-26;Mardi;Veille;Touriste Français;Agglomeration de Belfort;4375
2016-04-26;Mardi;Veille;Touriste Français;Agglomeration de Montbeliard;321
2016-04-26;Mardi;Veille;Touriste Français;Agglomeration de Hericourt;6422
2016-04-26;Mardi;Veille;Touriste Français;Reste Territoire de Belfort;1149
2016-04-26;Mardi;Veille;Touriste Français;Reste Haute Saone;1005
2016-04-26;Mardi;Veille;Touriste Français;Reste Doubs;4038
2016-04-26;Mardi;Veille;Touriste Français;Haut Rhin Sud;5208
2016-04-26;Mardi;Veille;Touriste Français;Haut Rhin Nord;#
2016-04-26;Mardi;Veille;Touriste Français;Vosges;7624
2016-04-26;Mardi;Veille;Touriste Etranger;Ville de Belfort;6666
2016-04-26;Mardi;Veille;Touriste Etranger;Agglomeration de Belfort;6185
2016-04-26;Mardi;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-04-26;Mardi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-04-26;Mardi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-04-26;Mardi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-04-26;Mardi;Veille;Touriste Etranger;Reste Doubs;#
2016-04-26;Mardi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-04-26;Mardi;Veille;Touriste Etranger;Haut Rhin Nord;#
2016-04-27;Mercredi;Veille;Résident ;Ville de Belfort;5647
2016-04-27;Mercredi;Veille;Résident ;Agglomeration de Belfort;1210
2016-04-27;Mercredi;Veille;Résident ;Agglomeration de Montbeliard;2638
2016-04-27;Mercredi;Veille;Résident ;Agglomeration de Hericourt;2501
2016-04-27;Mercredi;Veille;Résident ;Reste Territoire de Belfort;7213
2016-04-27;Mercredi;Veille;Résident ;Reste Haute Saone;3573
2016-04-27;Mercredi;Veille;Résident ;Reste Doubs;930
2016-04-27;Mercredi;Veille;Résident ;Haut Rhin Sud;5367
2016-04-27;Mercredi;Veille;Résident ;Haut Rhin Nord;#
2016-04-27;Mercredi;Veille;Résident ;Vosges;#
2016-04-27;Mercredi;Veille;Touriste Français;Ville de Belfort;2472
2016-04-27;Mercredi;Veille;Touriste Français;Agglomeration de Belfort;2779
2016-04-27;Mercredi;Veille;Touriste Français;Agglomeration de Montbeliard;5668
2016-04-27;Mercredi;Veille;Touriste Français;Agglomeration de Hericourt;9790
2016-04-27;Mercredi;Veille;Touriste Français;Reste Territoire de Belfort;284
2016-04-27;Mercredi;Veille;Touriste Français;Reste Haute Saone;8838
2016-04-27;Mercredi;Veille;Touriste Français;Reste Doubs;4758
2016-04-27;Mercredi;Veille;Touriste Français;Haut Rhin Sud;5648
2016-04-27;Mercredi;Veille;Touriste Français;Haut Rhin Nord;799
2016-04-27;Mercredi;Veille;Touriste Français;Vosges;#
2016-04-27;Mercredi;Veille;Touriste Etranger;Ville de Belfort;3581
2016-04-27;Mercredi;Veille;Touriste Etranger;Agglomeration de Belfort;3334
2016-04-27;Mercredi;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
