Date;JourDeLaSemaine;TypeNuitee;CategorieVisiteurs;ZoneNuitee;Volume
2016-04-22;Vendredi;Soir;Résident ;Ville de Belfort;8767
2016-04-22;Vendredi;Soir;Résident ;Agglomeration de Belfort;5435
2016-04-22;Vendredi;Soir;Résident ;Agglomeration de Montbeliard;2031
2016-04-22;Vendredi;Soir;Résident ;Agglomeration de Hericourt;4442
2016-04-22;Vendredi;Soir;Résident ;Reste Territoire de Belfort;7959
2016-04-22;Vendredi;Soir;Résident ;Reste Haute Saone;7058
2016-04-22;Vendredi;Soir;Résident ;Reste Doubs;2375
2016-04-22;Vendredi;Soir;Résident ;Haut Rhin Sud;#
2016-04-22;Vendredi;Soir;Résident ;Haut Rhin Nord;#
2016-04-22;Vendredi;Soir;Touriste Français;Ville de Belfort;7293
2016-04-22;Vendredi;Soir;Touriste Français;Agglomeration de Belfort;8728
2016-04-22;Vendredi;Soir;Touriste Français;Agglomeration de Montbeliard;394
2016-04-22;Vendredi;Soir;Touriste Français;Agglomeration de Hericourt;5604
2016-04-22;Vendredi;Soir;Touriste Français;Reste Territoire de Belfort;4471
2016-04-22;Vendredi;Soir;Touriste Français;Reste Haute Saone;1546
2016-04-22;Vendredi;Soir;Touriste Français;Reste Doubs;3758
2016-04-22;Vendredi;Soir;Touriste Français;Haut Rhin Sud;9141
2016-04-22;Vendredi;Soir;Touriste Français;Haut Rhin Nord;#
2016-04-22;Vendredi;Soir;Touriste Français;Vosges;#
2016-04-22;Vendredi;Soir;Touriste Etranger;Ville de Belfort;224
2016-04-22;Vendredi;Soir;Touriste Etranger;Agglomeration de Belfort;7172
2016-04-22;Vendredi;Soir;Touriste Etranger;Agglomeration de Montbeliard;5116
2016-04-22;Vendredi;Soir;Touriste Etranger;Agglomeration de Hericourt;#
2016-04-22;Vendredi;Soir;Touriste Etranger;Reste Territoire de Belfort;1628
2016-04-22;Vendredi;Soir;Touriste Etranger;Reste Haute Saone;#
2016-04-22;Vendredi;Soir;Touriste Etranger;Reste Doubs;#
2016-04-22;Vendredi;Soir;Touriste Etranger;Haut Rhin Sud;#
2016-04-23;Samedi;Soir;Résident ;Ville de Belfort;3633
2016-04-23;Samedi;Soir;Résident ;Agglomeration de Belfort;5247
2016-04-23;Samedi;Soir;Résident ;Agglomeration de Montbeliard;9836
2016-04-23;Samedi;Soir;Résident ;Agglomeration de Hericourt;4361
2016-04-23;Samedi;Soir;Résident ;Reste Territoire de Belfort;6314
2016-04-23;Samedi;Soir;Résident ;Reste Haute Saone;#
2016-04-23;Samedi;Soir;Résident ;Reste Doubs;#
2016-04-23;Samedi;Soir;Résident ;Haut Rhin Sud;5328
2016-04-23;Samedi;Soir;Résident ;Vosges;#
2016-04-23;Samedi;Soir;Touriste Français;Ville de Belfort;4852
2016-04-23;Samedi;Soir;Touriste Français;Agglomeration de Belfort;8684
2016-04-23;Samedi;Soir;Touriste Français;Agglomeration de Montbeliard;6841
2016-04-23;Samedi;Soir;Touriste Français;Agglomeration de Hericourt;236
2016-04-23;Samedi;Soir;Touriste Français;Reste Territoire de Belfort;6167
2016-04-23;Samedi;Soir;Touriste Français;Reste Haute Saone;8055
2016-04-23;Samedi;Soir;Touriste Français;Reste Doubs;7474
2016-04-23;Samedi;Soir;Touriste Français;Haut Rhin Sud;2420
2016-04-23;Samedi;Soir;Touriste Français;Haut Rhin Nord;9968
2016-04-23;Samedi;Soir;Touriste Français;Vosges;#
2016-04-23;Samedi;Soir;Touriste Etranger;Ville de Belfort;814
2016-04-23;Samedi;Soir;Touriste Etranger;Agglomeration de Belfort;#
2016-04-23;Samedi;Soir;Touriste Etranger;Agglomeration de Montbeliard;#
