Date;JourDeLaSemaine;Heure;Presence30Min;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;12:00:00;Présent;Résident ;All-FIMU;8958
2016-04-22;Vendredi;12:00:00;Présent;Touriste Français;All-FIMU;6656
2016-04-22;Vendredi;12:00:00;Présent;Touriste Etranger;All-FIMU;8991
2016-04-22;Vendredi;12:30:00;Présent;Résident ;All-FIMU;7811
2016-04-22;Vendredi;12:30:00;Présent;Touriste Français;All-FIMU;4645
2016-04-22;Vendredi;12:30:00;Présent;Touriste Etranger;All-FIMU;6648
2016-04-22;Vendredi;13:00:00;Présent;Résident ;All-FIMU;5327
2016-04-22;Vendredi;13:00:00;Présent;Touriste Français;All-FIMU;3586
2016-04-22;Vendredi;13:00:00;Présent;Touriste Etranger;All-FIMU;1605
2016-04-22;Vendredi;13:30:00;Présent;Résident ;All-FIMU;3481
2016-04-22;Vendredi;13:30:00;Présent;Touriste Français;All-FIMU;8205
2016-04-22;Vendredi;13:30:00;Présent;Touriste Etranger;All-FIMU;8413
2016-04-22;Vendredi;14:00:00;Présent;Résident ;All-FIMU;3551
2016-04-22;Vendredi;14:00:00;Présent;Touriste Français;All-FIMU;2626
2016-04-22;Vendredi;14:00:00;Présent;Touriste Etranger;All-FIMU;1125
2016-04-22;Vendredi;14:30:00;Présent;Résident ;All-FIMU;4618
2016-04-22;Vendredi;14:30:00;Présent;Touriste Français;All-FIMU;4042
2016-04-22;Vendredi;14:30:00;Présent;Touriste Etranger;All-FIMU;8553
2016-04-22;Vendredi;15:00:00;Présent;Résident ;All-FIMU;6865
2016-04-22;Vendredi;15:00:00;Présent;Touriste Français;All-FIMU;6864
2016-04-22;Vendredi;15:00:00;Présent;Touriste Etranger;All-FIMU;3987
2016-04-22;Vendredi;15:30:00;Présent;Résident ;All-FIMU;218
2016-04-22;Vendredi;15:30:00;Présent;Touriste Français;All-FIMU;8394
2016-04-22;Vendredi;15:30:00;Présent;Touriste Etranger;All-FIMU;7008
2016-04-22;Vendredi;16:00:00;Présent;Résident ;All-FIMU;1929
2016-04-22;Vendredi;16:00:00;Présent;Touriste Français;All-FIMU;7167
2016-04-22;Vendredi;16:00:00;Présent;Touriste Etranger;All-FIMU;2269
2016-04-22;Vendredi;16:30:00;Présent;Résident ;All-FIMU;8354
2016-04-22;Vendredi;16:30:00;Présent;Touriste Français;All-FIMU;9869
2016-04-22;Vendredi;16:30:00;Présent;Touriste Etranger;All-FIMU;124
2016-04-22;Vendredi;17:00:00;Présent;Résident ;All-FIMU;6685
2016-04-22;Vendredi;17:00:00;Présent;Touriste Français;All-FIMU;7434
2016-04-22;Vendredi;17:00:00;Présent;Touriste Etranger;All-FIMU;845
2016-04-22;Vendredi;17:30:00;Présent;Résident ;All-FIMU;6332
2016-04-22;Vendredi;17:30:00;Présent;Touriste Français;All-FIMU;3584
2016-04-22;Vendredi;17:30:00;Présent;Touriste Etranger;All-FIMU;6221
2016-04-22;Vendredi;18:00:00;Présent;Résident ;All-FIMU;3225
2016-04-22;Vendredi;18:00:00;Présent;Touriste Français;All-FIMU;3447
2016-04-22;Vendredi;18:00:00;Présent;Touriste Etranger;All-FIMU;4084
2016-04-22;Vendredi;18:30:00;Présent;Résident ;All-FIMU;3377
