Date;JourDeLaSemaine;Age;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;3056
2016-04-22;Vendredi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;7422
2016-04-22;Vendredi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;4580
2016-04-22;Vendredi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;2533
2016-04-22;Vendredi;18-24 ans;Visiteur;Journee;Résident ;All-FIMU;2172
2016-04-22;Vendredi;18-24 ans;Visiteur;Journee;Touriste Français;All-FIMU;2913
2016-04-22;Vendredi;18-24 ans;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-22;Vendredi;18-24 ans;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-22;Vendredi;25-34 ans;Visiteur;Journee;Résident ;All-FIMU;4564
2016-04-22;Vendredi;25-34 ans;Visiteur;Journee;Touriste Français;All-FIMU;9025
2016-04-22;Vendredi;25-34 ans;Excursionniste;Journee;Résident ;All-FIMU;4854
2016-04-22;Vendredi;25-34 ans;Excursionniste;Journee;Touriste Français;All-FIMU;219
2016-04-22;Vendredi;35-44 ans;Visiteur;Journee;Résident ;All-FIMU;7028
2016-04-22;Vendredi;35-44 ans;Visiteur;Journee;Touriste Français;All-FIMU;9197
2016-04-22;Vendredi;35-44 ans;Excursionniste;Journee;Résident ;All-FIMU;1699
2016-04-22;Vendredi;35-44 ans;Excursionniste;Journee;Touriste Français;All-FIMU;9660
2016-04-22;Vendredi;45-54 ans;Visiteur;Journee;Résident ;All-FIMU;2440
2016-04-22;Vendredi;45-54 ans;Visiteur;Journee;Touriste Français;All-FIMU;5285
2016-04-22;Vendredi;45-54 ans;Excursionniste;Journee;Résident ;All-FIMU;5448
2016-04-22;Vendredi;45-54 ans;Excursionniste;Journee;Touriste Français;All-FIMU;8582
2016-04-22;Vendredi;55-64 ans;Visiteur;Journee;Résident ;All-FIMU;7832
2016-04-22;Vendredi;55-64 ans;Visiteur;Journee;Touriste Français;All-FIMU;3755
2016-04-22;Vendredi;55-64 ans;Excursionniste;Journee;Résident ;All-FIMU;6175
2016-04-22;Vendredi;55-64 ans;Excursionniste;Journee;Touriste Français;All-FIMU;2759
2016-04-22;Vendredi;65 ans et +;Visiteur;Journee;Résident ;All-FIMU;2012
2016-04-22;Vendredi;65 ans et +;Visiteur;Journee;Touriste Français;All-FIMU;6482
2016-04-22;Vendredi;65 ans et +;Excursionniste;Journee;Résident ;All-FIMU;5529
2016-04-22;Vendredi;65 ans et +;Excursionniste;Journee;Touriste Français;All-FIMU;8822
2016-04-22;Vendredi;NR;Visiteur;Journee;Résident ;All-FIMU;8202
2016-04-22;Vendredi;NR;Visiteur;Journee;Touriste Français;All-FIMU;9622
2016-04-22;Vendredi;NR;Excursionniste;Journee;Résident ;All-FIMU;7306
2016-04-22;Vendredi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;2660
2016-04-23;Samedi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;5936
2016-04-23;Samedi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;1265
2016-04-23;Samedi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;6357
2016-04-23;Samedi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;4241
2016-04-23;Samedi;18-24 ans;Visiteur;Journee;Résident ;All-FIMU;8585
2016-04-23;Samedi;18-24 ans;Visiteur;Journee;Touriste Français;All-FIMU;2268
2016-04-23;Samedi;18-24 ans;Excursionniste;Journee;Résident ;All-FIMU;1850
2016-04-23;Samedi;18-24 ans;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-23;Samedi;25-34 ans;Visiteur;Journee;Résident ;All-FIMU;6738
2016-04-23;Samedi;25-34 ans;Visiteur;Journee;Touriste Français;All-FIMU;7033
2016-04-23;Samedi;25-34 ans;Excursionniste;Journee;Résident ;All-FIMU;1911
2016-04-23;Samedi;25-34 ans;Excursionniste;Journee;Touriste Français;All-FIMU;1889
2016-04-23;Samedi;35-44 ans;Visiteur;Journee;Résident ;All-FIMU;7759
2016-04-23;Samedi;35-44 ans;Visiteur;Journee;Touriste Français;All-FIMU;1205
2016-04-23;Samedi;35-44 ans;Excursionniste;Journee;Résident ;All-FIMU;5360
2016-04-23;Samedi;35-44 ans;Excursionniste;Journee;Touriste Français;All-FIMU;8351
2016-04-23;Samedi;45-54 ans;Visiteur;Journee;Résident ;All-FIMU;6869
2016-04-23;Samedi;45-54 ans;Visiteur;Journee;Touriste Français;All-FIMU;316
2016-04-23;Samedi;45-54 ans;Excursionniste;Journee;Résident ;All-FIMU;9475
2016-04-23;Samedi;45-54 ans;Excursionniste;Journee;Touriste Français;All-FIMU;3889
2016-04-23;Samedi;55-64 ans;Visiteur;Journee;Résident ;All-FIMU;541
2016-04-23;Samedi;55-64 ans;Visiteur;Journee;Touriste Français;All-FIMU;4542
2016-04-23;Samedi;55-64 ans;Excursionniste;Journee;Résident ;All-FIMU;5915
2016-04-23;Samedi;55-64 ans;Excursionniste;Journee;Touriste Français;All-FIMU;4226
2016-04-23;Samedi;65 ans et +;Visiteur;Journee;Résident ;All-FIMU;7609
2016-04-23;Samedi;65 ans et +;Visiteur;Journee;Touriste Français;All-FIMU;5280
2016-04-23;Samedi;65 ans et +;Excursionniste;Journee;Résident ;All-FIMU;7875
2016-04-23;Samedi;65 ans et +;Excursionniste;Journee;Touriste Français;All-FIMU;7738
2016-04-23;Samedi;NR;Visiteur;Journee;Résident ;All-FIMU;4566
2016-04-23;Samedi;NR;Visiteur;Journee;Touriste Français;All-FIMU;5474
