Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;Journee;Résident ;All-FIMU;9508
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;2565
2016-04-22;Vendredi;CUMUL;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;7698
2016-04-22;Vendredi;CUMUL;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;4887
2016-04-22;Vendredi;NR;NR;Visiteur;Journee;Résident ;All-FIMU;7223
2016-04-22;Vendredi;NR;NR;Visiteur;Journee;Touriste Français;All-FIMU;5987
2016-04-22;Vendredi;NR;NR;Excursionniste;Journee;Résident ;All-FIMU;244
2016-04-22;Vendredi;NR;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Résident ;All-FIMU;802
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;7409
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Résident ;All-FIMU;6111
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;7405
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;5001
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;1803
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;2721
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;3759
2016-04-22;Vendredi;populaire;Populaire;Visiteur;Journee;Résident ;All-FIMU;3432
2016-04-22;Vendredi;populaire;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;4513
2016-04-22;Vendredi;populaire;Populaire;Excursionniste;Journee;Résident ;All-FIMU;2077
2016-04-22;Vendredi;populaire;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;7068
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;5915
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;6368
2016-04-22;Vendredi;rural dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;6047
2016-04-22;Vendredi;rural dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;3443
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;Journee;Résident ;All-FIMU;3345
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;2399
2016-04-22;Vendredi;rural ouvrier;Populaire;Excursionniste;Journee;Résident ;All-FIMU;9366
2016-04-22;Vendredi;rural ouvrier;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;744
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;Journee;Résident ;All-FIMU;6192
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;7517
2016-04-22;Vendredi;rural traditionnel;Populaire;Excursionniste;Journee;Résident ;All-FIMU;9671
2016-04-22;Vendredi;rural traditionnel;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;6340
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;6155
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;2083
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;7746
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;5954
2016-04-22;Vendredi;urbain defavorise;Populaire;Visiteur;Journee;Résident ;All-FIMU;7806
2016-04-22;Vendredi;urbain defavorise;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;7529
2016-04-22;Vendredi;urbain defavorise;Populaire;Excursionniste;Journee;Résident ;All-FIMU;8833
2016-04-22;Vendredi;urbain defavorise;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-22;Vendredi;urbain dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;8800
2016-04-22;Vendredi;urbain dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;2348
2016-04-22;Vendredi;urbain dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;7205
2016-04-22;Vendredi;urbain dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;7116
2016-04-22;Vendredi;urbain familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;5754
2016-04-22;Vendredi;urbain familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;9917
