Date;JourDeLaSemaine;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;Visiteur;1J;Résident ;All-FIMU;7688
2016-04-22;Vendredi;Visiteur;1J;Touriste Français;All-FIMU;6666
2016-04-22;Vendredi;Visiteur;1J;Touriste Etranger;All-FIMU;9846
2016-04-22;Vendredi;Visiteur;2J;Résident ;All-FIMU;2794
2016-04-22;Vendredi;Visiteur;2J;Touriste Français;All-FIMU;751
2016-04-22;Vendredi;Visiteur;2J;Touriste Etranger;All-FIMU;5092
2016-04-22;Vendredi;Visiteur;3J;Résident ;All-FIMU;4402
2016-04-22;Vendredi;Visiteur;3J;Touriste Français;All-FIMU;6384
2016-04-22;Vendredi;Visiteur;3J;Touriste Etranger;All-FIMU;2892
2016-04-22;Vendredi;Visiteur;4J;Résident ;All-FIMU;3117
2016-04-22;Vendredi;Visiteur;4J;Touriste Français;All-FIMU;9487
2016-04-22;Vendredi;Visiteur;4J;Touriste Etranger;All-FIMU;4207
2016-04-22;Vendredi;Visiteur;5J;Résident ;All-FIMU;2565
2016-04-22;Vendredi;Visiteur;5J;Touriste Français;All-FIMU;394
2016-04-22;Vendredi;Visiteur;5J;Touriste Etranger;All-FIMU;8524
2016-04-22;Vendredi;Visiteur;6J;Résident ;All-FIMU;6133
2016-04-22;Vendredi;Visiteur;6J;Touriste Français;All-FIMU;2271
2016-04-22;Vendredi;Visiteur;6J;Touriste Etranger;All-FIMU;4550
2016-04-22;Vendredi;Visiteur;7J;Résident ;All-FIMU;1006
2016-04-22;Vendredi;Visiteur;7J;Touriste Français;All-FIMU;8519
2016-04-22;Vendredi;Visiteur;7J;Touriste Etranger;All-FIMU;8404
2016-04-22;Vendredi;Visiteur;8J;Résident ;All-FIMU;2686
2016-04-22;Vendredi;Visiteur;8J;Touriste Français;All-FIMU;9755
2016-04-22;Vendredi;Visiteur;8J;Touriste Etranger;All-FIMU;3934
2016-04-22;Vendredi;Visiteur;9J;Résident ;All-FIMU;7571
2016-04-22;Vendredi;Visiteur;9J;Touriste Français;All-FIMU;8895
2016-04-22;Vendredi;Visiteur;9J;Touriste Etranger;All-FIMU;8493
2016-04-22;Vendredi;Visiteur;10J;Résident ;All-FIMU;3047
2016-04-22;Vendredi;Visiteur;10J;Touriste Français;All-FIMU;7360
2016-04-22;Vendredi;Visiteur;10J;Touriste Etranger;All-FIMU;5079
2016-04-22;Vendredi;Visiteur;11J;Résident ;All-FIMU;3795
2016-04-22;Vendredi;Visiteur;11J;Touriste Français;All-FIMU;9714
2016-04-22;Vendredi;Visiteur;11J;Touriste Etranger;All-FIMU;9036
2016-04-22;Vendredi;Visiteur;12J;Résident ;All-FIMU;9679
2016-04-22;Vendredi;Visiteur;12J;Touriste Français;All-FIMU;4664
2016-04-22;Vendredi;Visiteur;12J;Touriste Etranger;All-FIMU;9931
2016-04-22;Vendredi;Visiteur;13J;Résident ;All-FIMU;1367
2016-04-22;Vendredi;Visiteur;13J;Touriste Français;All-FIMU;1138
2016-04-22;Vendredi;Visiteur;13J;Touriste Etranger;All-FIMU;6300
2016-04-22;Vendredi;Visiteur;14J;Résident ;All-FIMU;7814
2016-04-22;Vendredi;Visiteur;14J;Touriste Français;All-FIMU;5576
2016-04-22;Vendredi;Visiteur;14J;Touriste Etranger;All-FIMU;7220
2016-04-23;Samedi;Visiteur;1J;Résident ;All-FIMU;2361
2016-04-23;Samedi;Visiteur;1J;Touriste Français;All-FIMU;7675
2016-04-23;Samedi;Visiteur;1J;Touriste Etranger;All-FIMU;1382
2016-04-23;Samedi;Visiteur;2J;Résident ;All-FIMU;4310
2016-04-23;Samedi;Visiteur;2J;Touriste Français;All-FIMU;5280
2016-04-23;Samedi;Visiteur;2J;Touriste Etranger;All-FIMU;6848
2016-04-23;Samedi;Visiteur;3J;Résident ;All-FIMU;68
2016-04-23;Samedi;Visiteur;3J;Touriste Français;All-FIMU;1438
2016-04-23;Samedi;Visiteur;3J;Touriste Etranger;All-FIMU;2033
2016-04-23;Samedi;Visiteur;4J;Résident ;All-FIMU;5739
2016-04-23;Samedi;Visiteur;4J;Touriste Français;All-FIMU;4057
2016-04-23;Samedi;Visiteur;4J;Touriste Etranger;All-FIMU;2307
2016-04-23;Samedi;Visiteur;5J;Résident ;All-FIMU;250
2016-04-23;Samedi;Visiteur;5J;Touriste Français;All-FIMU;6792
2016-04-23;Samedi;Visiteur;5J;Touriste Etranger;All-FIMU;6190
2016-04-23;Samedi;Visiteur;6J;Résident ;All-FIMU;9207
2016-04-23;Samedi;Visiteur;6J;Touriste Français;All-FIMU;901
2016-04-23;Samedi;Visiteur;6J;Touriste Etranger;All-FIMU;5091
2016-04-23;Samedi;Visiteur;7J;Résident ;All-FIMU;8734
2016-04-23;Samedi;Visiteur;7J;Touriste Français;All-FIMU;7514
2016-04-23;Samedi;Visiteur;7J;Touriste Etranger;All-FIMU;2636
2016-04-23;Samedi;Visiteur;8J;Résident ;All-FIMU;6064
2016-04-23;Samedi;Visiteur;8J;Touriste Français;All-FIMU;7697
2016-04-23;Samedi;Visiteur;8J;Touriste Etranger;All-FIMU;8407
2016-04-23;Samedi;Visiteur;9J;Résident ;All-FIMU;1348
2016-04-23;Samedi;Visiteur;9J;Touriste Français;All-FIMU;1236
2016-04-23;Samedi;Visiteur;9J;Touriste Etranger;All-FIMU;2204
2016-04-23;Samedi;Visiteur;10J;Résident ;All-FIMU;9687
2016-04-23;Samedi;Visiteur;10J;Touriste Français;All-FIMU;3990
2016-04-23;Samedi;Visiteur;10J;Touriste Etranger;All-FIMU;8126
2016-04-23;Samedi;Visiteur;11J;Résident ;All-FIMU;1110
2016-04-23;Samedi;Visiteur;11J;Touriste Français;All-FIMU;663
2016-04-23;Samedi;Visiteur;11J;Touriste Etranger;All-FIMU;2933
2016-04-23;Samedi;Visiteur;12J;Résident ;All-FIMU;4592
2016-04-23;Samedi;Visiteur;12J;Touriste Français;All-FIMU;5164
2016-04-23;Samedi;Visiteur;12J;Touriste Etranger;All-FIMU;7927
2016-04-23;Samedi;Visiteur;13J;Résident ;All-FIMU;9477
2016-04-23;Samedi;Visiteur;13J;Touriste Français;All-FIMU;4830
2016-04-23;Samedi;Visiteur;13J;Touriste Etranger;All-FIMU;3879
2016-04-23;Samedi;Visiteur;14J;Résident ;All-FIMU;5705
2016-04-23;Samedi;Visiteur;14J;Touriste Français;All-FIMU;7323
2016-04-23;Samedi;Visiteur;14J;Touriste Etranger;All-FIMU;5512
2016-04-24;Dimanche;Visiteur;1J;Résident ;All-FIMU;4517
2016-04-24;Dimanche;Visiteur;1J;Touriste Français;All-FIMU;637
2016-04-24;Dimanche;Visiteur;1J;Touriste Etranger;All-FIMU;3582
2016-04-24;Dimanche;Visiteur;2J;Résident ;All-FIMU;8775
2016-04-24;Dimanche;Visiteur;2J;Touriste Français;All-FIMU;6183
2016-04-24;Dimanche;Visiteur;2J;Touriste Etranger;All-FIMU;2804
2016-04-24;Dimanche;Visiteur;3J;Résident ;All-FIMU;6661
2016-04-24;Dimanche;Visiteur;3J;Touriste Français;All-FIMU;9807
2016-04-24;Dimanche;Visiteur;3J;Touriste Etranger;All-FIMU;9125
2016-04-24;Dimanche;Visiteur;4J;Résident ;All-FIMU;4100
2016-04-24;Dimanche;Visiteur;4J;Touriste Français;All-FIMU;3290
2016-04-24;Dimanche;Visiteur;4J;Touriste Etranger;All-FIMU;9085
2016-04-24;Dimanche;Visiteur;5J;Résident ;All-FIMU;1190
2016-04-24;Dimanche;Visiteur;5J;Touriste Français;All-FIMU;895
2016-04-24;Dimanche;Visiteur;5J;Touriste Etranger;All-FIMU;2398
2016-04-24;Dimanche;Visiteur;6J;Résident ;All-FIMU;5722
2016-04-24;Dimanche;Visiteur;6J;Touriste Français;All-FIMU;4580
2016-04-24;Dimanche;Visiteur;6J;Touriste Etranger;All-FIMU;9458
2016-04-24;Dimanche;Visiteur;7J;Résident ;All-FIMU;3512
2016-04-24;Dimanche;Visiteur;7J;Touriste Français;All-FIMU;5252
2016-04-24;Dimanche;Visiteur;7J;Touriste Etranger;All-FIMU;2279
2016-04-24;Dimanche;Visiteur;8J;Résident ;All-FIMU;6218
2016-04-24;Dimanche;Visiteur;8J;Touriste Français;All-FIMU;3671
2016-04-24;Dimanche;Visiteur;8J;Touriste Etranger;All-FIMU;3276
2016-04-24;Dimanche;Visiteur;9J;Résident ;All-FIMU;8401
2016-04-24;Dimanche;Visiteur;9J;Touriste Français;All-FIMU;8478
2016-04-24;Dimanche;Visiteur;9J;Touriste Etranger;All-FIMU;6738
2016-04-24;Dimanche;Visiteur;10J;Résident ;All-FIMU;4056
2016-04-24;Dimanche;Visiteur;10J;Touriste Français;All-FIMU;1182
2016-04-24;Dimanche;Visiteur;10J;Touriste Etranger;All-FIMU;9558
2016-04-24;Dimanche;Visiteur;11J;Résident ;All-FIMU;1940
2016-04-24;Dimanche;Visiteur;11J;Touriste Français;All-FIMU;1234
2016-04-24;Dimanche;Visiteur;11J;Touriste Etranger;All-FIMU;3729
2016-04-24;Dimanche;Visiteur;12J;Résident ;All-FIMU;8183
2016-04-24;Dimanche;Visiteur;12J;Touriste Français;All-FIMU;7444
2016-04-24;Dimanche;Visiteur;12J;Touriste Etranger;All-FIMU;209
2016-04-24;Dimanche;Visiteur;13J;Résident ;All-FIMU;4008
2016-04-24;Dimanche;Visiteur;13J;Touriste Français;All-FIMU;4170
2016-04-24;Dimanche;Visiteur;13J;Touriste Etranger;All-FIMU;5361
2016-04-24;Dimanche;Visiteur;14J;Résident ;All-FIMU;6691
2016-04-24;Dimanche;Visiteur;14J;Touriste Français;All-FIMU;9591
2016-04-24;Dimanche;Visiteur;14J;Touriste Etranger;All-FIMU;3568
2016-04-25;Lundi;Visiteur;1J;Résident ;All-FIMU;8697
2016-04-25;Lundi;Visiteur;1J;Touriste Français;All-FIMU;115
2016-04-25;Lundi;Visiteur;1J;Touriste Etranger;All-FIMU;1127
2016-04-25;Lundi;Visiteur;2J;Résident ;All-FIMU;3989
2016-04-25;Lundi;Visiteur;2J;Touriste Français;All-FIMU;7185
2016-04-25;Lundi;Visiteur;2J;Touriste Etranger;All-FIMU;4287
2016-04-25;Lundi;Visiteur;3J;Résident ;All-FIMU;9059
2016-04-25;Lundi;Visiteur;3J;Touriste Français;All-FIMU;8860
2016-04-25;Lundi;Visiteur;3J;Touriste Etranger;All-FIMU;1133
2016-04-25;Lundi;Visiteur;4J;Résident ;All-FIMU;392
2016-04-25;Lundi;Visiteur;4J;Touriste Français;All-FIMU;4552
2016-04-25;Lundi;Visiteur;4J;Touriste Etranger;All-FIMU;4775
2016-04-25;Lundi;Visiteur;5J;Résident ;All-FIMU;4890
2016-04-25;Lundi;Visiteur;5J;Touriste Français;All-FIMU;5360
2016-04-25;Lundi;Visiteur;5J;Touriste Etranger;All-FIMU;8878
2016-04-25;Lundi;Visiteur;6J;Résident ;All-FIMU;7693
2016-04-25;Lundi;Visiteur;6J;Touriste Français;All-FIMU;5556
2016-04-25;Lundi;Visiteur;6J;Touriste Etranger;All-FIMU;3861
2016-04-25;Lundi;Visiteur;7J;Résident ;All-FIMU;5885
2016-04-25;Lundi;Visiteur;7J;Touriste Français;All-FIMU;71
2016-04-25;Lundi;Visiteur;7J;Touriste Etranger;All-FIMU;1999
2016-04-25;Lundi;Visiteur;8J;Résident ;All-FIMU;7907
2016-04-25;Lundi;Visiteur;8J;Touriste Français;All-FIMU;3668
2016-04-25;Lundi;Visiteur;8J;Touriste Etranger;All-FIMU;7739
2016-04-25;Lundi;Visiteur;9J;Résident ;All-FIMU;6410
2016-04-25;Lundi;Visiteur;9J;Touriste Français;All-FIMU;1847
2016-04-25;Lundi;Visiteur;9J;Touriste Etranger;All-FIMU;2065
2016-04-25;Lundi;Visiteur;10J;Résident ;All-FIMU;6742
2016-04-25;Lundi;Visiteur;10J;Touriste Français;All-FIMU;1118
2016-04-25;Lundi;Visiteur;10J;Touriste Etranger;All-FIMU;3566
2016-04-25;Lundi;Visiteur;11J;Résident ;All-FIMU;1375
2016-04-25;Lundi;Visiteur;11J;Touriste Français;All-FIMU;2544
2016-04-25;Lundi;Visiteur;11J;Touriste Etranger;All-FIMU;3009
2016-04-25;Lundi;Visiteur;12J;Résident ;All-FIMU;6025
2016-04-25;Lundi;Visiteur;12J;Touriste Français;All-FIMU;6908
2016-04-25;Lundi;Visiteur;12J;Touriste Etranger;All-FIMU;4333
2016-04-25;Lundi;Visiteur;13J;Résident ;All-FIMU;6999
2016-04-25;Lundi;Visiteur;13J;Touriste Français;All-FIMU;25
2016-04-25;Lundi;Visiteur;13J;Touriste Etranger;All-FIMU;4777
2016-04-25;Lundi;Visiteur;14J;Résident ;All-FIMU;3745
2016-04-25;Lundi;Visiteur;14J;Touriste Français;All-FIMU;7990
2016-04-25;Lundi;Visiteur;14J;Touriste Etranger;All-FIMU;4888
2016-04-26;Mardi;Visiteur;1J;Résident ;All-FIMU;6853
2016-04-26;Mardi;Visiteur;1J;Touriste Français;All-FIMU;4612
2016-04-26;Mardi;Visiteur;1J;Touriste Etranger;All-FIMU;111
2016-04-26;Mardi;Visiteur;2J;Résident ;All-FIMU;3817
2016-04-26;Mardi;Visiteur;2J;Touriste Français;All-FIMU;5706
2016-04-26;Mardi;Visiteur;2J;Touriste Etranger;All-FIMU;3521
2016-04-26;Mardi;Visiteur;3J;Résident ;All-FIMU;5685
2016-04-26;Mardi;Visiteur;3J;Touriste Français;All-FIMU;3643
2016-04-26;Mardi;Visiteur;3J;Touriste Etranger;All-FIMU;7038
2016-04-26;Mardi;Visiteur;4J;Résident ;All-FIMU;7697
2016-04-26;Mardi;Visiteur;4J;Touriste Français;All-FIMU;1089
2016-04-26;Mardi;Visiteur;4J;Touriste Etranger;All-FIMU;9964
2016-04-26;Mardi;Visiteur;5J;Résident ;All-FIMU;9411
2016-04-26;Mardi;Visiteur;5J;Touriste Français;All-FIMU;44
2016-04-26;Mardi;Visiteur;5J;Touriste Etranger;All-FIMU;4685
2016-04-26;Mardi;Visiteur;6J;Résident ;All-FIMU;9643
2016-04-26;Mardi;Visiteur;6J;Touriste Français;All-FIMU;9658
2016-04-26;Mardi;Visiteur;6J;Touriste Etranger;All-FIMU;384
2016-04-26;Mardi;Visiteur;7J;Résident ;All-FIMU;6968
2016-04-26;Mardi;Visiteur;7J;Touriste Français;All-FIMU;2983
2016-04-26;Mardi;Visiteur;7J;Touriste Etranger;All-FIMU;9784
2016-04-26;Mardi;Visiteur;8J;Résident ;All-FIMU;6324
2016-04-26;Mardi;Visiteur;8J;Touriste Français;All-FIMU;7786
2016-04-26;Mardi;Visiteur;8J;Touriste Etranger;All-FIMU;1973
2016-04-26;Mardi;Visiteur;9J;Résident ;All-FIMU;664
2016-04-26;Mardi;Visiteur;9J;Touriste Français;All-FIMU;5484
2016-04-26;Mardi;Visiteur;9J;Touriste Etranger;All-FIMU;8015
2016-04-26;Mardi;Visiteur;10J;Résident ;All-FIMU;499
2016-04-26;Mardi;Visiteur;10J;Touriste Français;All-FIMU;7909
2016-04-26;Mardi;Visiteur;10J;Touriste Etranger;All-FIMU;330
2016-04-26;Mardi;Visiteur;11J;Résident ;All-FIMU;822
2016-04-26;Mardi;Visiteur;11J;Touriste Français;All-FIMU;6244
2016-04-26;Mardi;Visiteur;11J;Touriste Etranger;All-FIMU;4136
2016-04-26;Mardi;Visiteur;12J;Résident ;All-FIMU;2683
2016-04-26;Mardi;Visiteur;12J;Touriste Français;All-FIMU;7300
2016-04-26;Mardi;Visiteur;12J;Touriste Etranger;All-FIMU;1802
2016-04-26;Mardi;Visiteur;13J;Résident ;All-FIMU;1656
2016-04-26;Mardi;Visiteur;13J;Touriste Français;All-FIMU;271
2016-04-26;Mardi;Visiteur;13J;Touriste Etranger;All-FIMU;5668
2016-04-26;Mardi;Visiteur;14J;Résident ;All-FIMU;9637
2016-04-26;Mardi;Visiteur;14J;Touriste Français;All-FIMU;2989
2016-04-26;Mardi;Visiteur;14J;Touriste Etranger;All-FIMU;2461
2016-04-27;Mercredi;Visiteur;1J;Résident ;All-FIMU;5240
2016-04-27;Mercredi;Visiteur;1J;Touriste Français;All-FIMU;7457
2016-04-27;Mercredi;Visiteur;1J;Touriste Etranger;All-FIMU;4570
2016-04-27;Mercredi;Visiteur;2J;Résident ;All-FIMU;658
2016-04-27;Mercredi;Visiteur;2J;Touriste Français;All-FIMU;6548
2016-04-27;Mercredi;Visiteur;2J;Touriste Etranger;All-FIMU;8869
2016-04-27;Mercredi;Visiteur;3J;Résident ;All-FIMU;9868
2016-04-27;Mercredi;Visiteur;3J;Touriste Français;All-FIMU;1017
2016-04-27;Mercredi;Visiteur;3J;Touriste Etranger;All-FIMU;7229
2016-04-27;Mercredi;Visiteur;4J;Résident ;All-FIMU;890
2016-04-27;Mercredi;Visiteur;4J;Touriste Français;All-FIMU;7829
2016-04-27;Mercredi;Visiteur;4J;Touriste Etranger;All-FIMU;4518
2016-04-27;Mercredi;Visiteur;5J;Résident ;All-FIMU;1657
2016-04-27;Mercredi;Visiteur;5J;Touriste Français;All-FIMU;4197
2016-04-27;Mercredi;Visiteur;5J;Touriste Etranger;All-FIMU;7135
