Date;JourDeLaSemaine;ZoneAnalyse;DureeVisite;CategorieVisiteurs;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;Duree10h;Resident;Periode normale;6802
2017-05-10;Mercredi;Zone FIMU;Duree10h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree10h;Touriste Français;Periode normale;9480
2017-05-10;Mercredi;Zone FIMU;Duree10h-18h;Resident;Periode normale;1944
2017-05-10;Mercredi;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;7859
2017-05-10;Mercredi;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;6300
2017-05-10;Mercredi;Zone FIMU;Duree2h;Resident;Periode normale;2726
2017-05-10;Mercredi;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;8428
2017-05-10;Mercredi;Zone FIMU;Duree2h;Touriste Français;Periode normale;1390
2017-05-10;Mercredi;Zone FIMU;Duree3h;Resident;Periode normale;4989
2017-05-10;Mercredi;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;1446
2017-05-10;Mercredi;Zone FIMU;Duree3h;Touriste Français;Periode normale;5437
2017-05-10;Mercredi;Zone FIMU;Duree4h;Resident;Periode normale;5765
2017-05-10;Mercredi;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree4h;Touriste Français;Periode normale;5365
2017-05-10;Mercredi;Zone FIMU;Duree5h;Resident;Periode normale;3764
2017-05-10;Mercredi;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree5h;Touriste Français;Periode normale;8165
2017-05-10;Mercredi;Zone FIMU;Duree6h;Resident;Periode normale;9920
2017-05-10;Mercredi;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree6h;Touriste Français;Periode normale;2427
2017-05-10;Mercredi;Zone FIMU;Duree7h;Resident;Periode normale;6702
2017-05-10;Mercredi;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree7h;Touriste Français;Periode normale;5441
2017-05-10;Mercredi;Zone FIMU;Duree8h;Resident;Periode normale;6836
2017-05-10;Mercredi;Zone FIMU;Duree8h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree8h;Touriste Français;Periode normale;5909
2017-05-10;Mercredi;Zone FIMU;Duree9h;Resident;Periode normale;9230
2017-05-10;Mercredi;Zone FIMU;Duree9h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree9h;Touriste Français;Periode normale;3933
2017-05-11;Jeudi;Zone FIMU;Duree10h;Resident;Periode normale;7287
2017-05-11;Jeudi;Zone FIMU;Duree10h;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Duree10h;Touriste Français;Periode normale;8442
2017-05-11;Jeudi;Zone FIMU;Duree10h-18h;Resident;Periode normale;3276
2017-05-11;Jeudi;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;9519
2017-05-11;Jeudi;Zone FIMU;Duree2h;Resident;Periode normale;9474
2017-05-11;Jeudi;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;4085
2017-05-11;Jeudi;Zone FIMU;Duree2h;Touriste Français;Periode normale;1298
2017-05-11;Jeudi;Zone FIMU;Duree3h;Resident;Periode normale;998
2017-05-11;Jeudi;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;1634
2017-05-11;Jeudi;Zone FIMU;Duree3h;Touriste Français;Periode normale;5228
2017-05-11;Jeudi;Zone FIMU;Duree4h;Resident;Periode normale;2755
2017-05-11;Jeudi;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;2287
2017-05-11;Jeudi;Zone FIMU;Duree4h;Touriste Français;Periode normale;4306
2017-05-11;Jeudi;Zone FIMU;Duree5h;Resident;Periode normale;9001
2017-05-11;Jeudi;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Duree5h;Touriste Français;Periode normale;4649
2017-05-11;Jeudi;Zone FIMU;Duree6h;Resident;Periode normale;3193
2017-05-11;Jeudi;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Duree6h;Touriste Français;Periode normale;8680
2017-05-11;Jeudi;Zone FIMU;Duree7h;Resident;Periode normale;3454
2017-05-11;Jeudi;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Duree7h;Touriste Français;Periode normale;2110
2017-05-11;Jeudi;Zone FIMU;Duree8h;Resident;Periode normale;662
2017-05-11;Jeudi;Zone FIMU;Duree8h;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Duree8h;Touriste Français;Periode normale;196
2017-05-11;Jeudi;Zone FIMU;Duree9h;Resident;Periode normale;2104
2017-05-11;Jeudi;Zone FIMU;Duree9h;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Duree9h;Touriste Français;Periode normale;9432
2017-05-12;Vendredi;Zone FIMU;Duree10h;Resident;Periode normale;5510
2017-05-12;Vendredi;Zone FIMU;Duree10h;Touriste Français;Periode normale;8148
2017-05-12;Vendredi;Zone FIMU;Duree10h-18h;Resident;Periode normale;9081
2017-05-12;Vendredi;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;5216
2017-05-12;Vendredi;Zone FIMU;Duree2h;Resident;Periode normale;1944
2017-05-12;Vendredi;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Duree2h;Touriste Français;Periode normale;7984
2017-05-12;Vendredi;Zone FIMU;Duree3h;Resident;Periode normale;5686
2017-05-12;Vendredi;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;9300
2017-05-12;Vendredi;Zone FIMU;Duree3h;Touriste Français;Periode normale;5674
2017-05-12;Vendredi;Zone FIMU;Duree4h;Resident;Periode normale;7204
2017-05-12;Vendredi;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Duree4h;Touriste Français;Periode normale;1230
2017-05-12;Vendredi;Zone FIMU;Duree5h;Resident;Periode normale;4138
2017-05-12;Vendredi;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Duree5h;Touriste Français;Periode normale;8969
2017-05-12;Vendredi;Zone FIMU;Duree6h;Resident;Periode normale;4980
2017-05-12;Vendredi;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Duree6h;Touriste Français;Periode normale;4319
2017-05-12;Vendredi;Zone FIMU;Duree7h;Resident;Periode normale;6677
2017-05-12;Vendredi;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Duree7h;Touriste Français;Periode normale;2377
2017-05-12;Vendredi;Zone FIMU;Duree8h;Resident;Periode normale;4661
2017-05-12;Vendredi;Zone FIMU;Duree8h;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Duree8h;Touriste Français;Periode normale;6680
2017-05-12;Vendredi;Zone FIMU;Duree9h;Resident;Periode normale;8394
2017-05-12;Vendredi;Zone FIMU;Duree9h;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Duree9h;Touriste Français;Periode normale;5080
2017-05-14;Dimanche;Zone FIMU;Duree10h;Resident;Periode normale;234
2017-05-14;Dimanche;Zone FIMU;Duree10h;Touriste Etranger;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Duree10h;Touriste Français;Periode normale;6361
2017-05-14;Dimanche;Zone FIMU;Duree10h-18h;Resident;Periode normale;2908
2017-05-14;Dimanche;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;841
2017-05-14;Dimanche;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;4880
2017-05-14;Dimanche;Zone FIMU;Duree2h;Resident;Periode normale;4234
2017-05-14;Dimanche;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;8413
2017-05-14;Dimanche;Zone FIMU;Duree2h;Touriste Français;Periode normale;1570
2017-05-14;Dimanche;Zone FIMU;Duree3h;Resident;Periode normale;8648
2017-05-14;Dimanche;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;3956
2017-05-14;Dimanche;Zone FIMU;Duree3h;Touriste Français;Periode normale;1031
2017-05-14;Dimanche;Zone FIMU;Duree4h;Resident;Periode normale;2489
2017-05-14;Dimanche;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;732
2017-05-14;Dimanche;Zone FIMU;Duree4h;Touriste Français;Periode normale;9062
2017-05-14;Dimanche;Zone FIMU;Duree5h;Resident;Periode normale;581
2017-05-14;Dimanche;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;1011
2017-05-14;Dimanche;Zone FIMU;Duree5h;Touriste Français;Periode normale;256
2017-05-14;Dimanche;Zone FIMU;Duree6h;Resident;Periode normale;6044
2017-05-14;Dimanche;Zone FIMU;Duree6h;Touriste Français;Periode normale;9370
2017-05-14;Dimanche;Zone FIMU;Duree7h;Resident;Periode normale;7651
2017-05-14;Dimanche;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Duree7h;Touriste Français;Periode normale;5561
2017-05-14;Dimanche;Zone FIMU;Duree8h;Resident;Periode normale;8300
2017-05-14;Dimanche;Zone FIMU;Duree8h;Touriste Etranger;Periode normale;5394
2017-05-14;Dimanche;Zone FIMU;Duree8h;Touriste Français;Periode normale;5935
2017-05-14;Dimanche;Zone FIMU;Duree9h;Resident;Periode normale;2227
