Date;JourDeLaSemaine;Heure;ZoneAnalyse;Presence30Min;CategorieVisiteurs;TypeDeJour;Volume
2017-05-10;Mercredi;00:30:00;Zone FIMU;Present;Touriste Français;Periode normale;7131
2017-05-10;Mercredi;01:00:00;Zone FIMU;Present;Touriste Français;Periode normale;9423
2017-05-10;Mercredi;01:30:00;Zone FIMU;Present;Touriste Français;Periode normale;6093
2017-05-10;Mercredi;02:30:00;Zone FIMU;Present;Touriste Français;Periode normale;394
2017-05-10;Mercredi;03:30:00;Zone FIMU;Present;Touriste Français;Periode normale;5759
2017-05-10;Mercredi;05:00:00;Zone FIMU;Present;Touriste Français;Periode normale;6815
2017-05-10;Mercredi;05:30:00;Zone FIMU;Present;Resident;Periode normale;953
2017-05-10;Mercredi;05:30:00;Zone FIMU;Present;Touriste Français;Periode normale;7914
2017-05-10;Mercredi;06:00:00;Zone FIMU;Present;Resident;Periode normale;8904
2017-05-10;Mercredi;06:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;1169
2017-05-10;Mercredi;06:00:00;Zone FIMU;Present;Touriste Français;Periode normale;9091
2017-05-10;Mercredi;06:30:00;Zone FIMU;Present;Resident;Periode normale;3842
2017-05-10;Mercredi;06:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1305
2017-05-10;Mercredi;07:00:00;Zone FIMU;Present;Resident;Periode normale;255
2017-05-10;Mercredi;07:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1410
2017-05-10;Mercredi;07:30:00;Zone FIMU;Present;Resident;Periode normale;7623
2017-05-10;Mercredi;07:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2771
2017-05-10;Mercredi;08:00:00;Zone FIMU;Present;Resident;Periode normale;2990
2017-05-10;Mercredi;08:00:00;Zone FIMU;Present;Touriste Français;Periode normale;8282
2017-05-10;Mercredi;08:30:00;Zone FIMU;Present;Resident;Periode normale;3368
2017-05-10;Mercredi;08:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;5738
2017-05-10;Mercredi;08:30:00;Zone FIMU;Present;Touriste Français;Periode normale;9760
2017-05-10;Mercredi;09:00:00;Zone FIMU;Present;Resident;Periode normale;285
2017-05-10;Mercredi;09:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;7670
2017-05-10;Mercredi;09:00:00;Zone FIMU;Present;Touriste Français;Periode normale;6731
