Date;JourDeLaSemaine;Heure;ZoneAnalyse;Presence30Min;Continent;Pays;CategorieVisiteurs;TypeDeJour;Volume
2017-05-10;Mercredi;06:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;3957
2017-05-10;Mercredi;08:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;3237
2017-05-10;Mercredi;09:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;5951
2017-05-10;Mercredi;09:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;5298
2017-05-10;Mercredi;10:30:00;Zone FIMU;Present;Europe;Russie;Touriste Etranger;Periode normale;6991
2017-05-10;Mercredi;11:00:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;7497
2017-05-10;Mercredi;12:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;8045
2017-05-10;Mercredi;12:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;2508
2017-05-10;Mercredi;12:30:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;6872
2017-05-10;Mercredi;12:30:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;4361
2017-05-10;Mercredi;14:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;8121
2017-05-10;Mercredi;14:30:00;Zone FIMU;Present;Europe;Russie;Touriste Etranger;Periode normale;7824
2017-05-10;Mercredi;15:00:00;Zone FIMU;Present;Europe;Russie;Touriste Etranger;Periode normale;4811
2017-05-10;Mercredi;15:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;1442
2017-05-10;Mercredi;16:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;5374
2017-05-10;Mercredi;17:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;3705
2017-05-10;Mercredi;17:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;7715
2017-05-10;Mercredi;17:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;225
2017-05-10;Mercredi;18:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;1814
2017-05-10;Mercredi;18:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;5221
2017-05-10;Mercredi;18:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;9069
2017-05-10;Mercredi;19:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;3399
2017-05-10;Mercredi;19:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;3252
2017-05-10;Mercredi;20:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;8047
2017-05-10;Mercredi;20:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;8506
2017-05-10;Mercredi;20:30:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;9804
2017-05-10;Mercredi;23:00:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;8543
2017-05-10;Mercredi;23:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;5346
2017-05-11;Jeudi;08:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;1263
2017-05-11;Jeudi;08:30:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;7811
2017-05-11;Jeudi;09:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;7550
2017-05-11;Jeudi;11:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;8435
2017-05-11;Jeudi;11:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;2359
2017-05-11;Jeudi;13:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;1789
2017-05-11;Jeudi;13:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;6466
2017-05-11;Jeudi;14:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;6428
2017-05-11;Jeudi;14:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;4590
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;1521
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;5453
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;5796
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;1957
2017-05-11;Jeudi;17:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;540
2017-05-11;Jeudi;17:00:00;Zone FIMU;Present;Europe;Scandinavie;Touriste Etranger;Periode normale;1190
2017-05-11;Jeudi;17:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;448
2017-05-11;Jeudi;17:30:00;Zone FIMU;Present;Europe;Scandinavie;Touriste Etranger;Periode normale;1438
2017-05-11;Jeudi;18:00:00;Zone FIMU;Present;Europe;Scandinavie;Touriste Etranger;Periode normale;4215
2017-05-11;Jeudi;18:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;1857
2017-05-11;Jeudi;19:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;5446
2017-05-11;Jeudi;19:00:00;Zone FIMU;Present;Europe;Scandinavie;Touriste Etranger;Periode normale;3408
2017-05-11;Jeudi;19:30:00;Zone FIMU;Present;Amérique;Reste Du Monde;Touriste Etranger;Periode normale;7629
2017-05-11;Jeudi;19:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;2973
2017-05-11;Jeudi;19:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;6474
2017-05-11;Jeudi;20:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;966
2017-05-11;Jeudi;21:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;4486
2017-05-11;Jeudi;21:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;8884
2017-05-11;Jeudi;22:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;4520
2017-05-11;Jeudi;22:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;8143
2017-05-11;Jeudi;22:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;1868
2017-05-11;Jeudi;23:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;565
2017-05-11;Jeudi;23:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;5510
2017-05-12;Vendredi;05:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;4194
2017-05-12;Vendredi;05:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;960
2017-05-12;Vendredi;11:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;9506
2017-05-12;Vendredi;12:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;8631
2017-05-12;Vendredi;12:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;5734
2017-05-12;Vendredi;12:30:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;8197
2017-05-12;Vendredi;12:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;4125
