Date;JourDeLaSemaine;ZoneAnalyse;Age;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;Excursionniste;Periode normale;6057
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;Visiteur;Periode normale;4736
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;Excursionniste;Periode normale;4343
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;Visiteur;Periode normale;9027
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;Excursionniste;Periode normale;3296
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;Visiteur;Periode normale;5627
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;Excursionniste;Periode normale;4321
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;Visiteur;Periode normale;4913
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;Excursionniste;Periode normale;9784
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;Visiteur;Periode normale;5478
2017-05-10;Mercredi;Zone FIMU;35-44;Touriste Français;Excursionniste;Periode normale;1951
2017-05-10;Mercredi;Zone FIMU;35-44;Touriste Français;Visiteur;Periode normale;9991
2017-05-10;Mercredi;Zone FIMU;45-54;Resident;Excursionniste;Periode normale;2959
2017-05-10;Mercredi;Zone FIMU;45-54;Resident;Visiteur;Periode normale;4799
2017-05-10;Mercredi;Zone FIMU;45-54;Touriste Français;Excursionniste;Periode normale;5664
2017-05-10;Mercredi;Zone FIMU;45-54;Touriste Français;Visiteur;Periode normale;2642
2017-05-10;Mercredi;Zone FIMU;55-64;Resident;Excursionniste;Periode normale;6451
2017-05-10;Mercredi;Zone FIMU;55-64;Resident;Visiteur;Periode normale;1906
2017-05-10;Mercredi;Zone FIMU;55-64;Touriste Français;Excursionniste;Periode normale;9566
2017-05-10;Mercredi;Zone FIMU;55-64;Touriste Français;Visiteur;Periode normale;7770
2017-05-10;Mercredi;Zone FIMU;<18;Resident;Excursionniste;Periode normale;5008
2017-05-10;Mercredi;Zone FIMU;<18;Resident;Visiteur;Periode normale;7577
2017-05-10;Mercredi;Zone FIMU;<18;Touriste Français;Excursionniste;Periode normale;5784
2017-05-10;Mercredi;Zone FIMU;<18;Touriste Français;Visiteur;Periode normale;5366
2017-05-10;Mercredi;Zone FIMU;>65;Resident;Excursionniste;Periode normale;3719
2017-05-10;Mercredi;Zone FIMU;>65;Resident;Visiteur;Periode normale;2899
2017-05-10;Mercredi;Zone FIMU;>65;Touriste Français;Excursionniste;Periode normale;558
2017-05-10;Mercredi;Zone FIMU;>65;Touriste Français;Visiteur;Periode normale;8819
2017-05-11;Jeudi;Zone FIMU;18-24;Resident;Excursionniste;Periode normale;6727
2017-05-11;Jeudi;Zone FIMU;18-24;Resident;Visiteur;Periode normale;3188
2017-05-11;Jeudi;Zone FIMU;18-24;Touriste Français;Excursionniste;Periode normale;3047
2017-05-11;Jeudi;Zone FIMU;18-24;Touriste Français;Visiteur;Periode normale;1440
2017-05-11;Jeudi;Zone FIMU;25-34;Resident;Excursionniste;Periode normale;48
2017-05-11;Jeudi;Zone FIMU;25-34;Resident;Visiteur;Periode normale;2317
