Date;JourDeLaSemaine;ZoneAnalyse;CSP;Geolife;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;Excursionniste;Periode normale;7464
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;Visiteur;Periode normale;4466
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;Excursionniste;Periode normale;7574
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;Visiteur;Periode normale;2517
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;Visiteur;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;Excursionniste;Periode normale;8803
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;Visiteur;Periode normale;5702
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;Excursionniste;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;Visiteur;Periode normale;3597
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;Excursionniste;Periode normale;4396
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;Visiteur;Periode normale;8889
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;Excursionniste;Periode normale;220
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;Visiteur;Periode normale;6691
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;Visiteur;Periode normale;3742
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;Excursionniste;Periode normale;7650
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;Visiteur;Periode normale;2873
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;Excursionniste;Periode normale;4612
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;Visiteur;Periode normale;3797
