Date;JourDeLaSemaine;ZoneAnalyse;Genre;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;2651
2017-05-10;Mercredi;Zone FIMU;F;Resident;Visiteur;Periode normale;6726
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;9313
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;8907
2017-05-10;Mercredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;1181
2017-05-10;Mercredi;Zone FIMU;H;Resident;Visiteur;Periode normale;6669
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;7395
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;9615
2017-05-10;Mercredi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;2997
2017-05-10;Mercredi;Zone FIMU;NR;Resident;Visiteur;Periode normale;7387
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;4377
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;2969
2017-05-11;Jeudi;Zone FIMU;F;Resident;Excursionniste;Periode normale;7288
2017-05-11;Jeudi;Zone FIMU;F;Resident;Visiteur;Periode normale;3389
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;5465
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;8828
2017-05-11;Jeudi;Zone FIMU;H;Resident;Excursionniste;Periode normale;5839
2017-05-11;Jeudi;Zone FIMU;H;Resident;Visiteur;Periode normale;1314
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;443
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;4871
2017-05-11;Jeudi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;5543
2017-05-11;Jeudi;Zone FIMU;NR;Resident;Visiteur;Periode normale;191
2017-05-11;Jeudi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;6738
2017-05-11;Jeudi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;852
2017-05-12;Vendredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;9608
2017-05-12;Vendredi;Zone FIMU;F;Resident;Visiteur;Periode normale;4661
2017-05-12;Vendredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;8499
2017-05-12;Vendredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;3615
2017-05-12;Vendredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;6352
2017-05-12;Vendredi;Zone FIMU;H;Resident;Visiteur;Periode normale;3343
2017-05-12;Vendredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;1120
