Date;JourDeLaSemaine;ZoneAnalyse;Nationalite;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;7392
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;8346
2017-05-10;Mercredi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;6299
2017-05-10;Mercredi;Zone FIMU;Français;Resident;Visiteur;Periode normale;1237
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;1669
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;9067
2017-05-11;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;5100
2017-05-11;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;9748
2017-05-11;Jeudi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;6585
2017-05-11;Jeudi;Zone FIMU;Français;Resident;Visiteur;Periode normale;4173
2017-05-11;Jeudi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;8323
2017-05-11;Jeudi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;4072
2017-05-12;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;3682
2017-05-12;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;624
2017-05-12;Vendredi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;3343
2017-05-12;Vendredi;Zone FIMU;Français;Resident;Visiteur;Periode normale;3453
2017-05-12;Vendredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;4690
2017-05-12;Vendredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;7291
2017-05-14;Dimanche;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;4808
2017-05-14;Dimanche;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;403
2017-05-14;Dimanche;Zone FIMU;Français;Resident;Excursionniste;Periode normale;9483
2017-05-14;Dimanche;Zone FIMU;Français;Resident;Visiteur;Periode normale;7664
2017-05-14;Dimanche;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;3738
2017-05-14;Dimanche;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;9647
2017-05-15;Lundi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;6416
2017-05-15;Lundi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;6268
2017-05-15;Lundi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;5145
2017-05-15;Lundi;Zone FIMU;Français;Resident;Visiteur;Periode normale;1013
2017-05-15;Lundi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;8897
2017-05-15;Lundi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;6166
2017-05-16;Mardi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;8494
2017-05-16;Mardi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;5889
2017-05-16;Mardi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;1038
2017-05-16;Mardi;Zone FIMU;Français;Resident;Visiteur;Periode normale;6441
2017-05-16;Mardi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;8642
2017-05-16;Mardi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;2652
2017-05-17;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;4319
2017-05-17;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;8739
2017-05-17;Mercredi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;5923
2017-05-17;Mercredi;Zone FIMU;Français;Resident;Visiteur;Periode normale;2947
2017-05-17;Mercredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;1367
2017-05-17;Mercredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;5660
2017-05-18;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;8621
2017-05-18;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;9768
2017-05-18;Jeudi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;4578
2017-05-18;Jeudi;Zone FIMU;Français;Resident;Visiteur;Periode normale;8522
2017-05-18;Jeudi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;1044
2017-05-18;Jeudi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;46
2017-05-19;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;8197
2017-05-19;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;9402
2017-05-19;Vendredi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;6662
2017-05-19;Vendredi;Zone FIMU;Français;Resident;Visiteur;Periode normale;5060
2017-05-19;Vendredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;1647
2017-05-19;Vendredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;4046
