Date;JourDeLaSemaine;TypeNuitee;ZoneNuitee;ZoneAnalyse;CategorieVisiteurs;TypeDeJour;Volume
2017-05-10;Mercredi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;642
2017-05-10;Mercredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;5452
2017-05-10;Mercredi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;#
2017-05-10;Mercredi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;8194
2017-05-10;Mercredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;8051
2017-05-10;Mercredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;4673
2017-05-10;Mercredi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;6157
2017-05-10;Mercredi;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;#
2017-05-10;Mercredi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;8667
2017-05-10;Mercredi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;9321
2017-05-10;Mercredi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;3742
2017-05-10;Mercredi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;8695
2017-05-10;Mercredi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;6149
2017-05-10;Mercredi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;4441
2017-05-10;Mercredi;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;8868
2017-05-10;Mercredi;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;5018
2017-05-10;Mercredi;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;8538
2017-05-10;Mercredi;Soir;Vosges;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;#
2017-05-11;Jeudi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;7731
2017-05-11;Jeudi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;5728
2017-05-11;Jeudi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;7963
2017-05-11;Jeudi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;4552
2017-05-11;Jeudi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;9121
2017-05-11;Jeudi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;5507
2017-05-11;Jeudi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;5419
2017-05-11;Jeudi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;#
2017-05-11;Jeudi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;4707
2017-05-11;Jeudi;Soir;Reste Doubs;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;7159
2017-05-11;Jeudi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;7185
2017-05-11;Jeudi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;2283
2017-05-11;Jeudi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;8770
2017-05-11;Jeudi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;9604
2017-05-11;Jeudi;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;4491
2017-05-11;Jeudi;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;497
2017-05-11;Jeudi;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;6103
2017-05-11;Jeudi;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;#
2017-05-12;Vendredi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2060
2017-05-12;Vendredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;8599
2017-05-12;Vendredi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;#
2017-05-12;Vendredi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;6789
2017-05-12;Vendredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;8582
2017-05-12;Vendredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;5602
2017-05-12;Vendredi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;8855
2017-05-12;Vendredi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;2220
2017-05-12;Vendredi;Soir;Reste Doubs;Zone FIMU;Resident;Periode normale;#
2017-05-12;Vendredi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;8686
2017-05-12;Vendredi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;2725
2017-05-12;Vendredi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;4048
2017-05-12;Vendredi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;2800
2017-05-12;Vendredi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;4260
2017-05-12;Vendredi;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;1717
2017-05-12;Vendredi;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;4104
2017-05-12;Vendredi;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;914
2017-05-12;Vendredi;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;#
2017-05-14;Dimanche;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;7237
2017-05-14;Dimanche;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-14;Dimanche;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;5308
2017-05-14;Dimanche;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;2879
2017-05-14;Dimanche;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;7336
2017-05-14;Dimanche;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;6499
2017-05-14;Dimanche;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;5806
2017-05-14;Dimanche;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;7099
2017-05-14;Dimanche;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;#
2017-05-14;Dimanche;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-14;Dimanche;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;2359
2017-05-14;Dimanche;Soir;Reste Doubs;Zone FIMU;Resident;Periode normale;3001
2017-05-14;Dimanche;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;9893
2017-05-14;Dimanche;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;9374
2017-05-14;Dimanche;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;4253
2017-05-14;Dimanche;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;3302
2017-05-14;Dimanche;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;7294
2017-05-14;Dimanche;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;8870
2017-05-14;Dimanche;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;2582
2017-05-14;Dimanche;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;6701
2017-05-14;Dimanche;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;5203
2017-05-15;Lundi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;859
2017-05-15;Lundi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;8229
2017-05-15;Lundi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;1246
2017-05-15;Lundi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;8577
2017-05-15;Lundi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;8209
2017-05-15;Lundi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;6585
2017-05-15;Lundi;Soir;Haut Rhin Nord;Zone FIMU;Resident;Periode normale;#
2017-05-15;Lundi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;#
2017-05-15;Lundi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;585
2017-05-15;Lundi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;9259
2017-05-15;Lundi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;2146
2017-05-15;Lundi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;4297
2017-05-15;Lundi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;3012
2017-05-15;Lundi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;7407
2017-05-15;Lundi;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;9353
2017-05-15;Lundi;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;7875
2017-05-15;Lundi;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;6618
2017-05-16;Mardi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;5480
2017-05-16;Mardi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;4181
2017-05-16;Mardi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;#
2017-05-16;Mardi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;1444
2017-05-16;Mardi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;5725
2017-05-16;Mardi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;8899
2017-05-16;Mardi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;6955
2017-05-16;Mardi;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;#
2017-05-16;Mardi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;5040
2017-05-16;Mardi;Soir;Reste Doubs;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;5582
2017-05-16;Mardi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;8098
2017-05-16;Mardi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;8057
2017-05-16;Mardi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;1016
2017-05-16;Mardi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;3136
