Date;JourDeLaSemaine;ZoneAnalyse;Age;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;01 jours;Periode normale;9556
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;02 jours;Periode normale;4856
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;03 jours;Periode normale;7202
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;04 jours;Periode normale;5850
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;05 jours;Periode normale;3014
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;06 jours;Periode normale;6609
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;07 jours;Periode normale;2314
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;08 jours;Periode normale;314
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;09 jours;Periode normale;6726
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;10 jours;Periode normale;1093
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;11 jours;Periode normale;9107
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;12 jours;Periode normale;1016
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;13 jours;Periode normale;2861
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;14 jours;Periode normale;4030
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;01 jours;Periode normale;2292
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;02 jours;Periode normale;7696
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;03 jours;Periode normale;3532
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;04 jours;Periode normale;7185
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;05 jours;Periode normale;767
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;06 jours;Periode normale;7770
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;07 jours;Periode normale;9755
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;08 jours;Periode normale;9554
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;09 jours;Periode normale;6159
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;10 jours;Periode normale;9539
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;11 jours;Periode normale;1998
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;12 jours;Periode normale;5133
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;13 jours;Periode normale;3843
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;14 jours;Periode normale;6943
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;01 jours;Periode normale;631
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;02 jours;Periode normale;1790
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;03 jours;Periode normale;4922
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;04 jours;Periode normale;7881
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;05 jours;Periode normale;2470
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;06 jours;Periode normale;8840
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;07 jours;Periode normale;5682
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;08 jours;Periode normale;906
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;09 jours;Periode normale;6522
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;10 jours;Periode normale;6460
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;11 jours;Periode normale;8391
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;12 jours;Periode normale;4063
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;13 jours;Periode normale;7959
2017-05-10;Mercredi;Zone FIMU;25-34;Resident;14 jours;Periode normale;9690
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;01 jours;Periode normale;6856
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;02 jours;Periode normale;5856
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;03 jours;Periode normale;2422
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;04 jours;Periode normale;6013
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;05 jours;Periode normale;5159
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;06 jours;Periode normale;873
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;07 jours;Periode normale;3775
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;08 jours;Periode normale;6034
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;09 jours;Periode normale;580
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;10 jours;Periode normale;7352
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;11 jours;Periode normale;3802
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;12 jours;Periode normale;4762
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;13 jours;Periode normale;737
2017-05-10;Mercredi;Zone FIMU;25-34;Touriste Français;14 jours;Periode normale;2524
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;01 jours;Periode normale;1531
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;02 jours;Periode normale;3206
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;03 jours;Periode normale;3907
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;04 jours;Periode normale;3431
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;05 jours;Periode normale;7959
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;06 jours;Periode normale;1030
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;07 jours;Periode normale;82
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;08 jours;Periode normale;6653
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;09 jours;Periode normale;320
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;10 jours;Periode normale;4108
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;11 jours;Periode normale;6557
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;12 jours;Periode normale;8739
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;13 jours;Periode normale;3968
2017-05-10;Mercredi;Zone FIMU;35-44;Resident;14 jours;Periode normale;3695
2017-05-10;Mercredi;Zone FIMU;35-44;Touriste Français;01 jours;Periode normale;6399
2017-05-10;Mercredi;Zone FIMU;35-44;Touriste Français;02 jours;Periode normale;7164
2017-05-10;Mercredi;Zone FIMU;35-44;Touriste Français;03 jours;Periode normale;9987
2017-05-10;Mercredi;Zone FIMU;35-44;Touriste Français;04 jours;Periode normale;7302
2017-05-10;Mercredi;Zone FIMU;35-44;Touriste Français;05 jours;Periode normale;4911
2017-05-10;Mercredi;Zone FIMU;35-44;Touriste Français;06 jours;Periode normale;1754
2017-05-10;Mercredi;Zone FIMU;35-44;Touriste Français;07 jours;Periode normale;4468
2017-05-10;Mercredi;Zone FIMU;35-44;Touriste Français;08 jours;Periode normale;6639
2017-05-10;Mercredi;Zone FIMU;35-44;Touriste Français;09 jours;Periode normale;9603
