Date;JourDeLaSemaine;ZoneAnalyse;CSP;Geolife;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;01 jours;Periode normale;2812
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;02 jours;Periode normale;248
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;03 jours;Periode normale;3212
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;04 jours;Periode normale;1591
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;05 jours;Periode normale;7044
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;06 jours;Periode normale;4567
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;07 jours;Periode normale;4633
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;08 jours;Periode normale;918
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;09 jours;Periode normale;5385
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;10 jours;Periode normale;2947
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;11 jours;Periode normale;5076
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;12 jours;Periode normale;697
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;13 jours;Periode normale;7137
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;14 jours;Periode normale;7203
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;01 jours;Periode normale;51
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;02 jours;Periode normale;5654
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;03 jours;Periode normale;9953
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;04 jours;Periode normale;3836
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;05 jours;Periode normale;7900
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;06 jours;Periode normale;8778
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;07 jours;Periode normale;1853
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;08 jours;Periode normale;4950
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;09 jours;Periode normale;5708
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;10 jours;Periode normale;7019
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;11 jours;Periode normale;7427
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;12 jours;Periode normale;1689
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;13 jours;Periode normale;8710
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;14 jours;Periode normale;7539
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;01 jours;Periode normale;4121
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;02 jours;Periode normale;3500
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;03 jours;Periode normale;2059
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;04 jours;Periode normale;1195
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;05 jours;Periode normale;6713
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;06 jours;Periode normale;660
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;07 jours;Periode normale;4473
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;08 jours;Periode normale;6042
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;09 jours;Periode normale;7194
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;10 jours;Periode normale;2353
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;11 jours;Periode normale;7899
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;12 jours;Periode normale;7858
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;13 jours;Periode normale;9116
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;14 jours;Periode normale;9840
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;01 jours;Periode normale;8503
