Date;JourDeLaSemaine;ZoneAnalyse;Genre;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;F;Resident;01 jours;Periode normale;8023
2017-05-10;Mercredi;Zone FIMU;F;Resident;02 jours;Periode normale;3983
2017-05-10;Mercredi;Zone FIMU;F;Resident;03 jours;Periode normale;3046
2017-05-10;Mercredi;Zone FIMU;F;Resident;04 jours;Periode normale;1284
2017-05-10;Mercredi;Zone FIMU;F;Resident;05 jours;Periode normale;6624
2017-05-10;Mercredi;Zone FIMU;F;Resident;06 jours;Periode normale;1439
2017-05-10;Mercredi;Zone FIMU;F;Resident;07 jours;Periode normale;1794
2017-05-10;Mercredi;Zone FIMU;F;Resident;08 jours;Periode normale;9371
2017-05-10;Mercredi;Zone FIMU;F;Resident;09 jours;Periode normale;4835
2017-05-10;Mercredi;Zone FIMU;F;Resident;10 jours;Periode normale;4927
2017-05-10;Mercredi;Zone FIMU;F;Resident;11 jours;Periode normale;2116
2017-05-10;Mercredi;Zone FIMU;F;Resident;12 jours;Periode normale;2481
2017-05-10;Mercredi;Zone FIMU;F;Resident;13 jours;Periode normale;308
2017-05-10;Mercredi;Zone FIMU;F;Resident;14 jours;Periode normale;9420
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;01 jours;Periode normale;4271
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;02 jours;Periode normale;943
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;03 jours;Periode normale;1022
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;04 jours;Periode normale;5639
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;05 jours;Periode normale;8991
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;06 jours;Periode normale;5682
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;07 jours;Periode normale;7728
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;08 jours;Periode normale;2721
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;09 jours;Periode normale;9313
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;10 jours;Periode normale;6269
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;11 jours;Periode normale;3618
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;12 jours;Periode normale;1120
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;13 jours;Periode normale;8233
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;14 jours;Periode normale;9589
2017-05-10;Mercredi;Zone FIMU;H;Resident;01 jours;Periode normale;9376
