Date;JourDeLaSemaine;ZoneAnalyse;Nationalite;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;01 jours;Periode normale;9733
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;02 jours;Periode normale;709
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;03 jours;Periode normale;2195
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;04 jours;Periode normale;8602
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;05 jours;Periode normale;7033
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;06 jours;Periode normale;7061
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;07 jours;Periode normale;3890
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;08 jours;Periode normale;4308
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;09 jours;Periode normale;9966
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;10 jours;Periode normale;578
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;11 jours;Periode normale;1964
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;12 jours;Periode normale;7744
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;13 jours;Periode normale;9793
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;14 jours;Periode normale;9803
2017-05-10;Mercredi;Zone FIMU;Français;Resident;01 jours;Periode normale;7903
2017-05-10;Mercredi;Zone FIMU;Français;Resident;02 jours;Periode normale;994
2017-05-10;Mercredi;Zone FIMU;Français;Resident;03 jours;Periode normale;5642
2017-05-10;Mercredi;Zone FIMU;Français;Resident;04 jours;Periode normale;6963
2017-05-10;Mercredi;Zone FIMU;Français;Resident;05 jours;Periode normale;3903
2017-05-10;Mercredi;Zone FIMU;Français;Resident;06 jours;Periode normale;8759
2017-05-10;Mercredi;Zone FIMU;Français;Resident;07 jours;Periode normale;3822
2017-05-10;Mercredi;Zone FIMU;Français;Resident;08 jours;Periode normale;2692
2017-05-10;Mercredi;Zone FIMU;Français;Resident;09 jours;Periode normale;6313
2017-05-10;Mercredi;Zone FIMU;Français;Resident;10 jours;Periode normale;6940
2017-05-10;Mercredi;Zone FIMU;Français;Resident;11 jours;Periode normale;4592
2017-05-10;Mercredi;Zone FIMU;Français;Resident;12 jours;Periode normale;4378
2017-05-10;Mercredi;Zone FIMU;Français;Resident;13 jours;Periode normale;2102
2017-05-10;Mercredi;Zone FIMU;Français;Resident;14 jours;Periode normale;6359
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;01 jours;Periode normale;6142
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;02 jours;Periode normale;7907
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;03 jours;Periode normale;8049
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;04 jours;Periode normale;7471
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;05 jours;Periode normale;56
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;06 jours;Periode normale;377
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;07 jours;Periode normale;5863
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;08 jours;Periode normale;4891
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;09 jours;Periode normale;917
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;10 jours;Periode normale;704
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;11 jours;Periode normale;8883
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;12 jours;Periode normale;3714
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;13 jours;Periode normale;1530
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;14 jours;Periode normale;7645
