Date;JourDeLaSemaine;Pays;Continent;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;1J;Touriste Etranger;All-FIMU;806
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;2J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;3J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;4J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;5J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;6J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;7J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;8J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;9J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;10J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;11J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;12J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;13J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;14J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;1J;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;2J;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;3J;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;4J;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;5J;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;6J;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;7J;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;8J;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;9J;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;10J;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;11J;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;12J;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;13J;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;14J;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;1J;Touriste Etranger;All-FIMU;211
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;2J;Touriste Etranger;All-FIMU;327
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;3J;Touriste Etranger;All-FIMU;327
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;4J;Touriste Etranger;All-FIMU;327
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;5J;Touriste Etranger;All-FIMU;327
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;6J;Touriste Etranger;All-FIMU;327
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;7J;Touriste Etranger;All-FIMU;327
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;8J;Touriste Etranger;All-FIMU;327
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;9J;Touriste Etranger;All-FIMU;327
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;10J;Touriste Etranger;All-FIMU;327
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;11J;Touriste Etranger;All-FIMU;327
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;12J;Touriste Etranger;All-FIMU;327
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;13J;Touriste Etranger;All-FIMU;327
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;14J;Touriste Etranger;All-FIMU;327
2016-04-22;Vendredi;Australie;Oceanie;Visiteur;2J;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Australie;Oceanie;Visiteur;3J;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Australie;Oceanie;Visiteur;4J;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Australie;Oceanie;Visiteur;5J;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Australie;Oceanie;Visiteur;6J;Touriste Etranger;All-FIMU;#
