Date;JourDeLaSemaine;Age;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;CUMUL;Visiteur;1J;Résident ;All-FIMU;12461
2016-04-22;Vendredi;CUMUL;Visiteur;1J;Touriste Français;All-FIMU;3219
2016-04-22;Vendredi;CUMUL;Visiteur;2J;Résident ;All-FIMU;17289
2016-04-22;Vendredi;CUMUL;Visiteur;2J;Touriste Français;All-FIMU;5147
2016-04-22;Vendredi;CUMUL;Visiteur;3J;Résident ;All-FIMU;17289
2016-04-22;Vendredi;CUMUL;Visiteur;3J;Touriste Français;All-FIMU;5147
2016-04-22;Vendredi;CUMUL;Visiteur;4J;Résident ;All-FIMU;17289
2016-04-22;Vendredi;CUMUL;Visiteur;4J;Touriste Français;All-FIMU;5147
2016-04-22;Vendredi;CUMUL;Visiteur;5J;Résident ;All-FIMU;17289
2016-04-22;Vendredi;CUMUL;Visiteur;5J;Touriste Français;All-FIMU;5147
2016-04-22;Vendredi;CUMUL;Visiteur;6J;Résident ;All-FIMU;17289
2016-04-22;Vendredi;CUMUL;Visiteur;6J;Touriste Français;All-FIMU;5147
2016-04-22;Vendredi;CUMUL;Visiteur;7J;Résident ;All-FIMU;17289
2016-04-22;Vendredi;CUMUL;Visiteur;7J;Touriste Français;All-FIMU;5147
2016-04-22;Vendredi;CUMUL;Visiteur;8J;Résident ;All-FIMU;17289
2016-04-22;Vendredi;CUMUL;Visiteur;8J;Touriste Français;All-FIMU;5147
2016-04-22;Vendredi;CUMUL;Visiteur;9J;Résident ;All-FIMU;17289
2016-04-22;Vendredi;CUMUL;Visiteur;9J;Touriste Français;All-FIMU;5147
2016-04-22;Vendredi;CUMUL;Visiteur;10J;Résident ;All-FIMU;17289
2016-04-22;Vendredi;CUMUL;Visiteur;10J;Touriste Français;All-FIMU;5147
2016-04-22;Vendredi;CUMUL;Visiteur;11J;Résident ;All-FIMU;17289
2016-04-22;Vendredi;CUMUL;Visiteur;11J;Touriste Français;All-FIMU;5147
2016-04-22;Vendredi;CUMUL;Visiteur;12J;Résident ;All-FIMU;17289
2016-04-22;Vendredi;CUMUL;Visiteur;12J;Touriste Français;All-FIMU;5147
2016-04-22;Vendredi;CUMUL;Visiteur;13J;Résident ;All-FIMU;17289
2016-04-22;Vendredi;CUMUL;Visiteur;13J;Touriste Français;All-FIMU;5147
2016-04-22;Vendredi;CUMUL;Visiteur;14J;Résident ;All-FIMU;17289
2016-04-22;Vendredi;CUMUL;Visiteur;14J;Touriste Français;All-FIMU;5147
2016-04-22;Vendredi;18-24 ans;Visiteur;1J;Résident ;All-FIMU;206
2016-04-22;Vendredi;18-24 ans;Visiteur;1J;Touriste Français;All-FIMU;117
2016-04-22;Vendredi;18-24 ans;Visiteur;2J;Résident ;All-FIMU;294
2016-04-22;Vendredi;18-24 ans;Visiteur;2J;Touriste Français;All-FIMU;207
2016-04-22;Vendredi;18-24 ans;Visiteur;3J;Résident ;All-FIMU;294
2016-04-22;Vendredi;18-24 ans;Visiteur;3J;Touriste Français;All-FIMU;207
2016-04-22;Vendredi;18-24 ans;Visiteur;4J;Résident ;All-FIMU;294
2016-04-22;Vendredi;18-24 ans;Visiteur;4J;Touriste Français;All-FIMU;207
2016-04-22;Vendredi;18-24 ans;Visiteur;5J;Résident ;All-FIMU;294
2016-04-22;Vendredi;18-24 ans;Visiteur;5J;Touriste Français;All-FIMU;207
2016-04-22;Vendredi;18-24 ans;Visiteur;6J;Résident ;All-FIMU;294
2016-04-22;Vendredi;18-24 ans;Visiteur;6J;Touriste Français;All-FIMU;207
2016-04-22;Vendredi;18-24 ans;Visiteur;7J;Résident ;All-FIMU;294
