Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;1J;Résident ;All-FIMU;12460
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;1J;Touriste Français;All-FIMU;3217
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;2J;Résident ;All-FIMU;17285
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;2J;Touriste Français;All-FIMU;5143
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;3J;Résident ;All-FIMU;17285
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;3J;Touriste Français;All-FIMU;5143
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;4J;Résident ;All-FIMU;17285
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;4J;Touriste Français;All-FIMU;5143
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;5J;Résident ;All-FIMU;17285
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;5J;Touriste Français;All-FIMU;5143
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;6J;Résident ;All-FIMU;17285
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;6J;Touriste Français;All-FIMU;5143
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;7J;Résident ;All-FIMU;17285
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;7J;Touriste Français;All-FIMU;5143
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;8J;Résident ;All-FIMU;17285
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;8J;Touriste Français;All-FIMU;5143
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;9J;Résident ;All-FIMU;17285
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;9J;Touriste Français;All-FIMU;5143
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;10J;Résident ;All-FIMU;17285
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;10J;Touriste Français;All-FIMU;5143
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;11J;Résident ;All-FIMU;17285
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;11J;Touriste Français;All-FIMU;5143
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;12J;Résident ;All-FIMU;17285
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;12J;Touriste Français;All-FIMU;5143
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;13J;Résident ;All-FIMU;17285
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;13J;Touriste Français;All-FIMU;5143
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;14J;Résident ;All-FIMU;17285
