Date;JourDeLaSemaine;TypeNuitee;CategorieVisiteurs;ZoneNuitee;Volume
2016-04-22;Vendredi;Veille;Résident ;Ville de Belfort;5760
2016-04-22;Vendredi;Veille;Résident ;Agglomeration de Belfort;2041
2016-04-22;Vendredi;Veille;Résident ;Agglomeration de Montbeliard;88
2016-04-22;Vendredi;Veille;Résident ;Agglomeration de Hericourt;58
2016-04-22;Vendredi;Veille;Résident ;Reste Territoire de Belfort;893
2016-04-22;Vendredi;Veille;Résident ;Reste Haute Saone;39
2016-04-22;Vendredi;Veille;Résident ;Reste Doubs;58
2016-04-22;Vendredi;Veille;Résident ;Haut Rhin Sud;#
2016-04-22;Vendredi;Veille;Résident ;Haut Rhin Nord;#
2016-04-22;Vendredi;Veille;Touriste Français;Ville de Belfort;753
2016-04-22;Vendredi;Veille;Touriste Français;Agglomeration de Belfort;148
2016-04-22;Vendredi;Veille;Touriste Français;Agglomeration de Montbeliard;497
2016-04-22;Vendredi;Veille;Touriste Français;Agglomeration de Hericourt;212
2016-04-22;Vendredi;Veille;Touriste Français;Reste Territoire de Belfort;65
2016-04-22;Vendredi;Veille;Touriste Français;Reste Haute Saone;164
2016-04-22;Vendredi;Veille;Touriste Français;Reste Doubs;165
2016-04-22;Vendredi;Veille;Touriste Français;Haut Rhin Sud;151
2016-04-22;Vendredi;Veille;Touriste Français;Haut Rhin Nord;32
2016-04-22;Vendredi;Veille;Touriste Français;Vosges;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Ville de Belfort;202
2016-04-22;Vendredi;Veille;Touriste Etranger;Agglomeration de Belfort;22
2016-04-22;Vendredi;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Reste Territoire de Belfort;23
2016-04-22;Vendredi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Reste Doubs;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Haut Rhin Nord;#
2016-04-22;Vendredi;Veille;Touriste Etranger;Vosges;#
2016-04-23;Samedi;Veille;Résident ;Ville de Belfort;5364
2016-04-23;Samedi;Veille;Résident ;Agglomeration de Belfort;1188
2016-04-23;Samedi;Veille;Résident ;Agglomeration de Montbeliard;68
2016-04-23;Samedi;Veille;Résident ;Agglomeration de Hericourt;29
2016-04-23;Samedi;Veille;Résident ;Reste Territoire de Belfort;481
2016-04-23;Samedi;Veille;Résident ;Reste Haute Saone;39
2016-04-23;Samedi;Veille;Résident ;Reste Doubs;#
2016-04-23;Samedi;Veille;Résident ;Haut Rhin Sud;#
2016-04-23;Samedi;Veille;Résident ;Haut Rhin Nord;#
2016-04-23;Samedi;Veille;Touriste Français;Ville de Belfort;783
2016-04-23;Samedi;Veille;Touriste Français;Agglomeration de Belfort;124
2016-04-23;Samedi;Veille;Touriste Français;Agglomeration de Montbeliard;270
2016-04-23;Samedi;Veille;Touriste Français;Agglomeration de Hericourt;176
2016-04-23;Samedi;Veille;Touriste Français;Reste Territoire de Belfort;50
2016-04-23;Samedi;Veille;Touriste Français;Reste Haute Saone;150
2016-04-23;Samedi;Veille;Touriste Français;Reste Doubs;213
