Date;JourDeLaSemaine;TypeNuitee;CategorieVisiteurs;ZoneNuitee;Volume
2016-04-22;Vendredi;Soir;Résident ;Ville de Belfort;5917
2016-04-22;Vendredi;Soir;Résident ;Agglomeration de Belfort;1874
2016-04-22;Vendredi;Soir;Résident ;Agglomeration de Montbeliard;98
2016-04-22;Vendredi;Soir;Résident ;Agglomeration de Hericourt;49
2016-04-22;Vendredi;Soir;Résident ;Reste Territoire de Belfort;804
2016-04-22;Vendredi;Soir;Résident ;Reste Haute Saone;58
2016-04-22;Vendredi;Soir;Résident ;Reste Doubs;39
2016-04-22;Vendredi;Soir;Résident ;Haut Rhin Sud;#
2016-04-22;Vendredi;Soir;Résident ;Haut Rhin Nord;#
2016-04-22;Vendredi;Soir;Touriste Français;Ville de Belfort;829
2016-04-22;Vendredi;Soir;Touriste Français;Agglomeration de Belfort;125
2016-04-22;Vendredi;Soir;Touriste Français;Agglomeration de Montbeliard;442
2016-04-22;Vendredi;Soir;Touriste Français;Agglomeration de Hericourt;244
2016-04-22;Vendredi;Soir;Touriste Français;Reste Territoire de Belfort;74
2016-04-22;Vendredi;Soir;Touriste Français;Reste Haute Saone;133
2016-04-22;Vendredi;Soir;Touriste Français;Reste Doubs;158
2016-04-22;Vendredi;Soir;Touriste Français;Haut Rhin Sud;179
2016-04-22;Vendredi;Soir;Touriste Français;Haut Rhin Nord;#
2016-04-22;Vendredi;Soir;Touriste Français;Vosges;#
2016-04-22;Vendredi;Soir;Touriste Etranger;Ville de Belfort;287
2016-04-22;Vendredi;Soir;Touriste Etranger;Agglomeration de Belfort;32
2016-04-22;Vendredi;Soir;Touriste Etranger;Agglomeration de Montbeliard;22
2016-04-22;Vendredi;Soir;Touriste Etranger;Agglomeration de Hericourt;#
2016-04-22;Vendredi;Soir;Touriste Etranger;Reste Territoire de Belfort;23
2016-04-22;Vendredi;Soir;Touriste Etranger;Reste Haute Saone;#
2016-04-22;Vendredi;Soir;Touriste Etranger;Reste Doubs;#
