Date;JourDeLaSemaine;DureeVisite;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;Duree1h;Résident ;All-FIMU;4023
2016-04-22;Vendredi;Duree1h;Touriste Français;All-FIMU;1569
2016-04-22;Vendredi;Duree1h;Touriste Etranger;All-FIMU;322
2016-04-22;Vendredi;Duree2h;Résident ;All-FIMU;2482
2016-04-22;Vendredi;Duree2h;Touriste Français;All-FIMU;966
2016-04-22;Vendredi;Duree2h;Touriste Etranger;All-FIMU;130
2016-04-22;Vendredi;Duree3h;Résident ;All-FIMU;2316
2016-04-22;Vendredi;Duree3h;Touriste Français;All-FIMU;716
2016-04-22;Vendredi;Duree3h;Touriste Etranger;All-FIMU;188
2016-04-22;Vendredi;Duree4h;Résident ;All-FIMU;1717
2016-04-22;Vendredi;Duree4h;Touriste Français;All-FIMU;540
2016-04-22;Vendredi;Duree4h;Touriste Etranger;All-FIMU;219
2016-04-22;Vendredi;Duree5h;Résident ;All-FIMU;951
2016-04-22;Vendredi;Duree5h;Touriste Français;All-FIMU;249
2016-04-22;Vendredi;Duree5h;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Duree6h;Résident ;All-FIMU;1344
2016-04-22;Vendredi;Duree6h;Touriste Français;All-FIMU;220
2016-04-22;Vendredi;Duree6h;Touriste Etranger;All-FIMU;63
2016-04-22;Vendredi;Duree7h;Résident ;All-FIMU;657
2016-04-22;Vendredi;Duree7h;Touriste Français;All-FIMU;160
2016-04-22;Vendredi;Duree7h;Touriste Etranger;All-FIMU;35
2016-04-22;Vendredi;Duree8h;Résident ;All-FIMU;559
2016-04-22;Vendredi;Duree8h;Touriste Français;All-FIMU;53
2016-04-22;Vendredi;Duree8h;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Duree9h;Résident ;All-FIMU;500
2016-04-22;Vendredi;Duree9h;Touriste Français;All-FIMU;63
2016-04-22;Vendredi;Duree9h;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Duree10h;Résident ;All-FIMU;471
2016-04-22;Vendredi;Duree10h;Touriste Français;All-FIMU;46
2016-04-22;Vendredi;Duree10h;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Duree10h-18h;Résident ;All-FIMU;1629
2016-04-22;Vendredi;Duree10h-18h;Touriste Français;All-FIMU;241
2016-04-22;Vendredi;Duree10h-18h;Touriste Etranger;All-FIMU;83
2016-04-23;Samedi;Duree1h;Résident ;All-FIMU;3252
2016-04-23;Samedi;Duree1h;Touriste Français;All-FIMU;1091
2016-04-23;Samedi;Duree1h;Touriste Etranger;All-FIMU;287
2016-04-23;Samedi;Duree2h;Résident ;All-FIMU;1660
2016-04-23;Samedi;Duree2h;Touriste Français;All-FIMU;718
2016-04-23;Samedi;Duree2h;Touriste Etranger;All-FIMU;160
2016-04-23;Samedi;Duree3h;Résident ;All-FIMU;1886
2016-04-23;Samedi;Duree3h;Touriste Français;All-FIMU;582
2016-04-23;Samedi;Duree3h;Touriste Etranger;All-FIMU;167
2016-04-23;Samedi;Duree4h;Résident ;All-FIMU;1090
2016-04-23;Samedi;Duree4h;Touriste Français;All-FIMU;427
2016-04-23;Samedi;Duree4h;Touriste Etranger;All-FIMU;195
2016-04-23;Samedi;Duree5h;Résident ;All-FIMU;461
2016-04-23;Samedi;Duree5h;Touriste Français;All-FIMU;212
2016-04-23;Samedi;Duree5h;Touriste Etranger;All-FIMU;41
2016-04-23;Samedi;Duree6h;Résident ;All-FIMU;786
2016-04-23;Samedi;Duree6h;Touriste Français;All-FIMU;216
2016-04-23;Samedi;Duree6h;Touriste Etranger;All-FIMU;65
2016-04-23;Samedi;Duree7h;Résident ;All-FIMU;579
2016-04-23;Samedi;Duree7h;Touriste Français;All-FIMU;103
2016-04-23;Samedi;Duree7h;Touriste Etranger;All-FIMU;#
