Date;JourDeLaSemaine;Heure;Presence30Min;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;12:00:00;Présent;Résident ;All-FIMU;7501
2016-04-22;Vendredi;12:00:00;Présent;Touriste Français;All-FIMU;1925
2016-04-22;Vendredi;12:00:00;Présent;Touriste Etranger;All-FIMU;251
2016-04-22;Vendredi;12:30:00;Présent;Résident ;All-FIMU;6849
2016-04-22;Vendredi;12:30:00;Présent;Touriste Français;All-FIMU;1994
2016-04-22;Vendredi;12:30:00;Présent;Touriste Etranger;All-FIMU;144
2016-04-22;Vendredi;13:00:00;Présent;Résident ;All-FIMU;6641
2016-04-22;Vendredi;13:00:00;Présent;Touriste Français;All-FIMU;1943
2016-04-22;Vendredi;13:00:00;Présent;Touriste Etranger;All-FIMU;135
2016-04-22;Vendredi;13:30:00;Présent;Résident ;All-FIMU;7171
2016-04-22;Vendredi;13:30:00;Présent;Touriste Français;All-FIMU;2018
2016-04-22;Vendredi;13:30:00;Présent;Touriste Etranger;All-FIMU;176
2016-04-22;Vendredi;14:00:00;Présent;Résident ;All-FIMU;7450
2016-04-22;Vendredi;14:00:00;Présent;Touriste Français;All-FIMU;2001
2016-04-22;Vendredi;14:00:00;Présent;Touriste Etranger;All-FIMU;185
2016-04-22;Vendredi;14:30:00;Présent;Résident ;All-FIMU;7787
2016-04-22;Vendredi;14:30:00;Présent;Touriste Français;All-FIMU;2136
2016-04-22;Vendredi;14:30:00;Présent;Touriste Etranger;All-FIMU;198
2016-04-22;Vendredi;15:00:00;Présent;Résident ;All-FIMU;7794
2016-04-22;Vendredi;15:00:00;Présent;Touriste Français;All-FIMU;1986
2016-04-22;Vendredi;15:00:00;Présent;Touriste Etranger;All-FIMU;269
2016-04-22;Vendredi;15:30:00;Présent;Résident ;All-FIMU;7826
2016-04-22;Vendredi;15:30:00;Présent;Touriste Français;All-FIMU;2077
2016-04-22;Vendredi;15:30:00;Présent;Touriste Etranger;All-FIMU;301
2016-04-22;Vendredi;16:00:00;Présent;Résident ;All-FIMU;7933
2016-04-22;Vendredi;16:00:00;Présent;Touriste Français;All-FIMU;2078
2016-04-22;Vendredi;16:00:00;Présent;Touriste Etranger;All-FIMU;364
2016-04-22;Vendredi;16:30:00;Présent;Résident ;All-FIMU;7832
2016-04-22;Vendredi;16:30:00;Présent;Touriste Français;All-FIMU;2130
2016-04-22;Vendredi;16:30:00;Présent;Touriste Etranger;All-FIMU;389
2016-04-22;Vendredi;17:00:00;Présent;Résident ;All-FIMU;7940
2016-04-22;Vendredi;17:00:00;Présent;Touriste Français;All-FIMU;2112
2016-04-22;Vendredi;17:00:00;Présent;Touriste Etranger;All-FIMU;393
2016-04-22;Vendredi;17:30:00;Présent;Résident ;All-FIMU;7903
2016-04-22;Vendredi;17:30:00;Présent;Touriste Français;All-FIMU;1926
2016-04-22;Vendredi;17:30:00;Présent;Touriste Etranger;All-FIMU;379
2016-04-22;Vendredi;18:00:00;Présent;Résident ;All-FIMU;7856
2016-04-22;Vendredi;18:00:00;Présent;Touriste Français;All-FIMU;1836
2016-04-22;Vendredi;18:00:00;Présent;Touriste Etranger;All-FIMU;300
2016-04-22;Vendredi;18:30:00;Présent;Résident ;All-FIMU;7728
