Date;JourDeLaSemaine;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;Visiteur;Journee;Résident ;All-FIMU;12463
2016-04-22;Vendredi;Visiteur;Journee;Touriste Français;All-FIMU;3223
2016-04-22;Vendredi;Visiteur;Journee;Touriste Etranger;All-FIMU;806
2016-04-22;Vendredi;Excursionniste;Journee;Résident ;All-FIMU;1815
2016-04-22;Vendredi;Excursionniste;Journee;Touriste Français;All-FIMU;486
2016-04-22;Vendredi;Excursionniste;Journee;Touriste Etranger;All-FIMU;321
2016-04-23;Samedi;Visiteur;Journee;Résident ;All-FIMU;9893
2016-04-23;Samedi;Visiteur;Journee;Touriste Français;All-FIMU;2822
2016-04-23;Samedi;Visiteur;Journee;Touriste Etranger;All-FIMU;799
2016-04-23;Samedi;Excursionniste;Journee;Résident ;All-FIMU;1395
2016-04-23;Samedi;Excursionniste;Journee;Touriste Français;All-FIMU;467
2016-04-23;Samedi;Excursionniste;Journee;Touriste Etranger;All-FIMU;380
2016-04-24;Dimanche;Visiteur;Journee;Résident ;All-FIMU;8055
2016-04-24;Dimanche;Visiteur;Journee;Touriste Français;All-FIMU;2017
2016-04-24;Dimanche;Visiteur;Journee;Touriste Etranger;All-FIMU;638
2016-04-24;Dimanche;Excursionniste;Journee;Résident ;All-FIMU;1298
2016-04-24;Dimanche;Excursionniste;Journee;Touriste Français;All-FIMU;422
2016-04-24;Dimanche;Excursionniste;Journee;Touriste Etranger;All-FIMU;307
2016-04-25;Lundi;Visiteur;Journee;Résident ;All-FIMU;12821
2016-04-25;Lundi;Visiteur;Journee;Touriste Français;All-FIMU;3158
2016-04-25;Lundi;Visiteur;Journee;Touriste Etranger;All-FIMU;851
2016-04-25;Lundi;Excursionniste;Journee;Résident ;All-FIMU;2127
2016-04-25;Lundi;Excursionniste;Journee;Touriste Français;All-FIMU;603
2016-04-25;Lundi;Excursionniste;Journee;Touriste Etranger;All-FIMU;431
2016-04-26;Mardi;Visiteur;Journee;Résident ;All-FIMU;13299
2016-04-26;Mardi;Visiteur;Journee;Touriste Français;All-FIMU;3350
2016-04-26;Mardi;Visiteur;Journee;Touriste Etranger;All-FIMU;897
2016-04-26;Mardi;Excursionniste;Journee;Résident ;All-FIMU;2080
2016-04-26;Mardi;Excursionniste;Journee;Touriste Français;All-FIMU;715
2016-04-26;Mardi;Excursionniste;Journee;Touriste Etranger;All-FIMU;438
2016-04-27;Mercredi;Visiteur;Journee;Résident ;All-FIMU;13097
2016-04-27;Mercredi;Visiteur;Journee;Touriste Français;All-FIMU;3406
2016-04-27;Mercredi;Visiteur;Journee;Touriste Etranger;All-FIMU;979
2016-04-27;Mercredi;Excursionniste;Journee;Résident ;All-FIMU;2210
2016-04-27;Mercredi;Excursionniste;Journee;Touriste Français;All-FIMU;610
2016-04-27;Mercredi;Excursionniste;Journee;Touriste Etranger;All-FIMU;509
2016-04-28;Jeudi;Visiteur;Journee;Résident ;All-FIMU;14140
2016-04-28;Jeudi;Visiteur;Journee;Touriste Français;All-FIMU;3933
2016-04-28;Jeudi;Visiteur;Journee;Touriste Etranger;All-FIMU;808
2016-04-28;Jeudi;Excursionniste;Journee;Résident ;All-FIMU;2292
2016-04-28;Jeudi;Excursionniste;Journee;Touriste Français;All-FIMU;733
2016-04-28;Jeudi;Excursionniste;Journee;Touriste Etranger;All-FIMU;376
2016-04-29;Vendredi;Visiteur;Journee;Résident ;All-FIMU;14690
2016-04-29;Vendredi;Visiteur;Journee;Touriste Français;All-FIMU;3933
2016-04-29;Vendredi;Visiteur;Journee;Touriste Etranger;All-FIMU;993
2016-04-29;Vendredi;Excursionniste;Journee;Résident ;All-FIMU;2492
2016-04-29;Vendredi;Excursionniste;Journee;Touriste Français;All-FIMU;657
2016-04-29;Vendredi;Excursionniste;Journee;Touriste Etranger;All-FIMU;479
2016-04-30;Samedi;Visiteur;Journee;Résident ;All-FIMU;11131
2016-04-30;Samedi;Visiteur;Journee;Touriste Français;All-FIMU;3476
2016-04-30;Samedi;Visiteur;Journee;Touriste Etranger;All-FIMU;1120
2016-04-30;Samedi;Excursionniste;Journee;Résident ;All-FIMU;1772
2016-04-30;Samedi;Excursionniste;Journee;Touriste Français;All-FIMU;611
2016-04-30;Samedi;Excursionniste;Journee;Touriste Etranger;All-FIMU;535
2016-05-01;Dimanche;Visiteur;Journee;Résident ;All-FIMU;8150
2016-05-01;Dimanche;Visiteur;Journee;Touriste Français;All-FIMU;2514
