Date;JourDeLaSemaine;Pays;Continent;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;Journee;Touriste Etranger;All-FIMU;806
2016-04-22;Vendredi;CUMUL;CUMUL;Excursionniste;Journee;Touriste Etranger;All-FIMU;321
2016-04-22;Vendredi;Algérie;Afrique;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Algérie;Afrique;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Allemagne;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;211
2016-04-22;Vendredi;Allemagne;Europe;Excursionniste;Journee;Touriste Etranger;All-FIMU;81
2016-04-22;Vendredi;Autres Europe de l'Est;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Autres Europe de l'Est;Europe;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Autres Moyen Orient;Asie;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Autriche;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Baltes;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Baltes;Europe;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Belgique;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;51
2016-04-22;Vendredi;Belgique;Europe;Excursionniste;Journee;Touriste Etranger;All-FIMU;22
2016-04-22;Vendredi;Bosnie-Herzégovine;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Brésil;Amérique;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Brésil;Amérique;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Cameroun;Afrique;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Caucase;Asie;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Caucase;Asie;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Caucase;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Chine;Asie;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Chine;Asie;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Corée du Sud;Asie;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Corée du Sud;Asie;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Émirats Arabes Unis;Asie;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Espagne;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Espagne;Europe;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;États-Unis;Amérique;Visiteur;Journee;Touriste Etranger;All-FIMU;33
2016-04-22;Vendredi;États-Unis;Amérique;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;France - Autres;Autre;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Grèce;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Hongrie;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Italie;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;41
2016-04-22;Vendredi;Italie;Europe;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Japon;Asie;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Luxembourg;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;91
2016-04-22;Vendredi;Luxembourg;Europe;Excursionniste;Journee;Touriste Etranger;All-FIMU;73
2016-04-22;Vendredi;Malaisie;Asie;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Malaisie;Asie;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Maroc;Afrique;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Monaco;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Monaco;Europe;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Norvège;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Pays-Bas;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;33
2016-04-22;Vendredi;Pays-Bas;Europe;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Portugal;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;République tchèque;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;République tchèque;Europe;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Roumanie;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Royaume-Uni;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Royaume-Uni;Europe;Excursionniste;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Russie;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
2016-04-22;Vendredi;Serbie;Europe;Visiteur;Journee;Touriste Etranger;All-FIMU;#
