Date;JourDeLaSemaine;Age;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;12461
2016-04-22;Vendredi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3219
2016-04-22;Vendredi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1812
2016-04-22;Vendredi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;483
2016-04-22;Vendredi;18-24 ans;Visiteur;Journee;Résident ;All-FIMU;206
2016-04-22;Vendredi;18-24 ans;Visiteur;Journee;Touriste Français;All-FIMU;117
2016-04-22;Vendredi;18-24 ans;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-22;Vendredi;18-24 ans;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-22;Vendredi;25-34 ans;Visiteur;Journee;Résident ;All-FIMU;1030
2016-04-22;Vendredi;25-34 ans;Visiteur;Journee;Touriste Français;All-FIMU;415
2016-04-22;Vendredi;25-34 ans;Excursionniste;Journee;Résident ;All-FIMU;127
2016-04-22;Vendredi;25-34 ans;Excursionniste;Journee;Touriste Français;All-FIMU;59
2016-04-22;Vendredi;35-44 ans;Visiteur;Journee;Résident ;All-FIMU;1746
2016-04-22;Vendredi;35-44 ans;Visiteur;Journee;Touriste Français;All-FIMU;485
2016-04-22;Vendredi;35-44 ans;Excursionniste;Journee;Résident ;All-FIMU;245
2016-04-22;Vendredi;35-44 ans;Excursionniste;Journee;Touriste Français;All-FIMU;72
2016-04-22;Vendredi;45-54 ans;Visiteur;Journee;Résident ;All-FIMU;2522
2016-04-22;Vendredi;45-54 ans;Visiteur;Journee;Touriste Français;All-FIMU;769
2016-04-22;Vendredi;45-54 ans;Excursionniste;Journee;Résident ;All-FIMU;323
2016-04-22;Vendredi;45-54 ans;Excursionniste;Journee;Touriste Français;All-FIMU;98
2016-04-22;Vendredi;55-64 ans;Visiteur;Journee;Résident ;All-FIMU;2355
2016-04-22;Vendredi;55-64 ans;Visiteur;Journee;Touriste Français;All-FIMU;582
2016-04-22;Vendredi;55-64 ans;Excursionniste;Journee;Résident ;All-FIMU;402
2016-04-22;Vendredi;55-64 ans;Excursionniste;Journee;Touriste Français;All-FIMU;91
2016-04-22;Vendredi;65 ans et +;Visiteur;Journee;Résident ;All-FIMU;2983
2016-04-22;Vendredi;65 ans et +;Visiteur;Journee;Touriste Français;All-FIMU;415
2016-04-22;Vendredi;65 ans et +;Excursionniste;Journee;Résident ;All-FIMU;461
2016-04-22;Vendredi;65 ans et +;Excursionniste;Journee;Touriste Français;All-FIMU;85
2016-04-22;Vendredi;NR;Visiteur;Journee;Résident ;All-FIMU;1619
2016-04-22;Vendredi;NR;Visiteur;Journee;Touriste Français;All-FIMU;436
2016-04-22;Vendredi;NR;Excursionniste;Journee;Résident ;All-FIMU;235
2016-04-22;Vendredi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;65
2016-04-23;Samedi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;9890
2016-04-23;Samedi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;2817
2016-04-23;Samedi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1392
2016-04-23;Samedi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;464
2016-04-23;Samedi;18-24 ans;Visiteur;Journee;Résident ;All-FIMU;186
2016-04-23;Samedi;18-24 ans;Visiteur;Journee;Touriste Français;All-FIMU;91
2016-04-23;Samedi;18-24 ans;Excursionniste;Journee;Résident ;All-FIMU;39
2016-04-23;Samedi;18-24 ans;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-23;Samedi;25-34 ans;Visiteur;Journee;Résident ;All-FIMU;825
2016-04-23;Samedi;25-34 ans;Visiteur;Journee;Touriste Français;All-FIMU;507
2016-04-23;Samedi;25-34 ans;Excursionniste;Journee;Résident ;All-FIMU;58
2016-04-23;Samedi;25-34 ans;Excursionniste;Journee;Touriste Français;All-FIMU;106
2016-04-23;Samedi;35-44 ans;Visiteur;Journee;Résident ;All-FIMU;1552
2016-04-23;Samedi;35-44 ans;Visiteur;Journee;Touriste Français;All-FIMU;373
2016-04-23;Samedi;35-44 ans;Excursionniste;Journee;Résident ;All-FIMU;245
2016-04-23;Samedi;35-44 ans;Excursionniste;Journee;Touriste Français;All-FIMU;53
2016-04-23;Samedi;45-54 ans;Visiteur;Journee;Résident ;All-FIMU;1905
2016-04-23;Samedi;45-54 ans;Visiteur;Journee;Touriste Français;All-FIMU;634
2016-04-23;Samedi;45-54 ans;Excursionniste;Journee;Résident ;All-FIMU;284
2016-04-23;Samedi;45-54 ans;Excursionniste;Journee;Touriste Français;All-FIMU;73
2016-04-23;Samedi;55-64 ans;Visiteur;Journee;Résident ;All-FIMU;1778
2016-04-23;Samedi;55-64 ans;Visiteur;Journee;Touriste Français;All-FIMU;585
2016-04-23;Samedi;55-64 ans;Excursionniste;Journee;Résident ;All-FIMU;275
2016-04-23;Samedi;55-64 ans;Excursionniste;Journee;Touriste Français;All-FIMU;133
2016-04-23;Samedi;65 ans et +;Visiteur;Journee;Résident ;All-FIMU;2475
2016-04-23;Samedi;65 ans et +;Visiteur;Journee;Touriste Français;All-FIMU;388
2016-04-23;Samedi;65 ans et +;Excursionniste;Journee;Résident ;All-FIMU;334
2016-04-23;Samedi;65 ans et +;Excursionniste;Journee;Touriste Français;All-FIMU;73
2016-04-23;Samedi;NR;Visiteur;Journee;Résident ;All-FIMU;1169
2016-04-23;Samedi;NR;Visiteur;Journee;Touriste Français;All-FIMU;239
2016-04-23;Samedi;NR;Excursionniste;Journee;Résident ;All-FIMU;157
2016-04-23;Samedi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-24;Dimanche;CUMUL;Visiteur;Journee;Résident ;All-FIMU;8051
2016-04-24;Dimanche;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;2013
2016-04-24;Dimanche;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1295
2016-04-24;Dimanche;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;420
2016-04-24;Dimanche;18-24 ans;Visiteur;Journee;Résident ;All-FIMU;127
2016-04-24;Dimanche;18-24 ans;Visiteur;Journee;Touriste Français;All-FIMU;87
2016-04-24;Dimanche;18-24 ans;Excursionniste;Journee;Résident ;All-FIMU;29
2016-04-24;Dimanche;18-24 ans;Excursionniste;Journee;Touriste Français;All-FIMU;21
2016-04-24;Dimanche;25-34 ans;Visiteur;Journee;Résident ;All-FIMU;737
2016-04-24;Dimanche;25-34 ans;Visiteur;Journee;Touriste Français;All-FIMU;298
2016-04-24;Dimanche;25-34 ans;Excursionniste;Journee;Résident ;All-FIMU;108
2016-04-24;Dimanche;25-34 ans;Excursionniste;Journee;Touriste Français;All-FIMU;63
2016-04-24;Dimanche;35-44 ans;Visiteur;Journee;Résident ;All-FIMU;1298
2016-04-24;Dimanche;35-44 ans;Visiteur;Journee;Touriste Français;All-FIMU;378
2016-04-24;Dimanche;35-44 ans;Excursionniste;Journee;Résident ;All-FIMU;167
2016-04-24;Dimanche;35-44 ans;Excursionniste;Journee;Touriste Français;All-FIMU;49
2016-04-24;Dimanche;45-54 ans;Visiteur;Journee;Résident ;All-FIMU;1396
2016-04-24;Dimanche;45-54 ans;Visiteur;Journee;Touriste Français;All-FIMU;502
2016-04-24;Dimanche;45-54 ans;Excursionniste;Journee;Résident ;All-FIMU;275
2016-04-24;Dimanche;45-54 ans;Excursionniste;Journee;Touriste Français;All-FIMU;154
2016-04-24;Dimanche;55-64 ans;Visiteur;Journee;Résident ;All-FIMU;1337
2016-04-24;Dimanche;55-64 ans;Visiteur;Journee;Touriste Français;All-FIMU;378
2016-04-24;Dimanche;55-64 ans;Excursionniste;Journee;Résident ;All-FIMU;196
2016-04-24;Dimanche;55-64 ans;Excursionniste;Journee;Touriste Français;All-FIMU;56
2016-04-24;Dimanche;65 ans et +;Visiteur;Journee;Résident ;All-FIMU;2212
2016-04-24;Dimanche;65 ans et +;Visiteur;Journee;Touriste Français;All-FIMU;247
2016-04-24;Dimanche;65 ans et +;Excursionniste;Journee;Résident ;All-FIMU;393
2016-04-24;Dimanche;65 ans et +;Excursionniste;Journee;Touriste Français;All-FIMU;56
2016-04-24;Dimanche;NR;Visiteur;Journee;Résident ;All-FIMU;944
2016-04-24;Dimanche;NR;Visiteur;Journee;Touriste Français;All-FIMU;123
2016-04-24;Dimanche;NR;Excursionniste;Journee;Résident ;All-FIMU;127
2016-04-24;Dimanche;NR;Excursionniste;Journee;Touriste Français;All-FIMU;21
2016-04-25;Lundi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;12817
2016-04-25;Lundi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3154
2016-04-25;Lundi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2123
2016-04-25;Lundi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;600
2016-04-25;Lundi;18-24 ans;Visiteur;Journee;Résident ;All-FIMU;196
2016-04-25;Lundi;18-24 ans;Visiteur;Journee;Touriste Français;All-FIMU;146
2016-04-25;Lundi;18-24 ans;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-25;Lundi;18-24 ans;Excursionniste;Journee;Touriste Français;All-FIMU;26
2016-04-25;Lundi;25-34 ans;Visiteur;Journee;Résident ;All-FIMU;935
2016-04-25;Lundi;25-34 ans;Visiteur;Journee;Touriste Français;All-FIMU;342
2016-04-25;Lundi;25-34 ans;Excursionniste;Journee;Résident ;All-FIMU;128
2016-04-25;Lundi;25-34 ans;Excursionniste;Journee;Touriste Français;All-FIMU;53
2016-04-25;Lundi;35-44 ans;Visiteur;Journee;Résident ;All-FIMU;2008
2016-04-25;Lundi;35-44 ans;Visiteur;Journee;Touriste Français;All-FIMU;537
2016-04-25;Lundi;35-44 ans;Excursionniste;Journee;Résident ;All-FIMU;374
2016-04-25;Lundi;35-44 ans;Excursionniste;Journee;Touriste Français;All-FIMU;93
2016-04-25;Lundi;45-54 ans;Visiteur;Journee;Résident ;All-FIMU;2885
2016-04-25;Lundi;45-54 ans;Visiteur;Journee;Touriste Français;All-FIMU;831
2016-04-25;Lundi;45-54 ans;Excursionniste;Journee;Résident ;All-FIMU;423
2016-04-25;Lundi;45-54 ans;Excursionniste;Journee;Touriste Français;All-FIMU;201
2016-04-25;Lundi;55-64 ans;Visiteur;Journee;Résident ;All-FIMU;2383
2016-04-25;Lundi;55-64 ans;Visiteur;Journee;Touriste Français;All-FIMU;586
2016-04-25;Lundi;55-64 ans;Excursionniste;Journee;Résident ;All-FIMU;393
2016-04-25;Lundi;55-64 ans;Excursionniste;Journee;Touriste Français;All-FIMU;60
2016-04-25;Lundi;65 ans et +;Visiteur;Journee;Résident ;All-FIMU;2845
2016-04-25;Lundi;65 ans et +;Visiteur;Journee;Touriste Français;All-FIMU;342
2016-04-25;Lundi;65 ans et +;Excursionniste;Journee;Résident ;All-FIMU;521
2016-04-25;Lundi;65 ans et +;Excursionniste;Journee;Touriste Français;All-FIMU;107
2016-04-25;Lundi;NR;Visiteur;Journee;Résident ;All-FIMU;1565
2016-04-25;Lundi;NR;Visiteur;Journee;Touriste Français;All-FIMU;370
2016-04-25;Lundi;NR;Excursionniste;Journee;Résident ;All-FIMU;275
2016-04-25;Lundi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;60
2016-04-26;Mardi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;13296
2016-04-26;Mardi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3345
2016-04-26;Mardi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2077
2016-04-26;Mardi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;711
2016-04-26;Mardi;18-24 ans;Visiteur;Journee;Résident ;All-FIMU;197
2016-04-26;Mardi;18-24 ans;Visiteur;Journee;Touriste Français;All-FIMU;118
2016-04-26;Mardi;18-24 ans;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-26;Mardi;18-24 ans;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-26;Mardi;25-34 ans;Visiteur;Journee;Résident ;All-FIMU;1094
2016-04-26;Mardi;25-34 ans;Visiteur;Journee;Touriste Français;All-FIMU;432
