Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;Journee;Résident ;All-FIMU;12460
2016-04-22;Vendredi;CUMUL;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3217
2016-04-22;Vendredi;CUMUL;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1810
2016-04-22;Vendredi;CUMUL;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;479
2016-04-22;Vendredi;NR;NR;Visiteur;Journee;Résident ;All-FIMU;323
2016-04-22;Vendredi;NR;NR;Visiteur;Journee;Touriste Français;All-FIMU;62
2016-04-22;Vendredi;NR;NR;Excursionniste;Journee;Résident ;All-FIMU;68
2016-04-22;Vendredi;NR;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Résident ;All-FIMU;1099
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;422
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Résident ;All-FIMU;127
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;52
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;1570
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;554
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;186
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;32
2016-04-22;Vendredi;populaire;Populaire;Visiteur;Journee;Résident ;All-FIMU;1256
2016-04-22;Vendredi;populaire;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;201
2016-04-22;Vendredi;populaire;Populaire;Excursionniste;Journee;Résident ;All-FIMU;137
2016-04-22;Vendredi;populaire;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;41
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;471
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;318
2016-04-22;Vendredi;rural dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;68
2016-04-22;Vendredi;rural dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;52
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;Journee;Résident ;All-FIMU;304
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;679
2016-04-22;Vendredi;rural ouvrier;Populaire;Excursionniste;Journee;Résident ;All-FIMU;29
2016-04-22;Vendredi;rural ouvrier;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;124
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;Journee;Résident ;All-FIMU;392
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;187
2016-04-22;Vendredi;rural traditionnel;Populaire;Excursionniste;Journee;Résident ;All-FIMU;39
2016-04-22;Vendredi;rural traditionnel;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;39
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;3150
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;374
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;323
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;45
2016-04-22;Vendredi;urbain defavorise;Populaire;Visiteur;Journee;Résident ;All-FIMU;991
2016-04-22;Vendredi;urbain defavorise;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;131
