Date;JourDeLaSemaine;Genre;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;12461
2016-04-22;Vendredi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3222
2016-04-22;Vendredi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1814
2016-04-22;Vendredi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;485
2016-04-22;Vendredi;F;Visiteur;Journee;Résident ;All-FIMU;6378
2016-04-22;Vendredi;F;Visiteur;Journee;Touriste Français;All-FIMU;1476
2016-04-22;Vendredi;F;Excursionniste;Journee;Résident ;All-FIMU;922
2016-04-22;Vendredi;F;Excursionniste;Journee;Touriste Français;All-FIMU;190
2016-04-22;Vendredi;H;Visiteur;Journee;Résident ;All-FIMU;5691
2016-04-22;Vendredi;H;Visiteur;Journee;Touriste Français;All-FIMU;1649
2016-04-22;Vendredi;H;Excursionniste;Journee;Résident ;All-FIMU;814
2016-04-22;Vendredi;H;Excursionniste;Journee;Touriste Français;All-FIMU;269
2016-04-22;Vendredi;NR;Visiteur;Journee;Résident ;All-FIMU;392
2016-04-22;Vendredi;NR;Visiteur;Journee;Touriste Français;All-FIMU;97
2016-04-22;Vendredi;NR;Excursionniste;Journee;Résident ;All-FIMU;78
2016-04-22;Vendredi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;26
2016-04-23;Samedi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;9892
2016-04-23;Samedi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;2821
2016-04-23;Samedi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1394
2016-04-23;Samedi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;466
2016-04-23;Samedi;F;Visiteur;Journee;Résident ;All-FIMU;5059
2016-04-23;Samedi;F;Visiteur;Journee;Touriste Français;All-FIMU;1411
2016-04-23;Samedi;F;Excursionniste;Journee;Résident ;All-FIMU;697
2016-04-23;Samedi;F;Excursionniste;Journee;Touriste Français;All-FIMU;213
2016-04-23;Samedi;H;Visiteur;Journee;Résident ;All-FIMU;4558
2016-04-23;Samedi;H;Visiteur;Journee;Touriste Français;All-FIMU;1382
2016-04-23;Samedi;H;Excursionniste;Journee;Résident ;All-FIMU;668
2016-04-23;Samedi;H;Excursionniste;Journee;Touriste Français;All-FIMU;253
2016-04-23;Samedi;NR;Visiteur;Journee;Résident ;All-FIMU;275
2016-04-23;Samedi;NR;Visiteur;Journee;Touriste Français;All-FIMU;28
2016-04-23;Samedi;NR;Excursionniste;Journee;Résident ;All-FIMU;29
2016-04-24;Dimanche;CUMUL;Visiteur;Journee;Résident ;All-FIMU;8054
2016-04-24;Dimanche;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;2015
2016-04-24;Dimanche;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1296
2016-04-24;Dimanche;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;421
2016-04-24;Dimanche;F;Visiteur;Journee;Résident ;All-FIMU;4160
2016-04-24;Dimanche;F;Visiteur;Journee;Touriste Français;All-FIMU;851
2016-04-24;Dimanche;F;Excursionniste;Journee;Résident ;All-FIMU;668
2016-04-24;Dimanche;F;Excursionniste;Journee;Touriste Français;All-FIMU;168
2016-04-24;Dimanche;H;Visiteur;Journee;Résident ;All-FIMU;3698
2016-04-24;Dimanche;H;Visiteur;Journee;Touriste Français;All-FIMU;1114
2016-04-24;Dimanche;H;Excursionniste;Journee;Résident ;All-FIMU;599
2016-04-24;Dimanche;H;Excursionniste;Journee;Touriste Français;All-FIMU;239
2016-04-24;Dimanche;NR;Visiteur;Journee;Résident ;All-FIMU;196
2016-04-24;Dimanche;NR;Visiteur;Journee;Touriste Français;All-FIMU;50
2016-04-24;Dimanche;NR;Excursionniste;Journee;Résident ;All-FIMU;29
2016-04-24;Dimanche;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-25;Lundi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;12819
2016-04-25;Lundi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3157
2016-04-25;Lundi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2125
2016-04-25;Lundi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;602
2016-04-25;Lundi;F;Visiteur;Journee;Résident ;All-FIMU;6489
2016-04-25;Lundi;F;Visiteur;Journee;Touriste Français;All-FIMU;1516
2016-04-25;Lundi;F;Excursionniste;Journee;Résident ;All-FIMU;1014
2016-04-25;Lundi;F;Excursionniste;Journee;Touriste Français;All-FIMU;281
2016-04-25;Lundi;H;Visiteur;Journee;Résident ;All-FIMU;6006
2016-04-25;Lundi;H;Visiteur;Journee;Touriste Français;All-FIMU;1572
2016-04-25;Lundi;H;Excursionniste;Journee;Résident ;All-FIMU;1043
2016-04-25;Lundi;H;Excursionniste;Journee;Touriste Français;All-FIMU;301
2016-04-25;Lundi;NR;Visiteur;Journee;Résident ;All-FIMU;324
2016-04-25;Lundi;NR;Visiteur;Journee;Touriste Français;All-FIMU;69
2016-04-25;Lundi;NR;Excursionniste;Journee;Résident ;All-FIMU;68
2016-04-25;Lundi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-26;Mardi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;13298
2016-04-26;Mardi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3349
2016-04-26;Mardi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2078
2016-04-26;Mardi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;714
2016-04-26;Mardi;F;Visiteur;Journee;Résident ;All-FIMU;6723
2016-04-26;Mardi;F;Visiteur;Journee;Touriste Français;All-FIMU;1640
2016-04-26;Mardi;F;Excursionniste;Journee;Résident ;All-FIMU;985
2016-04-26;Mardi;F;Excursionniste;Journee;Touriste Français;All-FIMU;327
2016-04-26;Mardi;H;Visiteur;Journee;Résident ;All-FIMU;6181
2016-04-26;Mardi;H;Visiteur;Journee;Touriste Français;All-FIMU;1633
2016-04-26;Mardi;H;Excursionniste;Journee;Résident ;All-FIMU;985
2016-04-26;Mardi;H;Excursionniste;Journee;Touriste Français;All-FIMU;354
2016-04-26;Mardi;NR;Visiteur;Journee;Résident ;All-FIMU;394
2016-04-26;Mardi;NR;Visiteur;Journee;Touriste Français;All-FIMU;76
2016-04-26;Mardi;NR;Excursionniste;Journee;Résident ;All-FIMU;108
2016-04-26;Mardi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;33
2016-04-27;Mercredi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;13096
2016-04-27;Mercredi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3404
2016-04-27;Mercredi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2208
2016-04-27;Mercredi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;609
2016-04-27;Mercredi;F;Visiteur;Journee;Résident ;All-FIMU;6750
2016-04-27;Mercredi;F;Visiteur;Journee;Touriste Français;All-FIMU;1493
2016-04-27;Mercredi;F;Excursionniste;Journee;Résident ;All-FIMU;1134
2016-04-27;Mercredi;F;Excursionniste;Journee;Touriste Français;All-FIMU;223
2016-04-27;Mercredi;H;Visiteur;Journee;Résident ;All-FIMU;5902
2016-04-27;Mercredi;H;Visiteur;Journee;Touriste Français;All-FIMU;1835
