Date;JourDeLaSemaine;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;Visiteur;1J;Résident ;All-FIMU;12463
2016-04-22;Vendredi;Visiteur;1J;Touriste Français;All-FIMU;3223
2016-04-22;Vendredi;Visiteur;1J;Touriste Etranger;All-FIMU;806
2016-04-22;Vendredi;Visiteur;2J;Résident ;All-FIMU;17291
2016-04-22;Vendredi;Visiteur;2J;Touriste Français;All-FIMU;5151
2016-04-22;Vendredi;Visiteur;2J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;Visiteur;3J;Résident ;All-FIMU;17291
2016-04-22;Vendredi;Visiteur;3J;Touriste Français;All-FIMU;5151
2016-04-22;Vendredi;Visiteur;3J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;Visiteur;4J;Résident ;All-FIMU;17291
2016-04-22;Vendredi;Visiteur;4J;Touriste Français;All-FIMU;5151
2016-04-22;Vendredi;Visiteur;4J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;Visiteur;5J;Résident ;All-FIMU;17291
2016-04-22;Vendredi;Visiteur;5J;Touriste Français;All-FIMU;5151
2016-04-22;Vendredi;Visiteur;5J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;Visiteur;6J;Résident ;All-FIMU;17291
2016-04-22;Vendredi;Visiteur;6J;Touriste Français;All-FIMU;5151
2016-04-22;Vendredi;Visiteur;6J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;Visiteur;7J;Résident ;All-FIMU;17291
2016-04-22;Vendredi;Visiteur;7J;Touriste Français;All-FIMU;5151
2016-04-22;Vendredi;Visiteur;7J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;Visiteur;8J;Résident ;All-FIMU;17291
2016-04-22;Vendredi;Visiteur;8J;Touriste Français;All-FIMU;5151
2016-04-22;Vendredi;Visiteur;8J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;Visiteur;9J;Résident ;All-FIMU;17291
2016-04-22;Vendredi;Visiteur;9J;Touriste Français;All-FIMU;5151
2016-04-22;Vendredi;Visiteur;9J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;Visiteur;10J;Résident ;All-FIMU;17291
2016-04-22;Vendredi;Visiteur;10J;Touriste Français;All-FIMU;5151
2016-04-22;Vendredi;Visiteur;10J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;Visiteur;11J;Résident ;All-FIMU;17291
2016-04-22;Vendredi;Visiteur;11J;Touriste Français;All-FIMU;5151
2016-04-22;Vendredi;Visiteur;11J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;Visiteur;12J;Résident ;All-FIMU;17291
2016-04-22;Vendredi;Visiteur;12J;Touriste Français;All-FIMU;5151
2016-04-22;Vendredi;Visiteur;12J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;Visiteur;13J;Résident ;All-FIMU;17291
2016-04-22;Vendredi;Visiteur;13J;Touriste Français;All-FIMU;5151
2016-04-22;Vendredi;Visiteur;13J;Touriste Etranger;All-FIMU;1276
2016-04-22;Vendredi;Visiteur;14J;Résident ;All-FIMU;17291
2016-04-22;Vendredi;Visiteur;14J;Touriste Français;All-FIMU;5151
2016-04-22;Vendredi;Visiteur;14J;Touriste Etranger;All-FIMU;1276
2016-04-23;Samedi;Visiteur;1J;Résident ;All-FIMU;9893
2016-04-23;Samedi;Visiteur;1J;Touriste Français;All-FIMU;2822
2016-04-23;Samedi;Visiteur;1J;Touriste Etranger;All-FIMU;799
2016-04-23;Samedi;Visiteur;2J;Résident ;All-FIMU;16466
2016-04-23;Samedi;Visiteur;2J;Touriste Français;All-FIMU;5089
2016-04-23;Samedi;Visiteur;2J;Touriste Etranger;All-FIMU;1324
2016-04-23;Samedi;Visiteur;3J;Résident ;All-FIMU;20386
2016-04-23;Samedi;Visiteur;3J;Touriste Français;All-FIMU;6888
2016-04-23;Samedi;Visiteur;3J;Touriste Etranger;All-FIMU;1775
2016-04-23;Samedi;Visiteur;4J;Résident ;All-FIMU;20386
2016-04-23;Samedi;Visiteur;4J;Touriste Français;All-FIMU;6888
2016-04-23;Samedi;Visiteur;4J;Touriste Etranger;All-FIMU;1775
2016-04-23;Samedi;Visiteur;5J;Résident ;All-FIMU;20386
2016-04-23;Samedi;Visiteur;5J;Touriste Français;All-FIMU;6888
2016-04-23;Samedi;Visiteur;5J;Touriste Etranger;All-FIMU;1775
2016-04-23;Samedi;Visiteur;6J;Résident ;All-FIMU;20386
2016-04-23;Samedi;Visiteur;6J;Touriste Français;All-FIMU;6888
2016-04-23;Samedi;Visiteur;6J;Touriste Etranger;All-FIMU;1775
2016-04-23;Samedi;Visiteur;7J;Résident ;All-FIMU;20386
2016-04-23;Samedi;Visiteur;7J;Touriste Français;All-FIMU;6888
2016-04-23;Samedi;Visiteur;7J;Touriste Etranger;All-FIMU;1775
2016-04-23;Samedi;Visiteur;8J;Résident ;All-FIMU;20386
2016-04-23;Samedi;Visiteur;8J;Touriste Français;All-FIMU;6888
2016-04-23;Samedi;Visiteur;8J;Touriste Etranger;All-FIMU;1775
2016-04-23;Samedi;Visiteur;9J;Résident ;All-FIMU;20386
2016-04-23;Samedi;Visiteur;9J;Touriste Français;All-FIMU;6888
2016-04-23;Samedi;Visiteur;9J;Touriste Etranger;All-FIMU;1775
2016-04-23;Samedi;Visiteur;10J;Résident ;All-FIMU;20386
2016-04-23;Samedi;Visiteur;10J;Touriste Français;All-FIMU;6888
2016-04-23;Samedi;Visiteur;10J;Touriste Etranger;All-FIMU;1775
2016-04-23;Samedi;Visiteur;11J;Résident ;All-FIMU;20386
2016-04-23;Samedi;Visiteur;11J;Touriste Français;All-FIMU;6888
2016-04-23;Samedi;Visiteur;11J;Touriste Etranger;All-FIMU;1775
2016-04-23;Samedi;Visiteur;12J;Résident ;All-FIMU;20386
2016-04-23;Samedi;Visiteur;12J;Touriste Français;All-FIMU;6888
2016-04-23;Samedi;Visiteur;12J;Touriste Etranger;All-FIMU;1775
2016-04-23;Samedi;Visiteur;13J;Résident ;All-FIMU;20386
2016-04-23;Samedi;Visiteur;13J;Touriste Français;All-FIMU;6888
2016-04-23;Samedi;Visiteur;13J;Touriste Etranger;All-FIMU;1775
2016-04-23;Samedi;Visiteur;14J;Résident ;All-FIMU;20386
2016-04-23;Samedi;Visiteur;14J;Touriste Français;All-FIMU;6888
2016-04-23;Samedi;Visiteur;14J;Touriste Etranger;All-FIMU;1775
2016-04-24;Dimanche;Visiteur;1J;Résident ;All-FIMU;8055
2016-04-24;Dimanche;Visiteur;1J;Touriste Français;All-FIMU;2017
2016-04-24;Dimanche;Visiteur;1J;Touriste Etranger;All-FIMU;638
2016-04-24;Dimanche;Visiteur;2J;Résident ;All-FIMU;12521
2016-04-24;Dimanche;Visiteur;2J;Touriste Français;All-FIMU;4006
2016-04-24;Dimanche;Visiteur;2J;Touriste Etranger;All-FIMU;1222
2016-04-24;Dimanche;Visiteur;3J;Résident ;All-FIMU;18423
2016-04-24;Dimanche;Visiteur;3J;Touriste Français;All-FIMU;6185
2016-04-24;Dimanche;Visiteur;3J;Touriste Etranger;All-FIMU;1721
2016-04-24;Dimanche;Visiteur;4J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;4J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;4J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;5J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;5J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;5J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;6J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;6J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;6J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;7J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;7J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;7J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;8J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;8J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;8J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;9J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;9J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;9J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;10J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;10J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;10J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;11J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;11J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;11J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;12J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;12J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;12J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;13J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;13J;Touriste Français;All-FIMU;7937
