Date;JourDeLaSemaine;ZoneAnalyse;DureeVisite;CategorieVisiteurs;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;Duree10h;Resident;Periode normale;535
2017-05-10;Mercredi;Zone FIMU;Duree10h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree10h;Touriste Français;Periode normale;103
2017-05-10;Mercredi;Zone FIMU;Duree10h-18h;Resident;Periode normale;2727
2017-05-10;Mercredi;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;40
2017-05-10;Mercredi;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;1206
2017-05-10;Mercredi;Zone FIMU;Duree2h;Resident;Periode normale;2364
2017-05-10;Mercredi;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;36
2017-05-10;Mercredi;Zone FIMU;Duree2h;Touriste Français;Periode normale;1385
2017-05-10;Mercredi;Zone FIMU;Duree3h;Resident;Periode normale;3179
2017-05-10;Mercredi;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;54
2017-05-10;Mercredi;Zone FIMU;Duree3h;Touriste Français;Periode normale;1993
2017-05-10;Mercredi;Zone FIMU;Duree4h;Resident;Periode normale;1323
2017-05-10;Mercredi;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree4h;Touriste Français;Periode normale;854
2017-05-10;Mercredi;Zone FIMU;Duree5h;Resident;Periode normale;1221
2017-05-10;Mercredi;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree5h;Touriste Français;Periode normale;762
2017-05-10;Mercredi;Zone FIMU;Duree6h;Resident;Periode normale;849
2017-05-10;Mercredi;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree6h;Touriste Français;Periode normale;486
2017-05-10;Mercredi;Zone FIMU;Duree7h;Resident;Periode normale;1158
2017-05-10;Mercredi;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree7h;Touriste Français;Periode normale;528
2017-05-10;Mercredi;Zone FIMU;Duree8h;Resident;Periode normale;804
2017-05-10;Mercredi;Zone FIMU;Duree8h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree8h;Touriste Français;Periode normale;425
2017-05-10;Mercredi;Zone FIMU;Duree9h;Resident;Periode normale;578
2017-05-10;Mercredi;Zone FIMU;Duree9h;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Duree9h;Touriste Français;Periode normale;259
2017-05-11;Jeudi;Zone FIMU;Duree10h;Resident;Periode normale;480
2017-05-11;Jeudi;Zone FIMU;Duree10h;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Duree10h;Touriste Français;Periode normale;223
2017-05-11;Jeudi;Zone FIMU;Duree10h-18h;Resident;Periode normale;2729
2017-05-11;Jeudi;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;29
2017-05-11;Jeudi;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;1130
2017-05-11;Jeudi;Zone FIMU;Duree2h;Resident;Periode normale;2686
2017-05-11;Jeudi;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;36
2017-05-11;Jeudi;Zone FIMU;Duree2h;Touriste Français;Periode normale;1436
2017-05-11;Jeudi;Zone FIMU;Duree3h;Resident;Periode normale;3334
2017-05-11;Jeudi;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;70
2017-05-11;Jeudi;Zone FIMU;Duree3h;Touriste Français;Periode normale;1662
2017-05-11;Jeudi;Zone FIMU;Duree4h;Resident;Periode normale;1621
2017-05-11;Jeudi;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;26
2017-05-11;Jeudi;Zone FIMU;Duree4h;Touriste Français;Periode normale;1011
2017-05-11;Jeudi;Zone FIMU;Duree5h;Resident;Periode normale;1101
2017-05-11;Jeudi;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Duree5h;Touriste Français;Periode normale;557
2017-05-11;Jeudi;Zone FIMU;Duree6h;Resident;Periode normale;720
2017-05-11;Jeudi;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Duree6h;Touriste Français;Periode normale;598
2017-05-11;Jeudi;Zone FIMU;Duree7h;Resident;Periode normale;1291
2017-05-11;Jeudi;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Duree7h;Touriste Français;Periode normale;629
2017-05-11;Jeudi;Zone FIMU;Duree8h;Resident;Periode normale;821
2017-05-11;Jeudi;Zone FIMU;Duree8h;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Duree8h;Touriste Français;Periode normale;382
2017-05-11;Jeudi;Zone FIMU;Duree9h;Resident;Periode normale;816
2017-05-11;Jeudi;Zone FIMU;Duree9h;Touriste Etranger;Periode normale;64
2017-05-11;Jeudi;Zone FIMU;Duree9h;Touriste Français;Periode normale;234
2017-05-12;Vendredi;Zone FIMU;Duree10h;Resident;Periode normale;496
2017-05-12;Vendredi;Zone FIMU;Duree10h;Touriste Français;Periode normale;257
2017-05-12;Vendredi;Zone FIMU;Duree10h-18h;Resident;Periode normale;2704
2017-05-12;Vendredi;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;21
2017-05-12;Vendredi;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;1173
2017-05-12;Vendredi;Zone FIMU;Duree2h;Resident;Periode normale;2692
2017-05-12;Vendredi;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;21
2017-05-12;Vendredi;Zone FIMU;Duree2h;Touriste Français;Periode normale;1484
2017-05-12;Vendredi;Zone FIMU;Duree3h;Resident;Periode normale;4016
2017-05-12;Vendredi;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;63
2017-05-12;Vendredi;Zone FIMU;Duree3h;Touriste Français;Periode normale;2053
2017-05-12;Vendredi;Zone FIMU;Duree4h;Resident;Periode normale;1476
2017-05-12;Vendredi;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;23
2017-05-12;Vendredi;Zone FIMU;Duree4h;Touriste Français;Periode normale;759
2017-05-12;Vendredi;Zone FIMU;Duree5h;Resident;Periode normale;1052
2017-05-12;Vendredi;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Duree5h;Touriste Français;Periode normale;547
2017-05-12;Vendredi;Zone FIMU;Duree6h;Resident;Periode normale;1067
2017-05-12;Vendredi;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Duree6h;Touriste Français;Periode normale;452
2017-05-12;Vendredi;Zone FIMU;Duree7h;Resident;Periode normale;1373
2017-05-12;Vendredi;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Duree7h;Touriste Français;Periode normale;595
2017-05-12;Vendredi;Zone FIMU;Duree8h;Resident;Periode normale;889
2017-05-12;Vendredi;Zone FIMU;Duree8h;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Duree8h;Touriste Français;Periode normale;344
2017-05-12;Vendredi;Zone FIMU;Duree9h;Resident;Periode normale;615
2017-05-12;Vendredi;Zone FIMU;Duree9h;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Duree9h;Touriste Français;Periode normale;266
2017-05-14;Dimanche;Zone FIMU;Duree10h;Resident;Periode normale;381
2017-05-14;Dimanche;Zone FIMU;Duree10h;Touriste Etranger;Periode normale;33
2017-05-14;Dimanche;Zone FIMU;Duree10h;Touriste Français;Periode normale;92
2017-05-14;Dimanche;Zone FIMU;Duree10h-18h;Resident;Periode normale;2979
2017-05-14;Dimanche;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;42
2017-05-14;Dimanche;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;1131
2017-05-14;Dimanche;Zone FIMU;Duree2h;Resident;Periode normale;1217
2017-05-14;Dimanche;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;31
2017-05-14;Dimanche;Zone FIMU;Duree2h;Touriste Français;Periode normale;778
2017-05-14;Dimanche;Zone FIMU;Duree3h;Resident;Periode normale;2134
2017-05-14;Dimanche;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;34
2017-05-14;Dimanche;Zone FIMU;Duree3h;Touriste Français;Periode normale;1109
2017-05-14;Dimanche;Zone FIMU;Duree4h;Resident;Periode normale;1033
2017-05-14;Dimanche;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;26
2017-05-14;Dimanche;Zone FIMU;Duree4h;Touriste Français;Periode normale;368
2017-05-14;Dimanche;Zone FIMU;Duree5h;Resident;Periode normale;530
2017-05-14;Dimanche;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;21
2017-05-14;Dimanche;Zone FIMU;Duree5h;Touriste Français;Periode normale;329
2017-05-14;Dimanche;Zone FIMU;Duree6h;Resident;Periode normale;570
2017-05-14;Dimanche;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Duree6h;Touriste Français;Periode normale;164
2017-05-14;Dimanche;Zone FIMU;Duree7h;Resident;Periode normale;813
