Date;JourDeLaSemaine;Heure;ZoneAnalyse;Presence30Min;CategorieVisiteurs;TypeDeJour;Volume
2017-05-10;Mercredi;00:30:00;Zone FIMU;Present;Resident;Periode normale;1002
2017-05-10;Mercredi;00:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;78
2017-05-10;Mercredi;00:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1125
2017-05-10;Mercredi;01:00:00;Zone FIMU;Present;Resident;Periode normale;1044
2017-05-10;Mercredi;01:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;78
2017-05-10;Mercredi;01:00:00;Zone FIMU;Present;Touriste Français;Periode normale;107
2017-05-10;Mercredi;01:30:00;Zone FIMU;Present;Touriste Français;Periode normale;258
2017-05-10;Mercredi;02:30:00;Zone FIMU;Present;Resident;Periode normale;220
2017-05-10;Mercredi;02:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;89
2017-05-10;Mercredi;02:30:00;Zone FIMU;Present;Touriste Français;Periode normale;152
2017-05-10;Mercredi;03:30:00;Zone FIMU;Present;Resident;Periode normale;214
2017-05-10;Mercredi;03:30:00;Zone FIMU;Present;Touriste Français;Periode normale;98
2017-05-10;Mercredi;04:30:00;Zone FIMU;Present;Resident;Periode normale;230
2017-05-10;Mercredi;05:00:00;Zone FIMU;Present;Resident;Periode normale;251
2017-05-10;Mercredi;05:00:00;Zone FIMU;Present;Touriste Français;Periode normale;318
2017-05-10;Mercredi;05:30:00;Zone FIMU;Present;Resident;Periode normale;336
2017-05-10;Mercredi;06:00:00;Zone FIMU;Present;Resident;Periode normale;870
2017-05-10;Mercredi;06:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;56
2017-05-10;Mercredi;06:00:00;Zone FIMU;Present;Touriste Français;Periode normale;277
2017-05-10;Mercredi;06:30:00;Zone FIMU;Present;Resident;Periode normale;1669
2017-05-10;Mercredi;06:30:00;Zone FIMU;Present;Touriste Français;Periode normale;542
2017-05-10;Mercredi;07:00:00;Zone FIMU;Present;Resident;Periode normale;3794
2017-05-10;Mercredi;07:00:00;Zone FIMU;Present;Touriste Français;Periode normale;326
2017-05-10;Mercredi;07:30:00;Zone FIMU;Present;Resident;Periode normale;4625
2017-05-10;Mercredi;07:30:00;Zone FIMU;Present;Touriste Français;Periode normale;829
2017-05-10;Mercredi;08:00:00;Zone FIMU;Present;Resident;Periode normale;8809
2017-05-10;Mercredi;08:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2079
2017-05-10;Mercredi;08:30:00;Zone FIMU;Present;Resident;Periode normale;7612
2017-05-10;Mercredi;08:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;64
2017-05-10;Mercredi;08:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2618
2017-05-10;Mercredi;09:00:00;Zone FIMU;Present;Resident;Periode normale;9167
2017-05-10;Mercredi;09:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;78
2017-05-10;Mercredi;09:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1487
2017-05-10;Mercredi;09:30:00;Zone FIMU;Present;Resident;Periode normale;9311
2017-05-10;Mercredi;09:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;26
2017-05-10;Mercredi;09:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1593
2017-05-10;Mercredi;10:00:00;Zone FIMU;Present;Resident;Periode normale;9834
2017-05-10;Mercredi;10:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;10:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2167
2017-05-10;Mercredi;10:30:00;Zone FIMU;Present;Resident;Periode normale;11287
2017-05-10;Mercredi;10:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;132
2017-05-10;Mercredi;10:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2191
2017-05-10;Mercredi;11:00:00;Zone FIMU;Present;Resident;Periode normale;8737
2017-05-10;Mercredi;11:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;83
2017-05-10;Mercredi;11:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1911
2017-05-10;Mercredi;11:30:00;Zone FIMU;Present;Resident;Periode normale;10235
2017-05-10;Mercredi;11:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1640
2017-05-10;Mercredi;12:00:00;Zone FIMU;Present;Resident;Periode normale;10302
2017-05-10;Mercredi;12:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;70
2017-05-10;Mercredi;12:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1999
2017-05-10;Mercredi;12:30:00;Zone FIMU;Present;Resident;Periode normale;11831
2017-05-10;Mercredi;12:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;136
2017-05-10;Mercredi;12:30:00;Zone FIMU;Present;Touriste Français;Periode normale;3957
2017-05-10;Mercredi;13:00:00;Zone FIMU;Present;Resident;Periode normale;7265
2017-05-10;Mercredi;13:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;13:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2098
2017-05-10;Mercredi;13:30:00;Zone FIMU;Present;Resident;Periode normale;8751
2017-05-10;Mercredi;13:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;34
2017-05-10;Mercredi;13:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2948
2017-05-10;Mercredi;14:00:00;Zone FIMU;Present;Resident;Periode normale;9157
2017-05-10;Mercredi;14:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;14:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2143
2017-05-10;Mercredi;14:30:00;Zone FIMU;Present;Resident;Periode normale;9611
