Date;JourDeLaSemaine;Heure;ZoneAnalyse;Presence30Min;Continent;Pays;CategorieVisiteurs;TypeDeJour;Volume
2017-05-10;Mercredi;00:30:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;78
2017-05-10;Mercredi;01:00:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;78
2017-05-10;Mercredi;02:30:00;Zone FIMU;Present;Amérique;Reste Du Monde;Touriste Etranger;Periode normale;89
2017-05-10;Mercredi;06:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;56
2017-05-10;Mercredi;08:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;08:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;09:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;09:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;33
2017-05-10;Mercredi;09:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;26
2017-05-10;Mercredi;10:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;10:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;34
2017-05-10;Mercredi;10:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;10:30:00;Zone FIMU;Present;Europe;Russie;Touriste Etranger;Periode normale;54
2017-05-10;Mercredi;11:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;11:00:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;38
2017-05-10;Mercredi;12:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;26
2017-05-10;Mercredi;12:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;12:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;26
2017-05-10;Mercredi;12:30:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;33
2017-05-10;Mercredi;12:30:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;78
2017-05-10;Mercredi;13:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;13:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;34
2017-05-10;Mercredi;14:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;14:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;14:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;34
2017-05-10;Mercredi;14:30:00;Zone FIMU;Present;Europe;Russie;Touriste Etranger;Periode normale;27
2017-05-10;Mercredi;15:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;15:00:00;Zone FIMU;Present;Europe;Russie;Touriste Etranger;Periode normale;27
2017-05-10;Mercredi;15:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;15:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;34
2017-05-10;Mercredi;16:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;16:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;17:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;34
2017-05-10;Mercredi;17:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;26
2017-05-10;Mercredi;17:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;29
2017-05-10;Mercredi;17:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;63
2017-05-10;Mercredi;18:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;63
2017-05-10;Mercredi;18:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;32
2017-05-10;Mercredi;18:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;70
2017-05-10;Mercredi;18:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;33
2017-05-10;Mercredi;19:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;57
2017-05-10;Mercredi;19:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;46
2017-05-10;Mercredi;20:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;46
2017-05-10;Mercredi;20:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;32
2017-05-10;Mercredi;20:30:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;46
2017-05-10;Mercredi;23:00:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;54
2017-05-10;Mercredi;23:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;32
2017-05-11;Jeudi;08:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-11;Jeudi;08:30:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;54
2017-05-11;Jeudi;09:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;168
2017-05-11;Jeudi;10:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;47
2017-05-11;Jeudi;11:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-11;Jeudi;11:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;37
2017-05-11;Jeudi;13:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;46
2017-05-11;Jeudi;13:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;57
2017-05-11;Jeudi;14:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;69
2017-05-11;Jeudi;14:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;31
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;106
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;118
2017-05-11;Jeudi;17:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;106
2017-05-11;Jeudi;17:00:00;Zone FIMU;Present;Europe;Scandinavie;Touriste Etranger;Periode normale;55
2017-05-11;Jeudi;17:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;106
2017-05-11;Jeudi;17:30:00;Zone FIMU;Present;Europe;Scandinavie;Touriste Etranger;Periode normale;55
2017-05-11;Jeudi;18:00:00;Zone FIMU;Present;Europe;Scandinavie;Touriste Etranger;Periode normale;55
2017-05-11;Jeudi;18:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;33
2017-05-11;Jeudi;19:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;46
2017-05-11;Jeudi;19:00:00;Zone FIMU;Present;Europe;Scandinavie;Touriste Etranger;Periode normale;55
2017-05-11;Jeudi;19:30:00;Zone FIMU;Present;Amérique;Reste Du Monde;Touriste Etranger;Periode normale;125
2017-05-11;Jeudi;19:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;120
2017-05-11;Jeudi;19:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-11;Jeudi;20:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;120
2017-05-11;Jeudi;21:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;43
2017-05-11;Jeudi;21:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-11;Jeudi;22:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-11;Jeudi;22:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-11;Jeudi;22:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-11;Jeudi;23:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-11;Jeudi;23:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;37
2017-05-12;Vendredi;05:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-12;Vendredi;05:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-12;Vendredi;11:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;35
2017-05-12;Vendredi;12:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;43
2017-05-12;Vendredi;12:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-12;Vendredi;12:30:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;46
2017-05-12;Vendredi;12:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;43
2017-05-12;Vendredi;14:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;47
2017-05-12;Vendredi;15:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;50
2017-05-12;Vendredi;17:00:00;Zone FIMU;Present;Amérique;Reste Du Monde;Touriste Etranger;Periode normale;123
2017-05-12;Vendredi;17:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;46
2017-05-12;Vendredi;18:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;55
2017-05-12;Vendredi;18:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;33
2017-05-12;Vendredi;19:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;45
2017-05-12;Vendredi;20:30:00;Zone FIMU;Present;Amérique;Reste Du Monde;Touriste Etranger;Periode normale;59
2017-05-12;Vendredi;20:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;31
2017-05-12;Vendredi;21:30:00;Zone FIMU;Present;Amérique;Reste Du Monde;Touriste Etranger;Periode normale;123
2017-05-12;Vendredi;22:00:00;Zone FIMU;Present;Amérique;Reste Du Monde;Touriste Etranger;Periode normale;123
2017-05-12;Vendredi;22:00:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;94
