Date;JourDeLaSemaine;ZoneAnalyse;Continent;Pays;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;26
2017-05-10;Mercredi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;Visiteur;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Autre;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Allemagne;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Allemagne;Touriste Etranger;Visiteur;Periode normale;26
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;Visiteur;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;Visiteur;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;Visiteur;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;Visiteur;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;Visiteur;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;Visiteur;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;Visiteur;Periode normale;23
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;41
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Europe;Allemagne;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Europe;Allemagne;Touriste Etranger;Visiteur;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;Excursionniste;Periode normale;35
2017-05-11;Jeudi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;Visiteur;Periode normale;66
2017-05-11;Jeudi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;Visiteur;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Europe;Espagne;Touriste Etranger;Visiteur;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;Visiteur;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;Visiteur;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Europe;Scandinavie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Europe;Suisse;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Europe;Suisse;Touriste Etranger;Visiteur;Periode normale;37
2017-05-12;Vendredi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;30
2017-05-12;Vendredi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;Visiteur;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Asie;Chine;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Asie;Chine;Touriste Etranger;Visiteur;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Autre;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Europe;Allemagne;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Europe;Allemagne;Touriste Etranger;Visiteur;Periode normale;22
2017-05-12;Vendredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;Visiteur;Periode normale;23
2017-05-12;Vendredi;Zone FIMU;Europe;Espagne;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Europe;Espagne;Touriste Etranger;Visiteur;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Europe;Italie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;Visiteur;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;Visiteur;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;Visiteur;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Europe;Scandinavie;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Europe;Scandinavie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Europe;Suisse;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Europe;Suisse;Touriste Etranger;Visiteur;Periode normale;35
2017-05-14;Dimanche;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;37
2017-05-14;Dimanche;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Asie;Chine;Touriste Etranger;Visiteur;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Autre;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Europe;Allemagne;Touriste Etranger;Excursionniste;Periode normale;34
2017-05-14;Dimanche;Zone FIMU;Europe;Allemagne;Touriste Etranger;Visiteur;Periode normale;48
2017-05-14;Dimanche;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;Visiteur;Periode normale;27
2017-05-14;Dimanche;Zone FIMU;Europe;Espagne;Touriste Etranger;Visiteur;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Europe;Italie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;Visiteur;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;Visiteur;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;Visiteur;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Europe;Suisse;Touriste Etranger;Excursionniste;Periode normale;23
2017-05-14;Dimanche;Zone FIMU;Europe;Suisse;Touriste Etranger;Visiteur;Periode normale;53
2017-05-15;Lundi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;53
2017-05-15;Lundi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Asie;Japon;Touriste Etranger;Visiteur;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Autre;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Europe;Allemagne;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Europe;Allemagne;Touriste Etranger;Visiteur;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;Visiteur;Periode normale;50
2017-05-15;Lundi;Zone FIMU;Europe;Espagne;Touriste Etranger;Visiteur;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Europe;Italie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;Visiteur;Periode normale;26
2017-05-15;Lundi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;Visiteur;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;Visiteur;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Europe;Russie;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Europe;Russie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Europe;Suisse;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Europe;Suisse;Touriste Etranger;Visiteur;Periode normale;40
2017-05-16;Mardi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;48
2017-05-16;Mardi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;Excursionniste;Periode normale;22
2017-05-16;Mardi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;Visiteur;Periode normale;29
2017-05-16;Mardi;Zone FIMU;Autre;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Europe;Allemagne;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Europe;Allemagne;Touriste Etranger;Visiteur;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;Visiteur;Periode normale;26
2017-05-16;Mardi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;Excursionniste;Periode normale;30
2017-05-16;Mardi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;Visiteur;Periode normale;30
2017-05-16;Mardi;Zone FIMU;Europe;Espagne;Touriste Etranger;Visiteur;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Europe;Italie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;Visiteur;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;Visiteur;Periode normale;#
