Date;JourDeLaSemaine;ZoneAnalyse;Genre;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;872
2017-05-10;Mercredi;Zone FIMU;F;Resident;Visiteur;Periode normale;7500
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;309
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2231
2017-05-10;Mercredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;651
2017-05-10;Mercredi;Zone FIMU;H;Resident;Visiteur;Periode normale;6817
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;385
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2213
2017-05-10;Mercredi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;70
2017-05-10;Mercredi;Zone FIMU;NR;Resident;Visiteur;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;501
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;3557
2017-05-11;Jeudi;Zone FIMU;F;Resident;Excursionniste;Periode normale;864
2017-05-11;Jeudi;Zone FIMU;F;Resident;Visiteur;Periode normale;7989
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;354
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2268
2017-05-11;Jeudi;Zone FIMU;H;Resident;Excursionniste;Periode normale;722
2017-05-11;Jeudi;Zone FIMU;H;Resident;Visiteur;Periode normale;7083
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;340
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2159
2017-05-11;Jeudi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;326
2017-05-11;Jeudi;Zone FIMU;NR;Resident;Visiteur;Periode normale;2200
2017-05-11;Jeudi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;222
2017-05-11;Jeudi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;1820
2017-05-12;Vendredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;1001
2017-05-12;Vendredi;Zone FIMU;F;Resident;Visiteur;Periode normale;8167
2017-05-12;Vendredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;423
2017-05-12;Vendredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2157
2017-05-12;Vendredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;1209
2017-05-12;Vendredi;Zone FIMU;H;Resident;Visiteur;Periode normale;7831
2017-05-12;Vendredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;563
