Date;JourDeLaSemaine;TypeNuitee;ZoneNuitee;ZoneAnalyse;CategorieVisiteurs;TypeDeJour;Volume
2017-05-10;Mercredi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2010
2017-05-10;Mercredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;552
2017-05-10;Mercredi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;#
2017-05-10;Mercredi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;228
2017-05-10;Mercredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;116
2017-05-10;Mercredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;584
2017-05-10;Mercredi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;63
2017-05-10;Mercredi;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;#
2017-05-10;Mercredi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;45
2017-05-10;Mercredi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;336
2017-05-10;Mercredi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;436
2017-05-10;Mercredi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;96
2017-05-10;Mercredi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;495
2017-05-10;Mercredi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;1072
2017-05-10;Mercredi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;249
2017-05-10;Mercredi;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;8458
2017-05-10;Mercredi;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;92
2017-05-10;Mercredi;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;3147
2017-05-10;Mercredi;Soir;Vosges;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;#
2017-05-11;Jeudi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2221
2017-05-11;Jeudi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;461
2017-05-11;Jeudi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;56
2017-05-11;Jeudi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;21
2017-05-11;Jeudi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;210
2017-05-11;Jeudi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;131
2017-05-11;Jeudi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;509
2017-05-11;Jeudi;Soir;Haut Rhin Nord;Zone FIMU;Resident;Periode normale;#
2017-05-11;Jeudi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;#
2017-05-11;Jeudi;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;32
2017-05-11;Jeudi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;37
2017-05-11;Jeudi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;117
2017-05-11;Jeudi;Soir;Reste Doubs;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;654
2017-05-11;Jeudi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;184
2017-05-11;Jeudi;Soir;Reste Haute Saone;Zone FIMU;Touriste Etranger;Periode normale;58
2017-05-11;Jeudi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;495
2017-05-11;Jeudi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;1543
2017-05-11;Jeudi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;53
2017-05-11;Jeudi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;135
2017-05-11;Jeudi;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;8319
2017-05-11;Jeudi;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;113
2017-05-11;Jeudi;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2920
2017-05-11;Jeudi;Soir;Vosges;Zone FIMU;Resident;Periode normale;#
2017-05-11;Jeudi;Soir;Vosges;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-11;Jeudi;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;#
2017-05-12;Vendredi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;1010
2017-05-12;Vendredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;56
2017-05-12;Vendredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;133
