Date;JourDeLaSemaine;TypeNuitee;ZoneNuitee;ZoneAnalyse;CategorieVisiteurs;TypeDeJour;Volume
2017-05-10;Mercredi;Veille;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2174
2017-05-10;Mercredi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;22
2017-05-10;Mercredi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;534
2017-05-10;Mercredi;Veille;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;#
2017-05-10;Mercredi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;207
2017-05-10;Mercredi;Veille;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;119
2017-05-10;Mercredi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;581
2017-05-10;Mercredi;Veille;Haut Rhin Nord;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Veille;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;43
2017-05-10;Mercredi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;53
2017-05-10;Mercredi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;285
2017-05-10;Mercredi;Veille;Reste Doubs;Zone FIMU;Resident;Periode normale;#
2017-05-10;Mercredi;Veille;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;446
2017-05-10;Mercredi;Veille;Reste Haute Saone;Zone FIMU;Resident;Periode normale;137
2017-05-10;Mercredi;Veille;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;555
2017-05-10;Mercredi;Veille;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;1020
2017-05-10;Mercredi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;341
2017-05-10;Mercredi;Veille;Ville de Belfort;Zone FIMU;Resident;Periode normale;8476
2017-05-10;Mercredi;Veille;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;80
2017-05-10;Mercredi;Veille;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2919
2017-05-10;Mercredi;Veille;Vosges;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-10;Mercredi;Veille;Vosges;Zone FIMU;Touriste Français;Periode normale;30
2017-05-11;Jeudi;Veille;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2413
2017-05-11;Jeudi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;148
2017-05-11;Jeudi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;213
2017-05-11;Jeudi;Veille;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;61
2017-05-11;Jeudi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;26
2017-05-11;Jeudi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;216
2017-05-11;Jeudi;Veille;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;131
2017-05-11;Jeudi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
