Date;JourDeLaSemaine;ZoneAnalyse;Age;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;01 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;02 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;03 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;04 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;05 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;06 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;07 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;08 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;09 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;10 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;11 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;12 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;13 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Resident;14 jours;Periode normale;1431
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;01 jours;Periode normale;900
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;02 jours;Periode normale;900
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;03 jours;Periode normale;900
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;04 jours;Periode normale;900
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;05 jours;Periode normale;900
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;06 jours;Periode normale;900
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;07 jours;Periode normale;900
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;08 jours;Periode normale;900
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;09 jours;Periode normale;900
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;10 jours;Periode normale;900
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;11 jours;Periode normale;900
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;12 jours;Periode normale;900
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;13 jours;Periode normale;900
2017-05-10;Mercredi;Zone FIMU;18-24;Touriste Français;14 jours;Periode normale;900
