Date;JourDeLaSemaine;ZoneAnalyse;CSP;Geolife;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;01 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;02 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;03 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;04 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;05 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;06 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;07 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;08 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;09 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;10 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;11 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;12 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;13 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;14 jours;Periode normale;1774
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;01 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;02 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;03 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;04 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;05 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;06 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;07 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;08 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;09 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;10 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;11 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;12 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;13 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;14 jours;Periode normale;644
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;01 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;02 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;03 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;04 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;05 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;06 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;07 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;08 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;09 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;10 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;11 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;12 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;13 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;14 jours;Periode normale;41
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;01 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;02 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;03 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;04 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;05 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;06 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;07 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;08 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;09 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;10 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;11 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;12 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;13 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;14 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;01 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;02 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;03 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;04 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;05 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;06 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;07 jours;Periode normale;431
