Date;JourDeLaSemaine;ZoneAnalyse;Genre;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;F;Resident;01 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Resident;02 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Resident;03 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Resident;04 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Resident;05 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Resident;06 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Resident;07 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Resident;08 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Resident;09 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Resident;10 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Resident;11 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Resident;12 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Resident;13 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Resident;14 jours;Periode normale;7867
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;01 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;02 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;03 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;04 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;05 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;06 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;07 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;08 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;09 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;10 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;11 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;12 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;13 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;F;Touriste Français;14 jours;Periode normale;2280
2017-05-10;Mercredi;Zone FIMU;H;Resident;01 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Resident;02 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Resident;03 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Resident;04 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Resident;05 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Resident;06 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Resident;07 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Resident;08 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Resident;09 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Resident;10 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Resident;11 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Resident;12 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Resident;13 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Resident;14 jours;Periode normale;7030
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;01 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;02 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;03 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;04 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;05 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;06 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;07 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;08 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;09 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;10 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;11 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;12 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;13 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;H;Touriste Français;14 jours;Periode normale;2315
2017-05-10;Mercredi;Zone FIMU;NR;Resident;01 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Resident;02 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Resident;03 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Resident;04 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Resident;05 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Resident;06 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Resident;07 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Resident;08 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Resident;09 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Resident;10 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Resident;11 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Resident;12 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Resident;13 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Resident;14 jours;Periode normale;421
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;01 jours;Periode normale;3685
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;02 jours;Periode normale;3685
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;03 jours;Periode normale;3685
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;04 jours;Periode normale;3685
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;05 jours;Periode normale;3685
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;06 jours;Periode normale;3685
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;07 jours;Periode normale;3685
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;08 jours;Periode normale;3685
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;09 jours;Periode normale;3685
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;10 jours;Periode normale;3685
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;11 jours;Periode normale;3685
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;12 jours;Periode normale;3685
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;13 jours;Periode normale;3685
2017-05-10;Mercredi;Zone FIMU;NR;Touriste Français;14 jours;Periode normale;3685
2017-05-11;Jeudi;Zone FIMU;F;Resident;01 jours;Periode normale;8319
2017-05-11;Jeudi;Zone FIMU;F;Resident;02 jours;Periode normale;11129
2017-05-11;Jeudi;Zone FIMU;F;Resident;03 jours;Periode normale;11129
2017-05-11;Jeudi;Zone FIMU;F;Resident;04 jours;Periode normale;11129
2017-05-11;Jeudi;Zone FIMU;F;Resident;05 jours;Periode normale;11129
2017-05-11;Jeudi;Zone FIMU;F;Resident;06 jours;Periode normale;11129
2017-05-11;Jeudi;Zone FIMU;F;Resident;07 jours;Periode normale;11129
2017-05-11;Jeudi;Zone FIMU;F;Resident;08 jours;Periode normale;11129
2017-05-11;Jeudi;Zone FIMU;F;Resident;09 jours;Periode normale;11129
2017-05-11;Jeudi;Zone FIMU;F;Resident;10 jours;Periode normale;11129
2017-05-11;Jeudi;Zone FIMU;F;Resident;11 jours;Periode normale;11129
2017-05-11;Jeudi;Zone FIMU;F;Resident;12 jours;Periode normale;11129
2017-05-11;Jeudi;Zone FIMU;F;Resident;13 jours;Periode normale;11129
2017-05-11;Jeudi;Zone FIMU;F;Resident;14 jours;Periode normale;11129
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;01 jours;Periode normale;2333
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;02 jours;Periode normale;3581
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;03 jours;Periode normale;3581
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;04 jours;Periode normale;3581
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;05 jours;Periode normale;3581
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;06 jours;Periode normale;3581
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;07 jours;Periode normale;3581
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;08 jours;Periode normale;3581
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;09 jours;Periode normale;3581
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;10 jours;Periode normale;3581
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;11 jours;Periode normale;3581
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;12 jours;Periode normale;3581
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;13 jours;Periode normale;3581
2017-05-11;Jeudi;Zone FIMU;F;Touriste Français;14 jours;Periode normale;3581
2017-05-11;Jeudi;Zone FIMU;H;Resident;01 jours;Periode normale;7483
2017-05-11;Jeudi;Zone FIMU;H;Resident;02 jours;Periode normale;10081
2017-05-11;Jeudi;Zone FIMU;H;Resident;03 jours;Periode normale;10081
2017-05-11;Jeudi;Zone FIMU;H;Resident;04 jours;Periode normale;10081
2017-05-11;Jeudi;Zone FIMU;H;Resident;05 jours;Periode normale;10081
2017-05-11;Jeudi;Zone FIMU;H;Resident;06 jours;Periode normale;10081
2017-05-11;Jeudi;Zone FIMU;H;Resident;07 jours;Periode normale;10081
2017-05-11;Jeudi;Zone FIMU;H;Resident;08 jours;Periode normale;10081
2017-05-11;Jeudi;Zone FIMU;H;Resident;09 jours;Periode normale;10081
2017-05-11;Jeudi;Zone FIMU;H;Resident;10 jours;Periode normale;10081
2017-05-11;Jeudi;Zone FIMU;H;Resident;11 jours;Periode normale;10081
2017-05-11;Jeudi;Zone FIMU;H;Resident;12 jours;Periode normale;10081
2017-05-11;Jeudi;Zone FIMU;H;Resident;13 jours;Periode normale;10081
2017-05-11;Jeudi;Zone FIMU;H;Resident;14 jours;Periode normale;10081
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;01 jours;Periode normale;2266
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;02 jours;Periode normale;3528
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;03 jours;Periode normale;3528
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;04 jours;Periode normale;3528
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;05 jours;Periode normale;3528
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;06 jours;Periode normale;3528
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;07 jours;Periode normale;3528
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;08 jours;Periode normale;3528
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;09 jours;Periode normale;3528
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;10 jours;Periode normale;3528
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;11 jours;Periode normale;3528
2017-05-11;Jeudi;Zone FIMU;H;Touriste Français;12 jours;Periode normale;3528
