Date;JourDeLaSemaine;ZoneAnalyse;Nationalite;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;01 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;02 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;03 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;04 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;05 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;06 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;07 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;08 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;09 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;10 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;11 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;12 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;13 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Etranger;Touriste Etranger;14 jours;Periode normale;184
2017-05-10;Mercredi;Zone FIMU;Français;Resident;01 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Resident;02 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Resident;03 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Resident;04 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Resident;05 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Resident;06 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Resident;07 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Resident;08 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Resident;09 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Resident;10 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Resident;11 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Resident;12 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Resident;13 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Resident;14 jours;Periode normale;15319
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;01 jours;Periode normale;8280
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;02 jours;Periode normale;8280
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;03 jours;Periode normale;8280
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;04 jours;Periode normale;8280
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;05 jours;Periode normale;8280
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;06 jours;Periode normale;8280
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;07 jours;Periode normale;8280
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;08 jours;Periode normale;8280
2017-05-10;Mercredi;Zone FIMU;Français;Touriste Français;09 jours;Periode normale;8280
